#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
6.22816801e-03 -5.60160444e-11 4.99776020e-06 1.24794315e-05
1.24563360e-02 -2.23978571e-10 1.00312539e-05 2.49754566e-05
1.86845040e-02 -5.03629254e-10 1.51358661e-05 3.75046056e-05
2.49126720e-02 -8.94540059e-10 2.03463014e-05 5.00832835e-05
3.11408401e-02 -1.39611024e-09 2.56962825e-05 6.27277084e-05
3.73690081e-02 -2.00757095e-09 3.12182923e-05 7.54538521e-05
4.35971761e-02 -2.72798331e-09 3.69433652e-05 8.82773834e-05
4.98253441e-02 -3.55624280e-09 4.29009340e-05 1.01213613e-04
5.60535121e-02 -4.49107899e-09 4.91187290e-05 1.14277445e-04
6.22816801e-02 -5.53105700e-09 5.56227283e-05 1.27483326e-04
6.85098481e-02 -6.67458210e-09 6.24371516e-05 1.40845204e-04
7.47380161e-02 -7.91989922e-09 6.95844897e-05 1.54376491e-04
8.09661841e-02 -9.26509952e-09 7.70855634e-05 1.68090025e-04
8.71943522e-02 -1.07081180e-08 8.49596009e-05 1.81998042e-04
9.34225202e-02 -1.22467424e-08 9.32243297e-05 1.96112147e-04
9.96506882e-02 -1.38786117e-08 1.01896074e-04 2.10443298e-04
1.05878856e-01 -1.56012246e-08 1.10989854e-04 2.25001784e-04
1.12107024e-01 -1.74119385e-08 1.20519482e-04 2.39797212e-04
1.18335192e-01 -1.93079773e-08 1.30497655e-04 2.54838503e-04
1.24563360e-01 -2.12864332e-08 1.40936039e-04 2.70133879e-04
1.30791528e-01 -2.33442730e-08 1.51845344e-04 2.85690866e-04
1.37019696e-01 -2.54783404e-08 1.63235392e-04 3.01516295e-04
1.43247864e-01 -2.76853643e-08 1.75115174e-04 3.17616303e-04
1.49476032e-01 -2.99619618e-08 1.87492901e-04 3.33996342e-04
1.55704200e-01 -3.23046422e-08 2.00376046e-04 3.50661188e-04
1.61932368e-01 -3.47098158e-08 2.13771376e-04 3.67614950e-04
1.68160536e-01 -3.71737950e-08 2.27684980e-04 3.84861084e-04
1.74388704e-01 -3.96928043e-08 2.42122292e-04 4.02402407e-04
