#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
3.11408401e-03 -3.50789015e-12 1.24846453e-06 6.24828000e-07
6.22816801e-03 -1.40305166e-11 2.49630195e-06 1.25198148e-06
9.34225202e-03 -3.15641675e-11 3.74288688e-06 1.88377062e-06
1.24563360e-02 -5.61014188e-11 4.98759742e-06 2.52247535e-06
1.55704200e-02 -8.76333389e-11 6.22981692e-06 3.17033126e-06
1.86845040e-02 -1.26147748e-10 7.46893570e-06 3.82951646e-06
2.17985880e-02 -1.71629914e-10 8.70435286e-06 4.50214000e-06
2.49126720e-02 -2.24062206e-10 9.93547800e-06 5.19023169e-06
2.80267561e-02 -2.83424555e-10 1.11617331e-05 5.89573372e-06
3.11408401e-02 -3.49694227e-10 1.23825542e-05 6.62049405e-06
3.42549241e-02 -4.22845818e-10 1.35973935e-05 7.36626151e-06
3.73690081e-02 -5.02851140e-10 1.48057209e-05 8.13468261e-06
4.04830921e-02 -5.89679454e-10 1.60070259e-05 8.92729991e-06
4.35971761e-02 -6.83298049e-10 1.72008201e-05 9.74555180e-06
4.67112601e-02 -7.83669805e-10 1.83866381e-05 1.05907735e-05
4.98253441e-02 -8.90757370e-10 1.95640406e-05 1.14641992e-05
5.29394281e-02 -1.00451829e-09 2.07326154e-05 1.23669648e-05
5.60535121e-02 -1.12491057e-09 2.18919803e-05 1.33001117e-05
5.91675961e-02 -1.25188666e-09 2.30417844e-05 1.42645909e-05
6.22816801e-02 -1.38539830e-09 2.41817109e-05 1.52612670e-05
6.53957641e-02 -1.52539445e-09 2.53114787e-05 1.62909237e-05
6.85098481e-02 -1.67182082e-09 2.64308449e-05 1.73542677e-05
7.16239321e-02 -1.82462174e-09 2.75396068e-05 1.84519340e-05
7.47380161e-02 -1.98373873e-09 2.86376044e-05 1.95844904e-05
7.78521001e-02 -2.14911010e-09 2.97247224e-05 2.07524421e-05
8.09661841e-02 -2.32067227e-09 3.08008924e-05 2.19562361e-05
