#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.16778150e-01 -2.94667064e-10 1.06075210e-05 9.61580487e-06
1.18335192e-01 -3.02209243e-10 1.07272768e-05 9.82356886e-06
1.19892234e-01 -3.09832156e-10 1.08466255e-05 1.00337048e-05
1.21449276e-01 -3.17534991e-10 1.09655921e-05 1.02462117e-05
1.23006318e-01 -3.25316705e-10 1.10842030e-05 1.04610885e-05
1.24563360e-01 -3.33177413e-10 1.12024857e-05 1.06783337e-05
1.26120402e-01 -3.41115376e-10 1.13204689e-05 1.08979455e-05
1.27677444e-01 -3.49131058e-10 1.14381828e-05 1.11199219e-05
1.29234486e-01 -3.57222718e-10 1.15556585e-05 1.13442607e-05
1.30791528e-01 -3.65389081e-10 1.16729285e-05 1.15709592e-05
1.32348570e-01 -3.73630958e-10 1.17900265e-05 1.18000146e-05
1.33905612e-01 -3.81946378e-10 1.19069874e-05 1.20314241e-05
1.35462654e-01 -3.90334644e-10 1.20238474e-05 1.22651842e-05
1.37019696e-01 -3.98794598e-10 1.21406440e-05 1.25012916e-05
1.38576738e-01 -4.07326702e-10 1.22574159e-05 1.27397424e-05
1.40133780e-01 -4.15929100e-10 1.23742029e-05 1.29805329e-05
1.41690822e-01 -4.24601561e-10 1.24910461e-05 1.32236589e-05
1.43247864e-01 -4.33342461e-10 1.26079881e-05 1.34691161e-05
1.44804906e-01 -4.42152032e-10 1.27250723e-05 1.37168999e-05
1.46361948e-01 -4.51028533e-10 1.28423435e-05 1.39670058e-05
1.47918990e-01 -4.59971617e-10 1.29598477e-05 1.42194288e-05
1.49476032e-01 -4.68980008e-10 1.30776321e-05 1.44741639e-05
1.51033074e-01 -4.78053822e-10 1.31957451e-05 1.47312059e-05
1.52590116e-01 -4.87190738e-10 1.33142360e-05 1.49905494e-05
1.54147158e-01 -4.96390758e-10 1.34331556e-05 1.52521888e-05
1.55704200e-01 -5.05652720e-10 1.35525554e-05 1.55161184e-05
1.57261242e-01 -5.14976509e-10 1.36724883e-05 1.57823324e-05
1.58818284e-01 -5.24359921e-10 1.37930082e-05 1.60508247e-05
1.60375326e-01 -5.33802839e-10 1.39141698e-05 1.63215893e-05
1.61932368e-01 -5.43304221e-10 1.40360291e-05 1.65946197e-05
1.63489410e-01 -5.52862905e-10 1.41586428e-05 1.68699095e-05
1.65046452e-01 -5.62478661e-10 1.42820687e-05 1.71474522e-05
1.66603494e-01 -5.72149747e-10 1.44063655e-05 1.74272410e-05
1.68160536e-01 -5.81875817e-10 1.45315925e-05 1.77092691e-05
1.69717578e-01 -5.91656057e-10 1.46578102e-05 1.79935295e-05
1.71274620e-01 -6.01488845e-10 1.47850795e-05 1.82800150e-05
1.72831662e-01 -6.11373831e-10 1.49134622e-05 1.85687186e-05
1.74388704e-01 -6.21309857e-10 1.50430207e-05 1.88596327e-05
1.75945746e-01 -6.31296109e-10 1.51738182e-05 1.91527500e-05
1.77502788e-01 -6.41331661e-10 1.53059181e-05 1.94480629e-05
1.79059830e-01 -6.51415235e-10 1.54393847e-05 1.97455636e-05
1.80616872e-01 -6.61545789e-10 1.55742826e-05 2.00452443e-05
1.82173914e-01 -6.71722742e-10 1.57106768e-05 2.03470972e-05
1.83730956e-01 -6.81944934e-10 1.58486327e-05 2.06511141e-05
1.85287998e-01 -6.92211786e-10 1.59882158e-05 2.09572871e-05
1.86845040e-01 -7.02521788e-10 1.61294921e-05 2.12656077e-05
