#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.24563360e-02 6.39230871e-09 2.47219325e-08 2.14321166e-08
2.49126720e-02 1.27846129e-08 4.95148280e-08 4.37001463e-08
3.73690081e-02 1.91769138e-08 7.42372213e-08 6.75071346e-08
4.98253441e-02 2.55692108e-08 9.87834078e-08 9.34905171e-08
6.22816801e-02 3.19615051e-08 1.23099038e-07 1.22198756e-07
7.47380161e-02 3.83537967e-08 1.47196913e-07 1.54082737e-07
8.71943522e-02 4.47460854e-08 1.71172387e-07 1.89498766e-07
9.96506882e-02 5.11383721e-08 1.95217247e-07 2.28718481e-07
1.12107024e-01 5.75306574e-08 2.19630326e-07 2.71941504e-07
1.24563360e-01 6.39229412e-08 2.44822529e-07 3.19308068e-07
1.37019696e-01 7.03152242e-08 2.71313762e-07 3.70910165e-07
1.49476032e-01 7.67075067e-08 2.99719726e-07 4.26800750e-07
1.61932368e-01 8.30997896e-08 3.30727988e-07 4.87001016e-07
1.74388704e-01 8.94920724e-08 3.65065003e-07 5.51506017e-07
1.86845040e-01 9.58843560e-08 4.03458170e-07 6.20288965e-07
1.99301376e-01 1.02276641e-07 4.46598527e-07 6.93304489e-07
2.11757712e-01 1.08668928e-07 4.95109545e-07 7.70491138e-07
2.24214048e-01 1.15061216e-07 5.49525628e-07 8.51773307e-07
2.36670384e-01 1.21453508e-07 6.10281248e-07 9.37062747e-07
2.49126720e-01 1.27845802e-07 6.77709314e-07 1.02625978e-06
2.61583056e-01 1.34238099e-07 7.52046052e-07 1.11925426e-06
2.74039392e-01 1.40630400e-07 8.33439490e-07 1.21592648e-06
2.86495729e-01 1.47022705e-07 9.21959194e-07 1.31614781e-06
2.98952065e-01 1.53415014e-07 1.01760572e-06 1.41978139e-06
3.11408401e-01 1.59807327e-07 1.12031898e-06 1.52668271e-06
3.23864737e-01 1.66199646e-07 1.22998529e-06 1.63670019e-06
3.36321073e-01 1.72591969e-07 1.34644313e-06 1.74967567e-06
3.48777409e-01 1.78984298e-07 1.46948782e-06 1.86544495e-06
3.61233745e-01 1.85376632e-07 1.59887541e-06 1.98383832e-06
3.73690081e-01 1.91768971e-07 1.73432595e-06 2.10468103e-06
3.86146417e-01 1.98161317e-07 1.87552634e-06 2.22779386e-06
3.98602753e-01 2.04553668e-07 2.02213304e-06 2.35299359e-06
4.11059089e-01 2.10946024e-07 2.17377454e-06 2.48009355e-06
4.23515425e-01 2.17338387e-07 2.33005384e-06 2.60890417e-06
4.35971761e-01 2.23730755e-07 2.49055098e-06 2.73923352e-06
4.48428097e-01 2.30123130e-07 2.65482552e-06 2.87088783e-06
4.60884433e-01 2.36515510e-07 2.82241914e-06 3.00367213e-06
4.73340769e-01 2.42907895e-07 2.99285836e-06 3.13739079e-06
4.85797105e-01 2.49300286e-07 3.16565717e-06 3.27184810e-06
4.98253441e-01 2.55692683e-07 3.34031995e-06 3.40684892e-06
5.10709777e-01 2.62085084e-07 3.51634422e-06 3.54219925e-06
5.23166113e-01 2.68477490e-07 3.69322364e-06 3.67770689e-06
5.35622449e-01 2.74869901e-07 3.87045087e-06 3.81318203e-06
5.48078785e-01 2.81262316e-07 4.04752052e-06 3.94843796e-06
5.60535121e-01 2.87654735e-07 4.22393216e-06 4.08329167e-06
5.72991457e-01 2.94047157e-07 4.39919315e-06 4.21756452e-06
5.85447793e-01 3.00439583e-07 4.57282160e-06 4.35108293e-06
5.97904129e-01 3.06832012e-07 4.74434918e-06 4.48367904e-06
6.10360465e-01 3.13224444e-07 4.91332385e-06 4.61519136e-06
6.22816801e-01 3.19616877e-07 5.07931261e-06 4.74546551e-06
6.35273137e-01 3.26009313e-07 5.24190398e-06 4.87435486e-06
6.47729473e-01 3.32401749e-07 5.40071055e-06 5.00172121e-06
6.60185809e-01 3.38794187e-07 5.55537125e-06 5.12743549e-06
6.72642145e-01 3.45186625e-07 5.70555352e-06 5.25137845e-06
6.85098481e-01 3.51579063e-07 5.85095541e-06 5.37344127e-06
6.97554817e-01 3.57971501e-07 5.99130733e-06 5.49352633e-06
7.10011153e-01 3.64363938e-07 6.12637384e-06 5.61154774e-06
7.22467489e-01 3.70756374e-07 6.25595504e-06 5.72743206e-06
7.34923825e-01 3.77148808e-07 6.37988797e-06 5.84111891e-06
7.47380161e-01 3.83541240e-07 6.49804761e-06 5.95256154e-06
7.59836497e-01 3.89933670e-07 6.61034785e-06 6.06172741e-06
7.72292833e-01 3.96326098e-07 6.71674216e-06 6.16859873e-06
7.84749169e-01 4.02718521e-07 6.81722402e-06 6.27317300e-06
7.97205505e-01 4.09110942e-07 6.91182722e-06 6.37546339e-06
8.09661841e-01 4.15503359e-07 7.00062589e-06 6.47549924e-06
8.22118177e-01 4.21895772e-07 7.08373431e-06 6.57332633e-06
8.34574514e-01 4.28288181e-07 7.16130656e-06 6.66900723e-06
8.47030850e-01 4.34680586e-07 7.23353585e-06 6.76262148e-06
8.59487186e-01 4.41072986e-07 7.30065379e-06 6.85426575e-06
8.71943522e-01 4.47465381e-07 7.36292928e-06 6.94405383e-06
8.84399858e-01 4.53857772e-07 7.42066733e-06 7.03211665e-06
8.96856194e-01 4.60250157e-07 7.47420758e-06 7.11860202e-06
9.09312530e-01 4.66642538e-07 7.52392266e-06 7.20367439e-06
9.21768866e-01 4.73034913e-07 7.57021635e-06 7.28751441e-06
9.34225202e-01 4.79427284e-07 7.61352149e-06 7.37031836e-06
9.46681538e-01 4.85819649e-07 7.65429774e-06 7.45229743e-06
9.59137874e-01 4.92212010e-07 7.69302908e-06 7.53367686e-06
9.71594210e-01 4.98604365e-07 7.73022119e-06 7.61469487e-06
