#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
3.11408401e-03 1.55877874e-12 2.39138665e-11 2.09122249e-11
6.22816801e-03 3.11778947e-12 4.78318032e-11 4.18756382e-11
9.34225202e-03 4.67656821e-12 7.17436089e-11 6.29352903e-11
1.24563360e-02 6.23534695e-12 9.56397233e-11 8.41348860e-11
1.55704200e-02 7.79424168e-12 1.19510053e-10 1.05518625e-10
1.86845040e-02 9.35267243e-12 1.43345366e-10 1.27129314e-10
2.17985880e-02 1.09115672e-11 1.67136251e-10 1.49009794e-10
2.49126720e-02 1.24705779e-11 1.90873816e-10 1.71201790e-10
2.80267561e-02 1.40292406e-11 2.14549714e-10 1.93745370e-10
3.11408401e-02 1.55883674e-11 2.38156153e-10 2.16679907e-10
3.42549241e-02 1.71469141e-11 2.61685806e-10 2.40043408e-10
3.73690081e-02 1.87059248e-11 2.85131857e-10 2.63872571e-10
4.04830921e-02 2.02644716e-11 3.08487967e-10 2.88202850e-10
4.35971761e-02 2.18231343e-11 3.31749071e-10 3.13068005e-10
4.67112601e-02 2.33819131e-11 3.54910302e-10 3.38500275e-10
4.98253441e-02 2.49406918e-11 3.77968148e-10 3.64530418e-10
5.29394281e-02 2.64993545e-11 4.00919788e-10 3.91187255e-10
5.60535121e-02 2.80581333e-11 4.23763387e-10 4.18498420e-10
5.91675961e-02 2.96167960e-11 4.46497974e-10 4.46490210e-10
6.22816801e-02 3.11758068e-11 4.69123830e-10 4.75187277e-10
6.53957641e-02 3.27349335e-11 4.91642417e-10 5.04612130e-10
6.85098481e-02 3.42934802e-11 5.14056423e-10 5.34786506e-10
7.16239321e-02 3.58521430e-11 5.36369995e-10 5.65730201e-10
7.47380161e-02 3.74109217e-11 5.58588281e-10 5.97461961e-10
7.78521001e-02 3.89698164e-11 5.80717881e-10 6.29999226e-10
8.09661841e-02 4.05285952e-11 6.02766781e-10 6.63358163e-10
8.40802682e-02 4.20876059e-11 6.24744763e-10 6.97553271e-10
8.71943522e-02 4.36462687e-11 6.46663089e-10 7.32598307e-10
9.03084362e-02 4.52053954e-11 6.68534661e-10 7.68505147e-10
9.34225202e-02 4.67639421e-11 6.90373749e-10 8.05285530e-10
9.65366042e-02 4.83231849e-11 7.12196384e-10 8.42949579e-10
9.96506882e-02 4.98817316e-11 7.34020379e-10 8.81507009e-10
1.02764772e-01 5.14405103e-11 7.55865303e-10 9.20965691e-10
1.05878856e-01 5.29992891e-11 7.77752690e-10 9.61332862e-10
1.08992940e-01 5.45580678e-11 7.99705267e-10 1.00261582e-09
1.12107024e-01 5.61167306e-11 8.21748256e-10 1.04481977e-09
1.15221108e-01 5.76753933e-11 8.43908107e-10 1.08795013e-09
1.18335192e-01 5.92341720e-11 8.66213145e-10 1.13201094e-09
1.21449276e-01 6.07931828e-11 8.88693258e-10 1.17700640e-09
1.24563360e-01 6.23519615e-11 9.11380372e-10 1.22293907e-09
