#	Time	Error_of_Energy	Error_of_Position
4.02633697e-02 1.98400495e-03 1.31776418e-03
8.05267394e-02 6.52163137e-03 2.35810709e-03
1.20790109e-01 1.10932873e-02 3.01471035e-03
1.61053479e-01 1.43361052e-02 3.35042071e-03
2.01316848e-01 1.61850983e-02 3.49397242e-03
2.41580218e-01 1.70680714e-02 3.56079372e-03
2.81843588e-01 1.73994703e-02 3.62560544e-03
3.22106957e-01 1.74520406e-02 3.72456816e-03
3.62370327e-01 1.73786850e-02 3.86731662e-03
4.02633697e-01 1.72578412e-02 4.04934266e-03
4.42897067e-01 1.71271184e-02 4.26092346e-03
4.83160436e-01 1.70031455e-02 4.49204028e-03
5.23423806e-01 1.68922309e-02 4.73437208e-03
5.63687176e-01 1.67958259e-02 4.98170217e-03
6.03950545e-01 1.67132448e-02 5.22967287e-03
6.44213915e-01 1.66429862e-02 5.47536754e-03
6.84477285e-01 1.65833516e-02 5.71691447e-03
7.24740654e-01 1.65327187e-02 5.95317353e-03
7.65004024e-01 1.64896456e-02 6.18350537e-03
8.05267394e-01 1.64528966e-02 6.40760777e-03
8.45530763e-01 1.64214337e-02 6.62540093e-03
8.85794133e-01 1.63943936e-02 6.83694993e-03
9.26057503e-01 1.63710625e-02 7.04241090e-03
9.66320872e-01 1.63508507e-02 7.24199622e-03
1.00658424e+00 1.63332713e-02 7.43594691e-03
1.04684761e+00 1.63179217e-02 7.62452280e-03
1.08711098e+00 1.63044678e-02 7.80798325e-03
1.12737435e+00 1.62926322e-02 7.98658756e-03
1.16763772e+00 1.62821831e-02 8.16058704e-03
1.20790109e+00 1.62729264e-02 8.33022254e-03
1.24816446e+00 1.62646992e-02 8.49572288e-03
1.28842783e+00 1.62573640e-02 8.65730379e-03
1.32869120e+00 1.62508043e-02 8.81517149e-03
1.36895457e+00 1.62449212e-02 8.96951762e-03
1.40921794e+00 1.62396302e-02 9.12052006e-03
1.44948131e+00 1.62348592e-02 9.26835026e-03
1.48974468e+00 1.62305462e-02 9.41316407e-03
1.53000805e+00 1.62266378e-02 9.55510834e-03
1.57027142e+00 1.62230877e-02 9.69432407e-03
1.61053479e+00 1.62198559e-02 9.83093884e-03
1.65079816e+00 1.62169077e-02 9.96507204e-03
1.69106153e+00 1.62142125e-02 1.00968380e-02
1.73132490e+00 1.62117438e-02 1.02263435e-02
1.77158827e+00 1.62094784e-02 1.03536880e-02
1.81185164e+00 1.62073957e-02 1.04789646e-02
1.85211501e+00 1.62054776e-02 1.06022612e-02
1.89237838e+00 1.62037081e-02 1.07236601e-02
1.93264174e+00 1.62020731e-02 1.08432391e-02
1.97290511e+00 1.62005601e-02 1.09610713e-02
2.01316848e+00 1.61991578e-02 1.10772257e-02
2.05343185e+00 1.61978562e-02 1.11917663e-02
2.09369522e+00 1.61966465e-02 1.13047531e-02
2.13395859e+00 1.61955206e-02 1.14162453e-02
2.17422196e+00 1.61944713e-02 1.15262997e-02
2.21448533e+00 1.61934923e-02 1.16349686e-02
2.25474870e+00 1.61925777e-02 1.17422969e-02
2.29501207e+00 1.61917222e-02 1.18483306e-02
2.33527544e+00 1.61909212e-02 1.19531197e-02
2.37553881e+00 1.61901703e-02 1.20567046e-02
2.41580218e+00 1.61894657e-02 1.21591177e-02
2.45606555e+00 1.61888038e-02 1.22604062e-02
2.49632892e+00 1.61881815e-02 1.23606045e-02
2.53659229e+00 1.61875957e-02 1.24597384e-02
2.57685566e+00 1.61870438e-02 1.25578539e-02
2.61711903e+00 1.61865235e-02 1.26549712e-02
2.65738240e+00 1.61860323e-02 1.27511244e-02
2.69764577e+00 1.61855684e-02 1.28463457e-02
2.73790914e+00 1.61851298e-02 1.29406512e-02
2.77817251e+00 1.61847149e-02 1.30340830e-02
2.81843588e+00 1.61843220e-02 1.31266468e-02
2.85869925e+00 1.61839496e-02 1.32183868e-02
2.89896262e+00 1.61835965e-02 1.33093050e-02
2.93922599e+00 1.61832614e-02 1.33994443e-02
2.97948936e+00 1.61829431e-02 1.34888041e-02
3.01975273e+00 1.61826407e-02 1.35774268e-02
3.06001610e+00 1.61823531e-02 1.36653083e-02
3.10027947e+00 1.61820794e-02 1.37524914e-02
3.14054284e+00 1.61818187e-02 1.38389697e-02
3.18080621e+00 1.61815704e-02 1.39247824e-02
3.22106957e+00 1.61813337e-02 1.40099287e-02
3.26133294e+00 1.61811078e-02 1.40944343e-02
3.30159631e+00 1.61808922e-02 1.41783149e-02
3.34185968e+00 1.61806864e-02 1.42615733e-02
3.38212305e+00 1.61804896e-02 1.43442451e-02
3.42238642e+00 1.61803015e-02 1.44263180e-02
3.46264979e+00 1.61801216e-02 1.45078267e-02
3.50291316e+00 1.61799494e-02 1.45887765e-02
3.54317653e+00 1.61797845e-02 1.46691696e-02
3.58343990e+00 1.61796265e-02 1.47490407e-02
3.62370327e+00 1.61794751e-02 1.48283768e-02
3.66396664e+00 1.61793299e-02 1.49072010e-02
3.70423001e+00 1.61791906e-02 1.49855336e-02
3.74449338e+00 1.61790569e-02 1.50633592e-02
3.78475675e+00 1.61789286e-02 1.51407100e-02
3.82502012e+00 1.61788052e-02 1.52175961e-02
3.86528349e+00 1.61786867e-02 1.52940040e-02
3.90554686e+00 1.61785728e-02 1.53699668e-02
3.94581023e+00 1.61784631e-02 1.54454922e-02
3.98607360e+00 1.61783577e-02 1.55205655e-02
4.02633697e+00 1.61782562e-02 1.55952178e-02
4.06660034e+00 1.61781584e-02 1.56694601e-02
4.10686371e+00 1.61780642e-02 1.57432755e-02
4.14712708e+00 1.61779735e-02 1.58166879e-02
4.18739045e+00 1.61778860e-02 1.58897162e-02
4.22765382e+00 1.61778016e-02 1.59623458e-02
4.26791719e+00 1.61777202e-02 1.60345842e-02
4.30818056e+00 1.61776417e-02 1.61064590e-02
4.34844393e+00 1.61775658e-02 1.61779678e-02
4.38870730e+00 1.61774926e-02 1.62490970e-02
4.42897067e+00 1.61774219e-02 1.63198738e-02
4.46923403e+00 1.61773535e-02 1.63903121e-02
4.50949740e+00 1.61772875e-02 1.64603987e-02
4.54976077e+00 1.61772236e-02 1.65301339e-02
4.59002414e+00 1.61771618e-02 1.65995450e-02
4.63028751e+00 1.61771021e-02 1.66686377e-02
4.67055088e+00 1.61770442e-02 1.67373961e-02
4.71081425e+00 1.61769883e-02 1.68058280e-02
4.75107762e+00 1.61769340e-02 1.68739577e-02
4.79134099e+00 1.61768815e-02 1.69417887e-02
4.83160436e+00 1.61768307e-02 1.70093051e-02
4.87186773e+00 1.61767814e-02 1.70765135e-02
4.91213110e+00 1.61767336e-02 1.71434375e-02
4.95239447e+00 1.61766873e-02 1.72100825e-02
4.99265784e+00 1.61766424e-02 1.72764352e-02
5.03292121e+00 1.61765988e-02 1.73424931e-02
