#	Time	Error_of_Energy	Error_of_Position
2.01316848e-02 -3.15245074e-05 8.41991870e-05
4.02633697e-02 -1.17941403e-04 1.66631838e-04
6.03950545e-02 -2.38294347e-04 2.45672821e-04
8.05267394e-02 -3.67094816e-04 3.19970577e-04
1.00658424e-01 -4.82536284e-04 3.88547801e-04
1.20790109e-01 -5.71074999e-04 4.50845293e-04
1.40921794e-01 -6.27833065e-04 5.06699541e-04
1.61053479e-01 -6.54400395e-04 5.56269905e-04
1.81185164e-01 -6.55945211e-04 5.99942596e-04
2.01316848e-01 -6.38829704e-04 6.38236800e-04
2.21448533e-01 -6.09113509e-04 6.71728269e-04
2.41580218e-01 -5.71842187e-04 7.00995106e-04
2.61711903e-01 -5.30858007e-04 7.26583909e-04
2.81843588e-01 -4.88889650e-04 7.48991845e-04
3.01975273e-01 -4.47754121e-04 7.68659436e-04
3.22106957e-01 -4.08577011e-04 7.85970520e-04
3.42238642e-01 -3.71987683e-04 8.01255409e-04
3.62370327e-01 -3.38275182e-04 8.14796734e-04
3.82502012e-01 -3.07505078e-04 8.26834787e-04
4.02633697e-01 -2.79603215e-04 8.37573786e-04
4.22765382e-01 -2.54413703e-04 8.47187208e-04
4.42897067e-01 -2.31737875e-04 8.55822159e-04
4.63028751e-01 -2.11359662e-04 8.63604109e-04
4.83160436e-01 -1.93061550e-04 8.70639632e-04
5.03292121e-01 -1.76634151e-04 8.77020070e-04
5.23423806e-01 -1.61881520e-04 8.82823474e-04
5.43555491e-01 -1.48623717e-04 8.88117344e-04
5.63687176e-01 -1.36697633e-04 8.92959384e-04
5.83818860e-01 -1.25956740e-04 8.97399916e-04
6.03950545e-01 -1.16270238e-04 9.01482278e-04
6.24082230e-01 -1.07521876e-04 9.05243670e-04
6.44213915e-01 -9.96086383e-05 9.08718362e-04
6.64345600e-01 -9.24394092e-05 9.11934192e-04
6.84477285e-01 -8.59336875e-05 9.14916653e-04
7.04608969e-01 -8.00203818e-05 9.17688503e-04
7.24740654e-01 -7.46367110e-05 9.20269428e-04
7.44872339e-01 -6.97272118e-05 9.22676870e-04
7.65004024e-01 -6.52428536e-05 9.24926498e-04
7.85135709e-01 -6.11402544e-05 9.27032063e-04
8.05267394e-01 -5.73809895e-05 9.29005337e-04
8.25399079e-01 -5.39309849e-05 9.30857495e-04
8.45530763e-01 -5.07599859e-05 9.32599926e-04
8.65662448e-01 -4.78410923e-05 9.34239102e-04
8.85794133e-01 -4.51503529e-05 9.35785523e-04
9.05925818e-01 -4.26664111e-05 9.37243914e-04
9.26057503e-01 -4.03701955e-05 9.38623659e-04
9.46189188e-01 -3.82446504e-05 9.39927911e-04
9.66320872e-01 -3.62744994e-05 9.41163515e-04
9.86452557e-01 -3.44460395e-05 9.42336169e-04
1.00658424e+00 -3.27469605e-05 9.43448731e-04
1.02671593e+00 -3.11661874e-05 9.44505352e-04
1.04684761e+00 -2.96937415e-05 9.45510396e-04
1.06697930e+00 -2.83206189e-05 9.46467684e-04
1.08711098e+00 -2.70386836e-05 9.47380106e-04
1.10724267e+00 -2.58405738e-05 9.48250283e-04
1.12737435e+00 -2.47196184e-05 9.49080808e-04
1.14750604e+00 -2.36697646e-05 9.49874125e-04
1.16763772e+00 -2.26855126e-05 9.50632491e-04
1.18776941e+00 -2.17618591e-05 9.51357975e-04
1.20790109e+00 -2.08942460e-05 9.52052503e-04
1.22803278e+00 -2.00785163e-05 9.52717932e-04
1.24816446e+00 -1.93108731e-05 9.53356197e-04
1.26829615e+00 -1.85878453e-05 9.53969105e-04
1.28842783e+00 -1.79062549e-05 9.54557800e-04
1.30855951e+00 -1.72631895e-05 9.55123068e-04
1.32869120e+00 -1.66559768e-05 9.55665691e-04
1.34882288e+00 -1.60821622e-05 9.56187054e-04
1.36895457e+00 -1.55394883e-05 9.56689879e-04
1.38908625e+00 -1.50258772e-05 9.57175084e-04
1.40921794e+00 -1.45394142e-05 9.57641444e-04
1.42934962e+00 -1.40783327e-05 9.58089690e-04
1.44948131e+00 -1.36410018e-05 9.58523849e-04
1.46961299e+00 -1.32259139e-05 9.58943337e-04
1.48974468e+00 -1.28316742e-05 9.59346005e-04
1.50987636e+00 -1.24569911e-05 9.59736076e-04
1.53000805e+00 -1.21006674e-05 9.60114477e-04
1.55013973e+00 -1.17615924e-05 9.60477372e-04
1.57027142e+00 -1.14387348e-05 9.60830499e-04
1.59040310e+00 -1.11311360e-05 9.61172327e-04
1.61053479e+00 -1.08379045e-05 9.61500592e-04
1.63066647e+00 -1.05582104e-05 9.61822349e-04
1.65079816e+00 -1.02912805e-05 9.62130608e-04
1.67092984e+00 -1.00363937e-05 9.62431462e-04
1.69106153e+00 -9.79287736e-06 9.62722652e-04
1.71119321e+00 -9.56010315e-06 9.63003843e-04
1.73132490e+00 -9.33748395e-06 9.63279178e-04
1.75145658e+00 -9.12447064e-06 9.63542881e-04
1.77158827e+00 -8.92054931e-06 9.63803085e-04
1.79171995e+00 -8.72523863e-06 9.64051213e-04
1.81185164e+00 -8.53808753e-06 9.64297095e-04
1.83198332e+00 -8.35867293e-06 9.64531085e-04
1.85211501e+00 -8.18659782e-06 9.64763588e-04
1.87224669e+00 -8.02148935e-06 9.64984638e-04
1.89237838e+00 -7.86299718e-06 9.65204592e-04
1.91251006e+00 -7.71079188e-06 9.65413982e-04
1.93264174e+00 -7.56456353e-06 9.65621829e-04
1.95277343e+00 -7.42402034e-06 9.65821064e-04
1.97290511e+00 -7.28888747e-06 9.66016811e-04
1.99303680e+00 -7.15890586e-06 9.66207422e-04
2.01316848e+00 -7.03383123e-06 9.66391133e-04
2.03330017e+00 -6.91343305e-06 9.66574035e-04
2.05343185e+00 -6.79749370e-06 9.66747089e-04
2.07356354e+00 -6.68580759e-06 9.66921472e-04
2.09369522e+00 -6.57818042e-06 9.67087289e-04
2.11382691e+00 -6.47442847e-06 9.67250583e-04
2.13395859e+00 -6.37437791e-06 9.67411504e-04
2.15409028e+00 -6.27786420e-06 9.67563970e-04
2.17422196e+00 -6.18473152e-06 9.67718668e-04
2.19435365e+00 -6.09483221e-06 9.67865643e-04
2.21448533e+00 -6.00802631e-06 9.68009337e-04
2.23461702e+00 -5.92418109e-06 9.68153344e-04
2.25474870e+00 -5.84317059e-06 9.68288616e-04
2.27488039e+00 -5.76487525e-06 9.68424767e-04
2.29501207e+00 -5.68918153e-06 9.68558104e-04
2.31514376e+00 -5.61598153e-06 9.68683827e-04
2.33527544e+00 -5.54517271e-06 9.68812305e-04
2.35540713e+00 -5.47665756e-06 9.68936180e-04
2.37553881e+00 -5.41034331e-06 9.69053618e-04
2.39567050e+00 -5.34614166e-06 9.69174397e-04
2.41580218e+00 -5.28396855e-06 9.69290209e-04
2.43593387e+00 -5.22374392e-06 9.69399984e-04
2.45606555e+00 -5.16539146e-06 9.69513258e-04
2.47619724e+00 -5.10883846e-06 9.69622332e-04
2.49632892e+00 -5.05401554e-06 9.69725008e-04
2.51646061e+00 -5.00085657e-06 9.69830757e-04
2.53659229e+00 -4.94929839e-06 9.69934250e-04
2.55672397e+00 -4.89928074e-06 9.70030818e-04
2.57685566e+00 -4.85074604e-06 9.70128579e-04
2.59698734e+00 -4.80363932e-06 9.70227204e-04
2.61711903e+00 -4.75790801e-06 9.70319166e-04
2.63725071e+00 -4.71350188e-06 9.70408713e-04
2.65738240e+00 -4.67037287e-06 9.70502084e-04
2.67751408e+00 -4.62847503e-06 9.70590976e-04
2.69764577e+00 -4.58776436e-06 9.70674213e-04
2.71777745e+00 -4.54819877e-06 9.70760002e-04
2.73790914e+00 -4.50973792e-06 9.70846308e-04
2.75804082e+00 -4.47234321e-06 9.70926562e-04
2.77817251e+00 -4.43597763e-06 9.71003780e-04
2.79830419e+00 -4.40060570e-06 9.71085233e-04
2.81843588e+00 -4.36619342e-06 9.71164457e-04
2.83856756e+00 -4.33270819e-06 9.71237756e-04
2.85869925e+00 -4.30011871e-06 9.71310101e-04
2.87883093e+00 -4.26839496e-06 9.71386469e-04
2.89896262e+00 -4.23750813e-06 9.71459643e-04
2.91909430e+00 -4.20743054e-06 9.71527289e-04
2.93922599e+00 -4.17813563e-06 9.71594682e-04
2.95935767e+00 -4.14959787e-06 9.71666006e-04
2.97948936e+00 -4.12179272e-06 9.71734327e-04
2.99962104e+00 -4.09469660e-06 9.71797316e-04
3.01975273e+00 -4.06828686e-06 9.71859411e-04
3.03988441e+00 -4.04254168e-06 9.71925794e-04
3.06001610e+00 -4.01744009e-06 9.71990324e-04
3.08014778e+00 -3.99296192e-06 9.72049694e-04
3.10027947e+00 -3.96908775e-06 9.72106603e-04
3.12041115e+00 -3.94579888e-06 9.72167480e-04
3.14054284e+00 -3.92307730e-06 9.72228859e-04
3.16067452e+00 -3.90090569e-06 9.72285804e-04
3.18080621e+00 -3.87926734e-06 9.72338686e-04
3.20093789e+00 -3.85814615e-06 9.72392942e-04
3.22106957e+00 -3.83752662e-06 9.72450777e-04
3.24120126e+00 -3.81739378e-06 9.72506252e-04
3.26133294e+00 -3.79773322e-06 9.72557044e-04
3.28146463e+00 -3.77853104e-06 9.72605468e-04
3.30159631e+00 -3.75977381e-06 9.72657343e-04
3.32172800e+00 -3.74144859e-06 9.72711037e-04
3.34185968e+00 -3.72354289e-06 9.72761461e-04
3.36199137e+00 -3.70604464e-06 9.72807547e-04
3.38212305e+00 -3.68894221e-06 9.72852269e-04
3.40225474e+00 -3.67222435e-06 9.72900937e-04
3.42238642e+00 -3.65588020e-06 9.72950767e-04
3.44251811e+00 -3.63989927e-06 9.72997323e-04
3.46264979e+00 -3.62427141e-06 9.73039773e-04
3.48278148e+00 -3.60898682e-06 9.73080824e-04
3.50291316e+00 -3.59403604e-06 9.73125556e-04
3.52304485e+00 -3.57940990e-06 9.73172043e-04
3.54317653e+00 -3.56509954e-06 9.73215842e-04
3.56330822e+00 -3.55109640e-06 9.73255630e-04
3.58343990e+00 -3.53739219e-06 9.73293193e-04
3.60357159e+00 -3.52397889e-06 9.73333157e-04
3.62370327e+00 -3.51084874e-06 9.73376380e-04
3.64383496e+00 -3.49799422e-06 9.73418260e-04
3.66396664e+00 -3.48540806e-06 9.73456483e-04
3.68409833e+00 -3.47308321e-06 9.73491477e-04
3.70423001e+00 -3.46101287e-06 9.73526341e-04
3.72436170e+00 -3.44919041e-06 9.73565166e-04
3.74449338e+00 -3.43760943e-06 9.73605208e-04
3.76462507e+00 -3.42626374e-06 9.73642841e-04
3.78475675e+00 -3.41514733e-06 9.73676855e-04
3.80488844e+00 -3.40425436e-06 9.73708409e-04
3.82502012e+00 -3.39357919e-06 9.73740974e-04
3.84515180e+00 -3.38311634e-06 9.73777482e-04
3.86528349e+00 -3.37286050e-06 9.73814449e-04
3.88541517e+00 -3.36280651e-06 9.73848884e-04
3.90554686e+00 -3.35294938e-06 9.73879895e-04
3.92567854e+00 -3.34328426e-06 9.73908646e-04
3.94581023e+00 -3.33380645e-06 9.73938307e-04
3.96594191e+00 -3.32451137e-06 9.73971848e-04
3.98607360e+00 -3.31539459e-06 9.74006245e-04
4.00620528e+00 -3.30645181e-06 9.74038539e-04
4.02633697e+00 -3.29767886e-06 9.74067601e-04
4.04646865e+00 -3.28907166e-06 9.74094091e-04
4.06660034e+00 -3.28062629e-06 9.74120423e-04
4.08673202e+00 -3.27233890e-06 9.74150128e-04
4.10686371e+00 -3.26420579e-06 9.74182091e-04
4.12699539e+00 -3.25622333e-06 9.74213021e-04
4.14712708e+00 -3.24838801e-06 9.74241172e-04
4.16725876e+00 -3.24069642e-06 9.74266365e-04
4.18739045e+00 -3.23314524e-06 9.74289955e-04
4.20752213e+00 -3.22573124e-06 9.74314798e-04
4.22765382e+00 -3.21845129e-06 9.74343312e-04
4.24778550e+00 -3.21130233e-06 9.74372866e-04
4.26791719e+00 -3.20428139e-06 9.74400855e-04
4.28804887e+00 -3.19738559e-06 9.74426052e-04
4.30818056e+00 -3.19061212e-06 9.74448577e-04
4.32831224e+00 -3.18395824e-06 9.74469868e-04
4.34844393e+00 -3.17742130e-06 9.74492658e-04
4.36857561e+00 -3.17099871e-06 9.74518987e-04
4.38870730e+00 -3.16468795e-06 9.74546329e-04
4.40883898e+00 -3.15848656e-06 9.74572291e-04
4.42897067e+00 -3.15239216e-06 9.74595672e-04
4.44910235e+00 -3.14640242e-06 9.74616435e-04
4.46923403e+00 -3.14051508e-06 9.74635685e-04
4.48936572e+00 -3.13472794e-06 9.74655646e-04
4.50949740e+00 -3.12903884e-06 9.74678933e-04
4.52962909e+00 -3.12344569e-06 9.74704172e-04
4.54976077e+00 -3.11794645e-06 9.74728830e-04
4.56989246e+00 -3.11253914e-06 9.74751396e-04
4.59002414e+00 -3.10722182e-06 9.74771372e-04
4.61015583e+00 -3.10199260e-06 9.74789250e-04
4.63028751e+00 -3.09684964e-06 9.74806496e-04
4.65041920e+00 -3.09179116e-06 9.74825527e-04
4.67055088e+00 -3.08681539e-06 9.74847832e-04
4.69068257e+00 -3.08192064e-06 9.74871184e-04
4.71081425e+00 -3.07710524e-06 9.74893547e-04
4.73094594e+00 -3.07236758e-06 9.74913767e-04
4.75107762e+00 -3.06770606e-06 9.74931554e-04
4.77120931e+00 -3.06311915e-06 9.74947469e-04
4.79134099e+00 -3.05860535e-06 9.74962907e-04
4.81147268e+00 -3.05416317e-06 9.74980079e-04
4.83160436e+00 -3.04979120e-06 9.75000432e-04
4.85173605e+00 -3.04548803e-06 9.75021981e-04
4.87186773e+00 -3.04125229e-06 9.75042806e-04
4.89199942e+00 -3.03708266e-06 9.75061746e-04
4.91213110e+00 -3.03297783e-06 9.75078384e-04
4.93226279e+00 -3.02893654e-06 9.75093035e-04
