#	Time	Error_of_Energy	Error_of_Position
1.18776941e+00 1.00708794e-03 5.12671172e-04
1.19783525e+00 1.00694567e-03 5.15303695e-04
1.20790109e+00 1.00680755e-03 5.17920552e-04
1.21796693e+00 1.00667344e-03 5.20520276e-04
1.22803278e+00 1.00654319e-03 5.23105547e-04
1.23809862e+00 1.00641667e-03 5.25673369e-04
1.24816446e+00 1.00629375e-03 5.28227669e-04
1.25823030e+00 1.00617429e-03 5.30764794e-04
1.26829615e+00 1.00605819e-03 5.33288387e-04
1.27836199e+00 1.00594533e-03 5.35796284e-04
1.28842783e+00 1.00583559e-03 5.38289520e-04
1.29849367e+00 1.00572887e-03 5.40769290e-04
1.30855951e+00 1.00562507e-03 5.43233026e-04
1.31862536e+00 1.00552409e-03 5.45684688e-04
1.32869120e+00 1.00542583e-03 5.48120762e-04
1.33875704e+00 1.00533021e-03 5.50543837e-04
1.34882288e+00 1.00523713e-03 5.52954037e-04
1.35888873e+00 1.00514652e-03 5.55349139e-04
1.36895457e+00 1.00505830e-03 5.57733074e-04
1.37902041e+00 1.00497238e-03 5.60102599e-04
1.38908625e+00 1.00488870e-03 5.62459307e-04
1.39915210e+00 1.00480717e-03 5.64804859e-04
1.40921794e+00 1.00472774e-03 5.67135671e-04
1.41928378e+00 1.00465033e-03 5.69455528e-04
1.42934962e+00 1.00457489e-03 5.71763580e-04
1.43941547e+00 1.00450135e-03 5.74057726e-04
1.44948131e+00 1.00442964e-03 5.76341905e-04
1.45954715e+00 1.00435973e-03 5.78613817e-04
1.46961299e+00 1.00429154e-03 5.80872855e-04
1.47967884e+00 1.00422503e-03 5.83122466e-04
1.48974468e+00 1.00416015e-03 5.85359770e-04
1.49981052e+00 1.00409684e-03 5.87584949e-04
1.50987636e+00 1.00403507e-03 5.89801117e-04
1.51994221e+00 1.00397477e-03 5.92005327e-04
1.53000805e+00 1.00391592e-03 5.94197762e-04
1.54007389e+00 1.00385846e-03 5.96381575e-04
1.55013973e+00 1.00380236e-03 5.98554155e-04
1.56020558e+00 1.00374758e-03 6.00714928e-04
1.57027142e+00 1.00369407e-03 6.02867367e-04
1.58033726e+00 1.00364181e-03 6.05009695e-04
1.59040310e+00 1.00359075e-03 6.07139964e-04
1.60046894e+00 1.00354086e-03 6.09261887e-04
1.61053479e+00 1.00349211e-03 6.11375069e-04
1.62060063e+00 1.00344447e-03 6.13476250e-04
1.63066647e+00 1.00339790e-03 6.15568479e-04
1.64073231e+00 1.00335237e-03 6.17653084e-04
1.65079816e+00 1.00330786e-03 6.19726914e-04
1.66086400e+00 1.00326433e-03 6.21790471e-04
1.67092984e+00 1.00322177e-03 6.23846793e-04
1.68099568e+00 1.00318014e-03 6.25894556e-04
1.69106153e+00 1.00313942e-03 6.27931051e-04
1.70112737e+00 1.00309958e-03 6.29959523e-04
1.71119321e+00 1.00306060e-03 6.31981087e-04
1.72125905e+00 1.00302246e-03 6.33992897e-04
1.73132490e+00 1.00298513e-03 6.35994655e-04
1.74139074e+00 1.00294860e-03 6.37989589e-04
1.75145658e+00 1.00291284e-03 6.39977448e-04
1.76152242e+00 1.00287782e-03 6.41955041e-04
1.77158827e+00 1.00284355e-03 6.43923882e-04
1.78165411e+00 1.00280998e-03 6.45886497e-04
1.79171995e+00 1.00277711e-03 6.47841911e-04
1.80178579e+00 1.00274491e-03 6.49787132e-04
1.81185164e+00 1.00271338e-03 6.51724419e-04
1.82191748e+00 1.00268248e-03 6.53655851e-04
1.83198332e+00 1.00265221e-03 6.55580254e-04
1.84204916e+00 1.00262256e-03 6.57494768e-04
1.85211501e+00 1.00259349e-03 6.59401669e-04
1.86218085e+00 1.00256501e-03 6.61302995e-04
1.87224669e+00 1.00253709e-03 6.63197807e-04
1.88231253e+00 1.00250973e-03 6.65083188e-04
1.89237838e+00 1.00248290e-03 6.66960808e-04
1.90244422e+00 1.00245660e-03 6.68833014e-04
1.91251006e+00 1.00243081e-03 6.70699436e-04
1.92257590e+00 1.00240552e-03 6.72557292e-04
1.93264174e+00 1.00238071e-03 6.74406812e-04
1.94270759e+00 1.00235639e-03 6.76250788e-04
1.95277343e+00 1.00233252e-03 6.78089690e-04
1.96283927e+00 1.00230911e-03 6.79921504e-04
1.97290511e+00 1.00228615e-03 6.81744402e-04
1.98297096e+00 1.00226361e-03 6.83561082e-04
1.99303680e+00 1.00224150e-03 6.85373049e-04
2.00310264e+00 1.00221980e-03 6.87179530e-04
2.01316848e+00 1.00219850e-03 6.88977845e-04
2.02323433e+00 1.00217759e-03 6.90768512e-04
2.03330017e+00 1.00215707e-03 6.92554112e-04
2.04336601e+00 1.00213693e-03 6.94335240e-04
2.05343185e+00 1.00211715e-03 6.96110418e-04
2.06349770e+00 1.00209773e-03 6.97877230e-04
2.07356354e+00 1.00207866e-03 6.99637507e-04
2.08362938e+00 1.00205993e-03 7.01393296e-04
2.09369522e+00 1.00204154e-03 7.03144741e-04
2.10376107e+00 1.00202347e-03 7.04890093e-04
2.11382691e+00 1.00200573e-03 7.06627321e-04
2.12389275e+00 1.00198829e-03 7.08358571e-04
2.13395859e+00 1.00197117e-03 7.10085642e-04
2.14402444e+00 1.00195434e-03 7.11808594e-04
2.15409028e+00 1.00193780e-03 7.13525759e-04
2.16415612e+00 1.00192156e-03 7.15235077e-04
2.17422196e+00 1.00190559e-03 7.16938484e-04
2.18428781e+00 1.00188989e-03 7.18637834e-04
2.19435365e+00 1.00187447e-03 7.20333399e-04
2.20441949e+00 1.00185930e-03 7.22023872e-04
2.21448533e+00 1.00184440e-03 7.23706950e-04
2.22455118e+00 1.00182974e-03 7.25383705e-04
2.23461702e+00 1.00181533e-03 7.27056271e-04
2.24468286e+00 1.00180117e-03 7.28725358e-04
2.25474870e+00 1.00178723e-03 7.30390240e-04
2.26481454e+00 1.00177353e-03 7.32048809e-04
2.27488039e+00 1.00176006e-03 7.33700348e-04
2.28494623e+00 1.00174681e-03 7.35347126e-04
2.29501207e+00 1.00173377e-03 7.36990468e-04
2.30507791e+00 1.00172095e-03 7.38630387e-04
2.31514376e+00 1.00170833e-03 7.40265595e-04
2.32520960e+00 1.00169592e-03 7.41893946e-04
2.33527544e+00 1.00168371e-03 7.43516294e-04
2.34534128e+00 1.00167169e-03 7.45134678e-04
2.35540713e+00 1.00165987e-03 7.46749967e-04
2.36547297e+00 1.00164823e-03 7.48361844e-04
2.37553881e+00 1.00163678e-03 7.49968808e-04
2.38560465e+00 1.00162551e-03 7.51568982e-04
2.39567050e+00 1.00161441e-03 7.53163752e-04
2.40573634e+00 1.00160349e-03 7.54754919e-04
2.41580218e+00 1.00159274e-03 7.56343204e-04
2.42586802e+00 1.00158216e-03 7.57928248e-04
2.43593387e+00 1.00157174e-03 7.59508619e-04
2.44599971e+00 1.00156148e-03 7.61082465e-04
