#	Time	Error_of_Energy	Error_of_Position
2.51646061e-03 -9.75219905e-13 5.10576135e-12
5.03292121e-03 -2.92388336e-12 9.35639217e-12
7.54938182e-03 -5.83799675e-12 1.32852477e-11
1.00658424e-02 -9.69979652e-12 1.71784943e-11
1.25823030e-02 -1.44924073e-11 2.15192113e-11
1.50987636e-02 -2.01874073e-11 2.66561007e-11
1.76152242e-02 -2.67590394e-11 3.26151278e-11
2.01316848e-02 -3.41673356e-11 3.90022014e-11
2.26481454e-02 -4.23749924e-11 4.49952096e-11
2.51646061e-02 -5.13402654e-11 4.94914267e-11
2.76810667e-02 -6.10143047e-11 5.23600692e-11
3.01975273e-02 -7.13495929e-11 5.43489829e-11
3.27139879e-02 -8.22923951e-11 5.60840734e-11
3.52304485e-02 -9.37885325e-11 5.79901988e-11
3.77469091e-02 -1.05781606e-10 6.02882978e-11
4.02633697e-02 -1.18216104e-10 6.30258981e-11
4.27798303e-02 -1.31032074e-10 6.61246222e-11
4.52962909e-02 -1.44174006e-10 6.94337910e-11
4.78127515e-02 -1.57584168e-10 7.27739670e-11
5.03292121e-02 -1.71204384e-10 7.59738921e-11
5.28456727e-02 -1.84979143e-10 7.88930087e-11
5.53621333e-02 -1.98855155e-10 8.14378840e-11
5.78785939e-02 -2.12780460e-10 8.35785543e-11
6.03950545e-02 -2.26704433e-10 8.53746536e-11
6.29115151e-02 -2.40580889e-10 8.70080315e-11
6.54279757e-02 -2.54363197e-10 8.88219484e-11
6.79444363e-02 -2.68008726e-10 9.13338645e-11
7.04608969e-02 -2.81479284e-10 9.51832839e-11
7.29773576e-02 -2.94738900e-10 1.00924602e-10
7.54938182e-02 -3.07754267e-10 1.08556042e-10
7.80102788e-02 -3.20494742e-10 1.16614194e-10
8.05267394e-02 -3.32935013e-10 1.20643305e-10
8.30432000e-02 -3.45051099e-10 1.16164354e-10
8.55596606e-02 -3.56824792e-10 1.07597441e-10
8.80761212e-02 -3.68235220e-10 1.02079475e-10
9.05925818e-02 -3.79271281e-10 1.05672398e-10
9.31090424e-02 -3.89920540e-10 1.18761319e-10
9.56255030e-02 -4.00173228e-10 1.28881036e-10
9.81419636e-02 -4.10024903e-10 1.17976161e-10
1.00658424e-01 -4.19471125e-10 1.06300399e-10
1.03174885e-01 -4.28511449e-10 1.13237903e-10
1.05691345e-01 -4.37144543e-10 1.31312354e-10
1.08207806e-01 -4.45373960e-10 1.21314377e-10
1.10724267e-01 -4.53202809e-10 1.08200677e-10
