#	Time	Error_of_Energy	Error_of_Position
2.51646061e-03 3.12460946e-08 3.29373085e-07
5.03292121e-03 1.24880949e-07 6.58438395e-07
7.54938182e-03 2.80594972e-07 9.86887724e-07
1.00658424e-02 4.97874476e-07 1.31441503e-06
1.25823030e-02 7.76005097e-07 1.64071691e-06
1.50987636e-02 1.11407653e-06 1.96549391e-06
1.76152242e-02 1.51098851e-06 2.28845156e-06
2.01316848e-02 1.96545805e-06 2.60930136e-06
2.26481454e-02 2.47602771e-06 2.92776164e-06
2.51646061e-02 3.04107494e-06 3.24355823e-06
2.76810667e-02 3.65882237e-06 3.55642392e-06
3.01975273e-02 4.32734891e-06 3.86609932e-06
3.27139879e-02 5.04460154e-06 4.17233450e-06
3.52304485e-02 5.80840771e-06 4.47488968e-06
3.77469091e-02 6.61648820e-06 4.77353582e-06
4.02633697e-02 7.46647036e-06 5.06805505e-06
4.27798303e-02 8.35590152e-06 5.35824112e-06
4.52962909e-02 9.28226257e-06 5.64389968e-06
4.78127515e-02 1.02429815e-05 5.92484860e-06
5.03292121e-02 1.12354466e-05 6.20091817e-06
5.28456727e-02 1.22570202e-05 6.47195132e-06
5.53621333e-02 1.33050507e-05 6.73780371e-06
5.78785939e-02 1.43768858e-05 6.99834386e-06
6.03950545e-02 1.54698840e-05 7.25345309e-06
6.29115151e-02 1.65814258e-05 7.50302552e-06
6.54279757e-02 1.77089251e-05 7.74696797e-06
6.79444363e-02 1.88498384e-05 7.98519978e-06
7.04608969e-02 2.00016747e-05 8.21765273e-06
7.29773576e-02 2.11620038e-05 8.44427105e-06
7.54938182e-02 2.23284640e-05 8.66501161e-06
7.80102788e-02 2.34987691e-05 8.87984458e-06
8.05267394e-02 2.46707147e-05 9.08875464e-06
8.30432000e-02 2.58421832e-05 9.29173765e-06
8.55596606e-02 2.70111485e-05 9.48879134e-06
8.80761212e-02 2.81756799e-05 9.67992108e-06
9.05925818e-02 2.93339448e-05 9.86514322e-06
9.31090424e-02 3.04842111e-05 1.00444894e-05
9.56255030e-02 3.16248488e-05 1.02180133e-05
9.81419636e-02 3.27543309e-05 1.03857828e-05
1.00658424e-01 3.38712336e-05 1.05478356e-05
1.03174885e-01 3.49742363e-05 1.07042175e-05
1.05691345e-01 3.60621202e-05 1.08550087e-05
1.08207806e-01 3.71337678e-05 1.10003287e-05
1.10724267e-01 3.81881605e-05 1.11402381e-05
1.13240727e-01 3.92243768e-05 1.12747956e-05
1.15757188e-01 4.02415898e-05 1.14041366e-05
1.18273648e-01 4.12390643e-05 1.15283818e-05
1.20790109e-01 4.22161537e-05 1.16475744e-05
1.23306570e-01 4.31722969e-05 1.17618680e-05
1.25823030e-01 4.41070149e-05 1.18713934e-05
1.28339491e-01 4.50199068e-05 1.19761992e-05
1.30855951e-01 4.59106468e-05 1.20764871e-05
1.33372412e-01 4.67789794e-05 1.21723216e-05
1.35888873e-01 4.76247167e-05 1.22638386e-05
1.38405333e-01 4.84477337e-05 1.23511957e-05
1.40921794e-01 4.92479648e-05 1.24344567e-05
1.43438254e-01 5.00253999e-05 1.25138324e-05
1.45954715e-01 5.07800807e-05 1.25893592e-05
1.48471176e-01 5.15120970e-05 1.26612614e-05
1.50987636e-01 5.22215828e-05 1.27295737e-05
1.53504097e-01 5.29087133e-05 1.27945153e-05
1.56020558e-01 5.35737009e-05 1.28561341e-05
1.58537018e-01 5.42167922e-05 1.29146217e-05
1.61053479e-01 5.48382650e-05 1.29700679e-05
1.63569939e-01 5.54384247e-05 1.30226004e-05
1.66086400e-01 5.60176020e-05 1.30723808e-05
1.68602861e-01 5.65761496e-05 1.31194706e-05
1.71119321e-01 5.71144398e-05 1.31640543e-05
1.73635782e-01 5.76328622e-05 1.32062203e-05
1.76152242e-01 5.81318208e-05 1.32460705e-05
1.78668703e-01 5.86117324e-05 1.32837700e-05
1.81185164e-01 5.90730240e-05 1.33193989e-05
1.83701624e-01 5.95161311e-05 1.33530600e-05
1.86218085e-01 5.99414960e-05 1.33848964e-05
1.88734545e-01 6.03495659e-05 1.34150054e-05
1.91251006e-01 6.07407913e-05 1.34434740e-05
1.93767467e-01 6.11156247e-05 1.34704152e-05
1.96283927e-01 6.14745193e-05 1.34959450e-05
1.98800388e-01 6.18179277e-05 1.35201506e-05
