#	Time	Error_of_Energy	Error_of_Position
5.03292121e-03 -6.24389429e-11 1.63694535e-10
1.00658424e-02 -1.86474391e-10 3.24811261e-10
1.50987636e-02 -3.69839270e-10 4.85294907e-10
2.01316848e-02 -6.08929795e-10 6.45164821e-10
2.51646061e-02 -8.98953356e-10 7.98578615e-10
3.01975273e-02 -1.23411947e-09 9.40743236e-10
3.52304485e-02 -1.60786184e-09 1.07517405e-09
4.02633697e-02 -2.01308881e-09 1.20371576e-09
4.52962909e-02 -2.44242671e-09 1.32572551e-09
5.03292121e-02 -2.88847302e-09 1.43949563e-09
5.53621333e-02 -3.34401262e-09 1.54350528e-09
6.03950545e-02 -3.80222120e-09 1.63714511e-09
6.54279757e-02 -4.25682556e-09 1.72144568e-09
7.04608969e-02 -4.70223505e-09 1.79994842e-09
7.54938182e-02 -5.13361886e-09 1.87702256e-09
8.05267394e-02 -5.54695445e-09 1.94475047e-09
8.55596606e-02 -5.93904614e-09 1.97975008e-09
9.05925818e-02 -6.30749675e-09 2.01888009e-09
9.56255030e-02 -6.65066979e-09 2.07686839e-09
1.00658424e-01 -6.96762426e-09 2.08330390e-09
1.05691345e-01 -7.25803151e-09 2.13263537e-09
1.10724267e-01 -7.52210383e-09 2.12947941e-09
1.15757188e-01 -7.76049092e-09 2.16874827e-09
1.20790109e-01 -7.97420396e-09 2.17653499e-09
1.25823030e-01 -8.16452594e-09 2.17607468e-09
1.30855951e-01 -8.33293878e-09 2.19525329e-09
1.35888873e-01 -8.48105275e-09 2.21806911e-09
1.40921794e-01 -8.61055005e-09 2.23528013e-09
1.45954715e-01 -8.72313199e-09 2.24893323e-09
1.50987636e-01 -8.82047768e-09 2.26215380e-09
1.56020558e-01 -8.90421603e-09 2.27399265e-09
1.61053479e-01 -8.97589469e-09 2.28402358e-09
1.66086400e-01 -9.03697117e-09 2.29915795e-09
1.71119321e-01 -9.08879372e-09 2.32959767e-09
1.76152242e-01 -9.13259646e-09 2.36448712e-09
1.81185164e-01 -9.16950249e-09 2.38107328e-09
1.86218085e-01 -9.20051857e-09 2.42002930e-09
1.91251006e-01 -9.22654175e-09 2.45122214e-09
1.96283927e-01 -9.24836563e-09 2.49090016e-09
2.01316848e-01 -9.26668298e-09 2.52736473e-09
2.06349770e-01 -9.28209909e-09 2.57366269e-09
2.11382691e-01 -9.29513400e-09 2.61525799e-09
2.16415612e-01 -9.30623356e-09 2.66157780e-09
2.21448533e-01 -9.31577837e-09 2.70936435e-09
2.26481454e-01 -9.32408772e-09 2.75831114e-09
2.31514376e-01 -9.33142852e-09 2.81045969e-09
2.36547297e-01 -9.33802324e-09 2.86440171e-09
2.41580218e-01 -9.34405309e-09 2.91904055e-09
2.46613139e-01 -9.34966637e-09 2.97409772e-09
2.51646061e-01 -9.35498212e-09 3.02937558e-09
2.56678982e-01 -9.36009492e-09 3.08415533e-09
2.61711903e-01 -9.36507716e-09 3.13714666e-09
2.66744824e-01 -9.36998479e-09 3.18803692e-09
2.71777745e-01 -9.37486000e-09 3.24276942e-09
2.76810667e-01 -9.37973210e-09 3.30815829e-09
2.81843588e-01 -9.38461975e-09 3.37201313e-09
2.86876509e-01 -9.38953715e-09 3.41939555e-09
2.91909430e-01 -9.39448919e-09 3.46907078e-09
2.96942351e-01 -9.39947720e-09 3.54271826e-09
