#	Time	Error_of_Energy
2.01316848e-02 -3.15245074e-05
4.02633697e-02 -1.17941403e-04
6.03950545e-02 -2.38294347e-04
8.05267394e-02 -3.67094816e-04
1.00658424e-01 -4.82536284e-04
1.20790109e-01 -5.71074999e-04
1.40921794e-01 -6.27833065e-04
1.61053479e-01 -6.54400395e-04
1.81185164e-01 -6.55945211e-04
2.01316848e-01 -6.38829704e-04
2.21448533e-01 -6.09113509e-04
2.41580218e-01 -5.71842187e-04
2.61711903e-01 -5.30858007e-04
2.81843588e-01 -4.88889650e-04
3.01975273e-01 -4.47754121e-04
3.22106957e-01 -4.08577011e-04
3.42238642e-01 -3.71987683e-04
3.62370327e-01 -3.38275182e-04
3.82502012e-01 -3.07505078e-04
4.02633697e-01 -2.79603215e-04
4.22765382e-01 -2.54413703e-04
4.42897067e-01 -2.31737875e-04
4.63028751e-01 -2.11359662e-04
4.83160436e-01 -1.93061550e-04
5.03292121e-01 -1.76634151e-04
5.23423806e-01 -1.61881520e-04
5.43555491e-01 -1.48623717e-04
5.63687176e-01 -1.36697633e-04
5.83818860e-01 -1.25956740e-04
6.03950545e-01 -1.16270238e-04
6.24082230e-01 -1.07521876e-04
6.44213915e-01 -9.96086383e-05
6.64345600e-01 -9.24394092e-05
6.84477285e-01 -8.59336875e-05
7.04608969e-01 -8.00203818e-05
7.24740654e-01 -7.46367110e-05
7.44872339e-01 -6.97272118e-05
7.65004024e-01 -6.52428536e-05
7.85135709e-01 -6.11402544e-05
8.05267394e-01 -5.73809895e-05
8.25399079e-01 -5.39309849e-05
8.45530763e-01 -5.07599859e-05
8.65662448e-01 -4.78410923e-05
8.85794133e-01 -4.51503529e-05
9.05925818e-01 -4.26664111e-05
9.26057503e-01 -4.03701955e-05
9.46189188e-01 -3.82446504e-05
9.66320872e-01 -3.62744994e-05
9.86452557e-01 -3.44460395e-05
1.00658424e+00 -3.27469605e-05
1.02671593e+00 -3.11661874e-05
1.04684761e+00 -2.96937415e-05
1.06697930e+00 -2.83206189e-05
1.08711098e+00 -2.70386836e-05
1.10724267e+00 -2.58405738e-05
1.12737435e+00 -2.47196184e-05
1.14750604e+00 -2.36697646e-05
1.16763772e+00 -2.26855126e-05
1.18776941e+00 -2.17618591e-05
1.20790109e+00 -2.08942460e-05
1.22803278e+00 -2.00785163e-05
1.24816446e+00 -1.93108731e-05
1.26829615e+00 -1.85878453e-05
1.28842783e+00 -1.79062549e-05
1.30855951e+00 -1.72631895e-05
1.32869120e+00 -1.66559768e-05
1.34882288e+00 -1.60821622e-05
1.36895457e+00 -1.55394883e-05
1.38908625e+00 -1.50258772e-05
1.40921794e+00 -1.45394142e-05
1.42934962e+00 -1.40783327e-05
1.44948131e+00 -1.36410018e-05
1.46961299e+00 -1.32259139e-05
1.48974468e+00 -1.28316742e-05
1.50987636e+00 -1.24569911e-05
1.53000805e+00 -1.21006674e-05
1.55013973e+00 -1.17615924e-05
1.57027142e+00 -1.14387348e-05
1.59040310e+00 -1.11311360e-05
1.61053479e+00 -1.08379045e-05
1.63066647e+00 -1.05582104e-05
1.65079816e+00 -1.02912805e-05
1.67092984e+00 -1.00363937e-05
1.69106153e+00 -9.79287736e-06
1.71119321e+00 -9.56010315e-06
1.73132490e+00 -9.33748395e-06
1.75145658e+00 -9.12447064e-06
1.77158827e+00 -8.92054931e-06
1.79171995e+00 -8.72523863e-06
1.81185164e+00 -8.53808753e-06
1.83198332e+00 -8.35867293e-06
1.85211501e+00 -8.18659782e-06
1.87224669e+00 -8.02148935e-06
1.89237838e+00 -7.86299718e-06
1.91251006e+00 -7.71079188e-06
1.93264174e+00 -7.56456353e-06
1.95277343e+00 -7.42402034e-06
1.97290511e+00 -7.28888747e-06
1.99303680e+00 -7.15890586e-06
2.01316848e+00 -7.03383123e-06
2.03330017e+00 -6.91343305e-06
2.05343185e+00 -6.79749370e-06
2.07356354e+00 -6.68580759e-06
2.09369522e+00 -6.57818042e-06
2.11382691e+00 -6.47442847e-06
2.13395859e+00 -6.37437791e-06
2.15409028e+00 -6.27786420e-06
2.17422196e+00 -6.18473152e-06
2.19435365e+00 -6.09483221e-06
2.21448533e+00 -6.00802631e-06
2.23461702e+00 -5.92418109e-06
2.25474870e+00 -5.84317059e-06
2.27488039e+00 -5.76487525e-06
2.29501207e+00 -5.68918153e-06
2.31514376e+00 -5.61598153e-06
2.33527544e+00 -5.54517271e-06
