#	Time	Error_of_Energy
2.01316848e-02 1.26982112e-04
4.02633697e-02 4.82207065e-04
6.03950545e-02 9.98534780e-04
8.05267394e-02 1.59134564e-03
1.00658424e-01 2.18323077e-03
1.20790109e-01 2.71917750e-03
1.40921794e-01 3.17000137e-03
1.61053479e-01 3.52776083e-03
1.81185164e-01 3.79826108e-03
2.01316848e-01 3.99417150e-03
2.21448533e-01 4.13017683e-03
2.41580218e-01 4.22019065e-03
2.61711903e-01 4.27609535e-03
2.81843588e-01 4.30741434e-03
3.01975273e-01 4.32146353e-03
3.22106957e-01 4.32369640e-03
3.42238642e-01 4.31808735e-03
3.62370327e-01 4.30748063e-03
3.82502012e-01 4.29387950e-03
4.02633697e-01 4.27867297e-03
4.22765382e-01 4.26280766e-03
4.42897067e-01 4.24691521e-03
4.63028751e-01 4.23140509e-03
4.83160436e-01 4.21653160e-03
5.03292121e-01 4.20244172e-03
5.23423806e-01 4.18920919e-03
5.43555491e-01 4.17685847e-03
5.63687176e-01 4.16538163e-03
5.83818860e-01 4.15475014e-03
6.03950545e-01 4.14492297e-03
6.24082230e-01 4.13585226e-03
6.44213915e-01 4.12748706e-03
6.64345600e-01 4.11977587e-03
6.84477285e-01 4.11266828e-03
7.04608969e-01 4.10611600e-03
7.24740654e-01 4.10007344e-03
7.44872339e-01 4.09449803e-03
7.65004024e-01 4.08935031e-03
7.85135709e-01 4.08459393e-03
8.05267394e-01 4.08019555e-03
8.25399079e-01 4.07612464e-03
8.45530763e-01 4.07235337e-03
8.65662448e-01 4.06885638e-03
8.85794133e-01 4.06561058e-03
9.05925818e-01 4.06259497e-03
9.26057503e-01 4.05979045e-03
9.46189188e-01 4.05717968e-03
9.66320872e-01 4.05474686e-03
9.86452557e-01 4.05247765e-03
1.00658424e+00 4.05035897e-03
1.02671593e+00 4.04837896e-03
1.04684761e+00 4.04652676e-03
1.06697930e+00 4.04479251e-03
1.08711098e+00 4.04316720e-03
1.10724267e+00 4.04164261e-03
1.12737435e+00 4.04021121e-03
1.14750604e+00 4.03886615e-03
1.16763772e+00 4.03760113e-03
1.18776941e+00 4.03641038e-03
1.20790109e+00 4.03528862e-03
1.22803278e+00 4.03423101e-03
1.24816446e+00 4.03323308e-03
1.26829615e+00 4.03229073e-03
1.28842783e+00 4.03140020e-03
1.30855951e+00 4.03055802e-03
1.32869120e+00 4.02976098e-03
1.34882288e+00 4.02900612e-03
1.36895457e+00 4.02829071e-03
1.38908625e+00 4.02761224e-03
