#	Time	Error_of_Energy
1.00658424e-02 -1.99251771e-06
2.01316848e-02 -7.83628315e-06
3.01975273e-02 -1.71454325e-05
4.02633697e-02 -2.93257021e-05
5.03292121e-02 -4.36385584e-05
6.03950545e-02 -5.92751121e-05
7.04608969e-02 -7.54287144e-05
8.05267394e-02 -9.13569728e-05
9.05925818e-02 -1.06427225e-04
1.00658424e-01 -1.20143231e-04
1.10724267e-01 -1.32154083e-04
1.20790109e-01 -1.42248564e-04
1.30855951e-01 -1.50339249e-04
1.40921794e-01 -1.56440715e-04
1.50987636e-01 -1.60645642e-04
1.61053479e-01 -1.63101613e-04
1.71119321e-01 -1.63990472e-04
1.81185164e-01 -1.63511174e-04
1.91251006e-01 -1.61866411e-04
2.01316848e-01 -1.59252841e-04
2.11382691e-01 -1.55854461e-04
2.21448533e-01 -1.51838578e-04
2.31514376e-01 -1.47353783e-04
2.41580218e-01 -1.42529425e-04
2.51646061e-01 -1.37476108e-04
2.61711903e-01 -1.32286862e-04
2.71777745e-01 -1.27038702e-04
2.81843588e-01 -1.21794374e-04
2.91909430e-01 -1.16604134e-04
3.01975273e-01 -1.11507479e-04
3.12041115e-01 -1.06534754e-04
3.22106957e-01 -1.01708614e-04
3.32172800e-01 -9.70453231e-05
3.42238642e-01 -9.25558911e-05
3.52304485e-01 -8.82470531e-05
3.62370327e-01 -8.41221055e-05
3.72436170e-01 -8.01816123e-05
3.82502012e-01 -7.64239955e-05
3.92567854e-01 -7.28460265e-05
4.02633697e-01 -6.94432303e-05
4.12699539e-01 -6.62102168e-05
4.22765382e-01 -6.31409497e-05
4.32831224e-01 -6.02289633e-05
4.42897067e-01 -5.74675354e-05
4.52962909e-01 -5.48498247e-05
4.63028751e-01 -5.23689782e-05
4.73094594e-01 -5.00182138e-05
4.83160436e-01 -4.77908839e-05
4.93226279e-01 -4.56805217e-05
5.03292121e-01 -4.36808756e-05
5.13357963e-01 -4.17859322e-05
5.23423806e-01 -3.99899313e-05
