#	Time	Error_of_Energy
4.02633697e-02 -1.54009609e-05
8.05267394e-02 -3.58721491e-05
1.20790109e-01 -4.95361371e-05
1.61053479e-01 -5.55821992e-05
2.01316848e-01 -5.77198094e-05
2.41580218e-01 -5.84865137e-05
2.81843588e-01 -5.88650925e-05
3.22106957e-01 -5.91306362e-05
3.62370327e-01 -5.93420339e-05
4.02633697e-01 -5.95105463e-05
4.42897067e-01 -5.96416927e-05
4.83160436e-01 -5.97417464e-05
5.23423806e-01 -5.98171943e-05
5.63687176e-01 -5.98738150e-05
6.03950545e-01 -5.99163082e-05
6.44213915e-01 -5.99483020e-05
6.84477285e-01 -5.99725178e-05
7.24740654e-01 -5.99909662e-05
7.65004024e-01 -6.00051222e-05
8.05267394e-01 -6.00160668e-05
8.45530763e-01 -6.00245935e-05
8.85794133e-01 -6.00312870e-05
9.26057503e-01 -6.00365808e-05
9.66320872e-01 -6.00407979e-05
1.00658424e+00 -6.00441807e-05
1.04684761e+00 -6.00469127e-05
1.08711098e+00 -6.00491331e-05
1.12737435e+00 -6.00509490e-05
1.16763772e+00 -6.00524426e-05
1.20790109e+00 -6.00536782e-05
1.24816446e+00 -6.00547058e-05
1.28842783e+00 -6.00555646e-05
1.32869120e+00 -6.00562860e-05
1.36895457e+00 -6.00568947e-05
1.40921794e+00 -6.00574106e-05
1.44948131e+00 -6.00578498e-05
1.48974468e+00 -6.00582250e-05
1.53000805e+00 -6.00585469e-05
1.57027142e+00 -6.00588241e-05
1.61053479e+00 -6.00590636e-05
1.65079816e+00 -6.00592712e-05
1.69106153e+00 -6.00594518e-05
1.73132490e+00 -6.00596093e-05
1.77158827e+00 -6.00597472e-05
1.81185164e+00 -6.00598682e-05
1.85211501e+00 -6.00599746e-05
1.89237838e+00 -6.00600686e-05
1.93264174e+00 -6.00601516e-05
1.97290511e+00 -6.00602253e-05
2.01316848e+00 -6.00602908e-05
2.05343185e+00 -6.00603491e-05
2.09369522e+00 -6.00604011e-05
2.13395859e+00 -6.00604477e-05
2.17422196e+00 -6.00604894e-05
2.21448533e+00 -6.00605269e-05
2.25474870e+00 -6.00605607e-05
2.29501207e+00 -6.00605911e-05
2.33527544e+00 -6.00606186e-05
2.37553881e+00 -6.00606434e-05
2.41580218e+00 -6.00606659e-05
2.45606555e+00 -6.00606863e-05
2.49632892e+00 -6.00607049e-05
2.53659229e+00 -6.00607218e-05
2.57685566e+00 -6.00607372e-05
2.61711903e+00 -6.00607513e-05
2.65738240e+00 -6.00607642e-05
2.69764577e+00 -6.00607760e-05
2.73790914e+00 -6.00607868e-05
2.77817251e+00 -6.00607967e-05
2.81843588e+00 -6.00608058e-05
2.85869925e+00 -6.00608142e-05
2.89896262e+00 -6.00608219e-05
2.93922599e+00 -6.00608290e-05
2.97948936e+00 -6.00608356e-05
3.01975273e+00 -6.00608416e-05
3.06001610e+00 -6.00608473e-05
3.10027947e+00 -6.00608525e-05
3.14054284e+00 -6.00608573e-05
3.18080621e+00 -6.00608617e-05
3.22106957e+00 -6.00608659e-05
3.26133294e+00 -6.00608698e-05
3.30159631e+00 -6.00608734e-05
3.34185968e+00 -6.00608767e-05
3.38212305e+00 -6.00608798e-05
3.42238642e+00 -6.00608827e-05
3.46264979e+00 -6.00608855e-05
3.50291316e+00 -6.00608880e-05
3.54317653e+00 -6.00608904e-05
3.58343990e+00 -6.00608926e-05
3.62370327e+00 -6.00608947e-05
3.66396664e+00 -6.00608966e-05
3.70423001e+00 -6.00608984e-05
3.74449338e+00 -6.00609002e-05
3.78475675e+00 -6.00609018e-05
3.82502012e+00 -6.00609033e-05
3.86528349e+00 -6.00609047e-05
3.90554686e+00 -6.00609060e-05
3.94581023e+00 -6.00609073e-05
3.98607360e+00 -6.00609085e-05
4.02633697e+00 -6.00609096e-05
4.06660034e+00 -6.00609107e-05
4.10686371e+00 -6.00609117e-05
4.14712708e+00 -6.00609126e-05
4.18739045e+00 -6.00609135e-05
4.22765382e+00 -6.00609143e-05
4.26791719e+00 -6.00609151e-05
4.30818056e+00 -6.00609159e-05
4.34844393e+00 -6.00609166e-05
4.38870730e+00 -6.00609173e-05
4.42897067e+00 -6.00609179e-05
4.46923403e+00 -6.00609185e-05
4.50949740e+00 -6.00609191e-05
4.54976077e+00 -6.00609196e-05
4.59002414e+00 -6.00609202e-05
4.63028751e+00 -6.00609207e-05
4.67055088e+00 -6.00609211e-05
4.71081425e+00 -6.00609216e-05
4.75107762e+00 -6.00609220e-05
4.79134099e+00 -6.00609224e-05
4.83160436e+00 -6.00609228e-05
4.87186773e+00 -6.00609231e-05
4.91213110e+00 -6.00609235e-05
4.95239447e+00 -6.00609238e-05
4.99265784e+00 -6.00609241e-05
5.03292121e+00 -6.00609244e-05
5.07318458e+00 -6.00609247e-05
5.11344795e+00 -6.00609250e-05
5.15371132e+00 -6.00609253e-05
5.19397469e+00 -6.00609255e-05
5.23423806e+00 -6.00609258e-05
5.27450143e+00 -6.00609260e-05
5.31476480e+00 -6.00609262e-05
5.35502817e+00 -6.00609264e-05
5.39529154e+00 -6.00609266e-05
5.43555491e+00 -6.00609268e-05
5.47581828e+00 -6.00609270e-05
5.51608165e+00 -6.00609272e-05
5.55634502e+00 -6.00609273e-05
5.59660839e+00 -6.00609275e-05
5.63687176e+00 -6.00609277e-05
5.67713513e+00 -6.00609278e-05
5.71739850e+00 -6.00609280e-05
5.75766186e+00 -6.00609281e-05
5.79792523e+00 -6.00609282e-05
5.83818860e+00 -6.00609284e-05
5.87845197e+00 -6.00609285e-05
5.91871534e+00 -6.00609286e-05
5.95897871e+00 -6.00609287e-05
5.99924208e+00 -6.00609288e-05
6.03950545e+00 -6.00609289e-05
6.07976882e+00 -6.00609290e-05
6.12003219e+00 -6.00609291e-05
6.16029556e+00 -6.00609292e-05
6.20055893e+00 -6.00609293e-05
6.24082230e+00 -6.00609294e-05
6.28108567e+00 -6.00609295e-05
6.32134904e+00 -6.00609295e-05
6.36161241e+00 -6.00609296e-05
6.40187578e+00 -6.00609297e-05
6.44213915e+00 -6.00609298e-05
6.48240252e+00 -6.00609298e-05
6.52266589e+00 -6.00609299e-05
6.56292926e+00 -6.00609300e-05
6.60319263e+00 -6.00609300e-05
6.64345600e+00 -6.00609301e-05
6.68371937e+00 -6.00609301e-05
6.72398274e+00 -6.00609302e-05
6.76424611e+00 -6.00609303e-05
6.80450948e+00 -6.00609303e-05
6.84477285e+00 -6.00609304e-05
6.88503622e+00 -6.00609304e-05
6.92529959e+00 -6.00609305e-05
6.96556296e+00 -6.00609305e-05
7.00582632e+00 -6.00609305e-05
7.04608969e+00 -6.00609306e-05
7.08635306e+00 -6.00609306e-05
7.12661643e+00 -6.00609307e-05
7.16687980e+00 -6.00609307e-05
7.20714317e+00 -6.00609307e-05
7.24740654e+00 -6.00609308e-05
7.28766991e+00 -6.00609308e-05
7.32793328e+00 -6.00609308e-05
7.36819665e+00 -6.00609309e-05
7.40846002e+00 -6.00609309e-05
7.44872339e+00 -6.00609309e-05
7.48898676e+00 -6.00609310e-05
7.52925013e+00 -6.00609310e-05
7.56951350e+00 -6.00609310e-05
7.60977687e+00 -6.00609310e-05
7.65004024e+00 -6.00609311e-05
7.69030361e+00 -6.00609311e-05
7.73056698e+00 -6.00609311e-05
7.77083035e+00 -6.00609311e-05
7.81109372e+00 -6.00609312e-05
7.85135709e+00 -6.00609312e-05
7.89162046e+00 -6.00609312e-05
7.93188383e+00 -6.00609312e-05
7.97214720e+00 -6.00609313e-05
8.01241057e+00 -6.00609313e-05
8.05267394e+00 -6.00609313e-05
8.09293731e+00 -6.00609313e-05
8.13320068e+00 -6.00609313e-05
8.17346405e+00 -6.00609314e-05
8.21372742e+00 -6.00609314e-05
8.25399079e+00 -6.00609314e-05
8.29425415e+00 -6.00609314e-05
8.33451752e+00 -6.00609314e-05
8.37478089e+00 -6.00609314e-05
8.41504426e+00 -6.00609314e-05
8.45530763e+00 -6.00609315e-05
8.49557100e+00 -6.00609315e-05
8.53583437e+00 -6.00609315e-05
8.57609774e+00 -6.00609315e-05
8.61636111e+00 -6.00609315e-05
8.65662448e+00 -6.00609315e-05
8.69688785e+00 -6.00609315e-05
8.73715122e+00 -6.00609316e-05
8.77741459e+00 -6.00609316e-05
8.81767796e+00 -6.00609316e-05
8.85794133e+00 -6.00609316e-05
8.89820470e+00 -6.00609316e-05
8.93846807e+00 -6.00609316e-05
8.97873144e+00 -6.00609316e-05
9.01899481e+00 -6.00609316e-05
9.05925818e+00 -6.00609316e-05
9.09952155e+00 -6.00609317e-05
9.13978492e+00 -6.00609317e-05
9.18004829e+00 -6.00609317e-05
9.22031166e+00 -6.00609317e-05
9.26057503e+00 -6.00609317e-05
9.30083840e+00 -6.00609317e-05
9.34110177e+00 -6.00609317e-05
9.38136514e+00 -6.00609317e-05
9.42162851e+00 -6.00609317e-05
9.46189188e+00 -6.00609317e-05
9.50215525e+00 -6.00609317e-05
9.54241862e+00 -6.00609317e-05
9.58268198e+00 -6.00609317e-05
9.62294535e+00 -6.00609318e-05
9.66320872e+00 -6.00609318e-05
9.70347209e+00 -6.00609318e-05
9.74373546e+00 -6.00609318e-05
9.78399883e+00 -6.00609318e-05
9.82426220e+00 -6.00609318e-05
9.86452557e+00 -6.00609318e-05
9.90478894e+00 -6.00609318e-05
9.94505231e+00 -6.00609318e-05
9.98531568e+00 -6.00609318e-05
1.00255791e+01 -6.00609318e-05
1.00658424e+01 -6.00609318e-05
1.01061058e+01 -6.00609318e-05
1.01463692e+01 -6.00609318e-05
1.01866325e+01 -6.00609318e-05
1.02268959e+01 -6.00609318e-05
1.02671593e+01 -6.00609318e-05
1.03074226e+01 -6.00609319e-05
1.03476860e+01 -6.00609319e-05
1.03879494e+01 -6.00609319e-05
1.04282127e+01 -6.00609319e-05
1.04684761e+01 -6.00609319e-05
1.05087395e+01 -6.00609319e-05
1.05490029e+01 -6.00609319e-05
1.05892662e+01 -6.00609319e-05
1.06295296e+01 -6.00609319e-05
1.06697930e+01 -6.00609319e-05
1.07100563e+01 -6.00609319e-05
1.07503197e+01 -6.00609319e-05
1.07905831e+01 -6.00609319e-05
1.08308464e+01 -6.00609319e-05
1.08711098e+01 -6.00609319e-05
1.09113732e+01 -6.00609319e-05
1.09516366e+01 -6.00609319e-05
1.09918999e+01 -6.00609319e-05
1.10321633e+01 -6.00609319e-05
1.10724267e+01 -6.00609319e-05
1.11126900e+01 -6.00609319e-05
1.11529534e+01 -6.00609319e-05
1.11932168e+01 -6.00609319e-05
1.12334801e+01 -6.00609319e-05
1.12737435e+01 -6.00609319e-05
1.13140069e+01 -6.00609319e-05
1.13542703e+01 -6.00609319e-05
1.13945336e+01 -6.00609319e-05
1.14347970e+01 -6.00609319e-05
1.14750604e+01 -6.00609319e-05
1.15153237e+01 -6.00609320e-05
1.15555871e+01 -6.00609320e-05
1.15958505e+01 -6.00609320e-05
1.16361138e+01 -6.00609320e-05
1.16763772e+01 -6.00609320e-05
1.17166406e+01 -6.00609320e-05
1.17569039e+01 -6.00609320e-05
1.17971673e+01 -6.00609320e-05
1.18374307e+01 -6.00609320e-05
1.18776941e+01 -6.00609320e-05
1.19179574e+01 -6.00609320e-05
1.19582208e+01 -6.00609320e-05
1.19984842e+01 -6.00609320e-05
1.20387475e+01 -6.00609320e-05
1.20790109e+01 -6.00609320e-05
1.21192743e+01 -6.00609320e-05
1.21595376e+01 -6.00609320e-05
1.21998010e+01 -6.00609320e-05
1.22400644e+01 -6.00609320e-05
1.22803278e+01 -6.00609320e-05
1.23205911e+01 -6.00609320e-05
1.23608545e+01 -6.00609320e-05
1.24011179e+01 -6.00609320e-05
1.24413812e+01 -6.00609320e-05
1.24816446e+01 -6.00609320e-05
1.25219080e+01 -6.00609320e-05
1.25621713e+01 -6.00609320e-05
1.26024347e+01 -6.00609320e-05
1.26426981e+01 -6.00609320e-05
1.26829615e+01 -6.00609320e-05
1.27232248e+01 -6.00609320e-05
1.27634882e+01 -6.00609320e-05
1.28037516e+01 -6.00609320e-05
1.28440149e+01 -6.00609320e-05
1.28842783e+01 -6.00609320e-05
1.29245417e+01 -6.00609320e-05
1.29648050e+01 -6.00609320e-05
1.30050684e+01 -6.00609320e-05
1.30453318e+01 -6.00609320e-05
1.30855951e+01 -6.00609320e-05
1.31258585e+01 -6.00609320e-05
1.31661219e+01 -6.00609320e-05
1.32063853e+01 -6.00609320e-05
1.32466486e+01 -6.00609320e-05
1.32869120e+01 -6.00609320e-05
1.33271754e+01 -6.00609320e-05
1.33674387e+01 -6.00609320e-05
1.34077021e+01 -6.00609320e-05
1.34479655e+01 -6.00609320e-05
1.34882288e+01 -6.00609320e-05
1.35284922e+01 -6.00609320e-05
1.35687556e+01 -6.00609320e-05
1.36090190e+01 -6.00609320e-05
1.36492823e+01 -6.00609320e-05
1.36895457e+01 -6.00609320e-05
1.37298091e+01 -6.00609320e-05
1.37700724e+01 -6.00609320e-05
1.38103358e+01 -6.00609320e-05
1.38505992e+01 -6.00609320e-05
1.38908625e+01 -6.00609320e-05
1.39311259e+01 -6.00609320e-05
1.39713893e+01 -6.00609320e-05
1.40116526e+01 -6.00609320e-05
1.40519160e+01 -6.00609320e-05
1.40921794e+01 -6.00609320e-05
1.41324428e+01 -6.00609320e-05
1.41727061e+01 -6.00609320e-05
1.42129695e+01 -6.00609320e-05
1.42532329e+01 -6.00609320e-05
1.42934962e+01 -6.00609320e-05
1.43337596e+01 -6.00609320e-05
1.43740230e+01 -6.00609320e-05
1.44142863e+01 -6.00609320e-05
1.44545497e+01 -6.00609320e-05
1.44948131e+01 -6.00609320e-05
1.45350765e+01 -6.00609320e-05
1.45753398e+01 -6.00609320e-05
1.46156032e+01 -6.00609320e-05
1.46558666e+01 -6.00609320e-05
1.46961299e+01 -6.00609320e-05
1.47363933e+01 -6.00609320e-05
1.47766567e+01 -6.00609321e-05
1.48169200e+01 -6.00609321e-05
1.48571834e+01 -6.00609321e-05
1.48974468e+01 -6.00609321e-05
1.49377102e+01 -6.00609321e-05
1.49779735e+01 -6.00609321e-05
1.50182369e+01 -6.00609321e-05
1.50585003e+01 -6.00609321e-05
1.50987636e+01 -6.00609321e-05
1.51390270e+01 -6.00609321e-05
1.51792904e+01 -6.00609321e-05
1.52195537e+01 -6.00609321e-05
