#	Time	Error_of_Energy	Error_of_Position
3.81971863e-02 2.63379706e-05 4.40597303e-06
7.63943727e-02 6.22505891e-05 7.57581026e-06
1.14591559e-01 9.02251013e-05 9.17714182e-06
1.52788745e-01 1.05825260e-04 1.00447925e-05
1.90985932e-01 1.13107907e-04 1.10883808e-05
2.29183118e-01 1.16411816e-04 1.26374068e-05
2.67380304e-01 1.18081227e-04 1.45621828e-05
3.05577491e-01 1.19079333e-04 1.66444268e-05
3.43774677e-01 1.19758723e-04 1.87447412e-05
3.81971863e-01 1.20251630e-04 2.07834551e-05
4.20169050e-01 1.20617491e-04 2.27338972e-05
4.58366236e-01 1.20890775e-04 2.45800479e-05
4.96563422e-01 1.21095304e-04 2.63244859e-05
5.34760609e-01 1.21248689e-04 2.79733879e-05
5.72957795e-01 1.21364104e-04 2.95330253e-05
6.11154981e-01 1.21451361e-04 3.10149381e-05
6.49352168e-01 1.21517714e-04 3.24217921e-05
6.87549354e-01 1.21568503e-04 3.37586746e-05
7.25746540e-01 1.21607652e-04 3.50369836e-05
7.63943727e-01 1.21638047e-04 3.62627851e-05
8.02140913e-01 1.21661819e-04 3.74418882e-05
8.40338100e-01 1.21680546e-04 3.85810759e-05
8.78535286e-01 1.21695404e-04 3.96830329e-05
9.16732472e-01 1.21707273e-04 4.07346539e-05
9.54929659e-01 1.21716819e-04 4.17472504e-05
9.93126845e-01 1.21724545e-04 4.27520504e-05
1.03132403e+00 1.21730838e-04 4.37306382e-05
1.06952122e+00 1.21735993e-04 4.46513690e-05
1.10771840e+00 1.21740240e-04 4.55922494e-05
1.14591559e+00 1.21743759e-04 4.64780072e-05
1.18411278e+00 1.21746689e-04 4.73611362e-05
1.22230996e+00 1.21749140e-04 4.82262744e-05
1.26050715e+00 1.21751202e-04 4.90662246e-05
1.29870434e+00 1.21752943e-04 4.99013897e-05
1.33690152e+00 1.21754419e-04 5.07183539e-05
1.37509871e+00 1.21755677e-04 5.15132981e-05
1.41329589e+00 1.21756752e-04 5.23264338e-05
1.45149308e+00 1.21757675e-04 5.30772663e-05
1.48969027e+00 1.21758470e-04 5.38819708e-05
1.52788745e+00 1.21759157e-04 5.46166057e-05
