#	Time	Error_of_Energy	Error_of_Position
9.54929659e-03 2.79134050e-06 9.99829623e-06
1.90985932e-02 1.09988357e-05 1.99703963e-05
2.86478898e-02 2.41391903e-05 2.98892809e-05
3.81971863e-02 4.14587120e-05 3.97289655e-05
4.77464829e-02 6.20028813e-05 4.94637487e-05
5.72957795e-02 8.46992827e-05 5.90678672e-05
6.68450761e-02 1.08443084e-04 6.85129664e-05
7.63943727e-02 1.32175229e-04 7.77684735e-05
8.59436693e-02 1.54945945e-04 8.68171145e-05
9.54929659e-02 1.75959373e-04 9.56423960e-05
1.05042262e-01 1.94598312e-04 1.04210132e-04
1.14591559e-01 2.10430700e-04 1.12516727e-04
1.24140856e-01 2.23201219e-04 1.20546712e-04
1.33690152e-01 2.32812233e-04 1.28286742e-04
1.43239449e-01 2.39298306e-04 1.35735262e-04
1.52788745e-01 2.42798057e-04 1.42891014e-04
1.62338042e-01 2.43526272e-04 1.49743724e-04
1.71887339e-01 2.41748336e-04 1.56309360e-04
1.81436635e-01 2.37758180e-04 1.62587414e-04
1.90985932e-01 2.31860296e-04 1.68579740e-04
2.00535228e-01 2.24355817e-04 1.74298426e-04
2.10084525e-01 2.15532385e-04 1.79753620e-04
2.19633821e-01 2.05657292e-04 1.84954628e-04
2.29183118e-01 1.94973328e-04 1.89911526e-04
2.38732415e-01 1.83696759e-04 1.94635120e-04
2.48281711e-01 1.72016915e-04 1.99136526e-04
2.57831008e-01 1.60096926e-04 2.03426743e-04
2.67380304e-01 1.48075225e-04 2.07516189e-04
2.76929601e-01 1.36067528e-04 2.11414350e-04
2.86478898e-01 1.24169066e-04 2.15130371e-04
2.96028194e-01 1.12456890e-04 2.18676441e-04
3.05577491e-01 1.00992141e-04 2.22068576e-04
3.15126787e-01 8.98222137e-05 2.25310496e-04
3.24676084e-01 7.89827507e-05 2.28400282e-04
3.34225380e-01 6.84994554e-05 2.31350584e-04
3.43774677e-01 5.83897099e-05 2.34192729e-04
3.53323974e-01 4.86639992e-05 2.36905382e-04
3.62873270e-01 3.93271518e-05 2.39489008e-04
3.72422567e-01 3.03794093e-05 2.41996950e-04
3.81971863e-01 2.18173408e-05 2.44380360e-04
3.91521160e-01 1.36346190e-05 2.46671351e-04
4.01070457e-01 5.82267315e-06 2.48891591e-04
4.10619753e-01 -1.62876458e-06 2.50989106e-04
4.20169050e-01 -8.73120584e-06 2.53056444e-04
4.29718346e-01 -1.54970321e-05 2.54992653e-04
4.39267643e-01 -2.19391889e-05 2.56915516e-04
4.48816940e-01 -2.80709374e-05 2.58709766e-04
4.58366236e-01 -3.39056548e-05 2.60503739e-04
4.67915533e-01 -3.94566754e-05 2.62168024e-04
4.77464829e-01 -4.47371657e-05 2.63847948e-04
4.87014126e-01 -4.97600280e-05 2.65399933e-04
4.96563422e-01 -5.45378268e-05 2.66966490e-04
5.06112719e-01 -5.90827353e-05 2.68436698e-04
5.15662016e-01 -6.34064967e-05 2.69873442e-04
5.25211312e-01 -6.75203989e-05 2.71292161e-04
5.34760609e-01 -7.14352590e-05 2.72599842e-04
5.44309905e-01 -7.51614168e-05 2.73957805e-04
5.53859202e-01 -7.87087341e-05 2.75210040e-04
5.63408499e-01 -8.20865993e-05 2.76432262e-04
5.72957795e-01 -8.53039364e-05 2.77677324e-04
5.82507092e-01 -8.83692163e-05 2.78801547e-04
5.92056388e-01 -9.12904712e-05 2.79949018e-04
6.01605685e-01 -9.40753095e-05 2.81090288e-04
6.11154981e-01 -9.67309332e-05 2.82116672e-04
6.20704278e-01 -9.92641541e-05 2.83180188e-04
6.30253575e-01 -1.01681412e-04 2.84242686e-04
6.39802871e-01 -1.03988793e-04 2.85192681e-04
6.49352168e-01 -1.06192045e-04 2.86158467e-04
6.58901464e-01 -1.08296596e-04 2.87162393e-04
6.68450761e-01 -1.10307572e-04 2.88063734e-04
6.78000058e-01 -1.12229812e-04 2.88921468e-04
6.87549354e-01 -1.14067883e-04 2.89861248e-04
6.97098651e-01 -1.15826096e-04 2.90746247e-04
7.06647947e-01 -1.17508520e-04 2.91534969e-04
7.16197244e-01 -1.19118997e-04 2.92355098e-04
7.25746540e-01 -1.20661153e-04 2.93226484e-04
7.35295837e-01 -1.22138411e-04 2.94016819e-04
7.44845134e-01 -1.23554004e-04 2.94730201e-04
7.54394430e-01 -1.24910986e-04 2.95498679e-04
7.63943727e-01 -1.26212239e-04 2.96306327e-04
7.73493023e-01 -1.27460490e-04 2.97036239e-04
7.83042320e-01 -1.28658311e-04 2.97690168e-04
7.92591617e-01 -1.29808138e-04 2.98383090e-04
8.02140913e-01 -1.30912270e-04 2.99138431e-04
8.11690210e-01 -1.31972883e-04 2.99838743e-04
8.21239506e-01 -1.32992036e-04 3.00454788e-04
8.30788803e-01 -1.33971675e-04 3.01055823e-04
8.40338100e-01 -1.34913644e-04 3.01742882e-04
8.49887396e-01 -1.35819688e-04 3.02431522e-04
8.59436693e-01 -1.36691458e-04 3.03046512e-04
8.68985989e-01 -1.37530521e-04 3.03594370e-04
8.78535286e-01 -1.38338359e-04 3.04159353e-04
8.88084582e-01 -1.39116379e-04 3.04805996e-04
8.97633879e-01 -1.39865914e-04 3.05441509e-04
9.07183176e-01 -1.40588228e-04 3.06007205e-04
9.16732472e-01 -1.41284521e-04 3.06509704e-04
9.26281769e-01 -1.41955932e-04 3.07018065e-04
9.35831065e-01 -1.42603542e-04 3.07608733e-04
9.45380362e-01 -1.43228377e-04 3.08211009e-04
9.54929659e-01 -1.43831414e-04 3.08758997e-04
9.64478955e-01 -1.44413579e-04 3.09239389e-04
9.74028252e-01 -1.44975753e-04 3.09689330e-04
9.83577548e-01 -1.45518774e-04 3.10190406e-04
9.93126845e-01 -1.46043440e-04 3.10754796e-04
1.00267614e+00 -1.46550509e-04 3.11304577e-04
1.01222544e+00 -1.47040703e-04 3.11796899e-04
1.02177473e+00 -1.47514710e-04 3.12229971e-04
1.03132403e+00 -1.47973183e-04 3.12641423e-04
1.04087333e+00 -1.48416749e-04 3.13103550e-04
1.05042262e+00 -1.48846000e-04 3.13627860e-04
1.05997192e+00 -1.49261504e-04 3.14145819e-04
1.06952122e+00 -1.49663802e-04 3.14615799e-04
1.07907051e+00 -1.50053409e-04 3.15028553e-04
1.08861981e+00 -1.50430817e-04 3.15406009e-04
1.09816911e+00 -1.50796497e-04 3.15799988e-04
1.10771840e+00 -1.51150896e-04 3.16264840e-04
1.11726770e+00 -1.51494444e-04 3.16758689e-04
1.12681700e+00 -1.51827549e-04 3.17229704e-04
1.13636629e+00 -1.52150603e-04 3.17651803e-04
1.14591559e+00 -1.52463980e-04 3.18023799e-04
1.15546489e+00 -1.52768038e-04 3.18368499e-04
1.16501418e+00 -1.53063118e-04 3.18731730e-04
1.17456348e+00 -1.53349548e-04 3.19161137e-04
1.18411278e+00 -1.53627641e-04 3.19622517e-04
1.19366207e+00 -1.53897697e-04 3.20069660e-04
1.20321137e+00 -1.54160003e-04 3.20476340e-04
1.21276067e+00 -1.54414834e-04 3.20835698e-04
1.22230996e+00 -1.54662455e-04 3.21159602e-04
1.23185926e+00 -1.54903117e-04 3.21477933e-04
1.24140856e+00 -1.55137062e-04 3.21837224e-04
1.25095785e+00 -1.55364523e-04 3.22254261e-04
1.26050715e+00 -1.55585723e-04 3.22686183e-04
1.27005645e+00 -1.55800875e-04 3.23098852e-04
1.27960574e+00 -1.56010184e-04 3.23473339e-04
1.28915504e+00 -1.56213848e-04 3.23805485e-04
1.29870434e+00 -1.56412054e-04 3.24105423e-04
1.30825363e+00 -1.56604986e-04 3.24397061e-04
1.31780293e+00 -1.56792816e-04 3.24717563e-04
1.32735223e+00 -1.56975712e-04 3.25095174e-04
1.33690152e+00 -1.57153837e-04 3.25499407e-04
1.34645082e+00 -1.57327343e-04 3.25897338e-04
1.35600012e+00 -1.57496381e-04 3.26267768e-04
1.36554941e+00 -1.57661094e-04 3.26600887e-04
1.37509871e+00 -1.57821618e-04 3.26897960e-04
1.38464800e+00 -1.57978087e-04 3.27170965e-04
1.39419730e+00 -1.58130628e-04 3.27442215e-04
1.40374660e+00 -1.58279364e-04 3.27743966e-04
1.41329589e+00 -1.58424413e-04 3.28097684e-04
1.42284519e+00 -1.58565889e-04 3.28476539e-04
1.43239449e+00 -1.58703901e-04 3.28852767e-04
1.44194378e+00 -1.58838556e-04 3.29207493e-04
1.45149308e+00 -1.58969956e-04 3.29530495e-04
