#	Time	Error_of_Energy	Error_of_Position
4.77464829e-03 1.04959375e-10 5.93565572e-10
9.54929659e-03 2.99480440e-10 5.66718376e-12
1.43239449e-02 5.80911985e-10 2.99117547e-10
1.90985932e-02 9.45039602e-10 7.04323275e-11
2.38732415e-02 1.38624001e-09 4.09602040e-10
2.86478898e-02 1.89764426e-09 9.54004606e-10
3.34225380e-02 2.47136533e-09 1.53068640e-09
3.81971863e-02 3.09873571e-09 2.05087557e-09
4.29718346e-02 3.77056719e-09 2.34156350e-09
4.77464829e-02 4.47739956e-09 2.22667251e-09
5.25211312e-02 5.20976040e-09 1.56675665e-09
5.72957795e-02 5.95838601e-09 3.86673361e-10
6.20704278e-02 6.71443123e-09 1.00558774e-09
6.68450761e-02 7.46963269e-09 1.54007880e-09
7.16197244e-02 8.21646862e-09 3.41791541e-10
7.63943727e-02 8.94823105e-09 1.96923026e-09
8.11690210e-02 9.65911795e-09 3.82170077e-09
8.59436693e-02 1.03442543e-08 3.97485503e-09
9.07183176e-02 1.09996878e-08 1.87648914e-09
9.54929659e-02 1.16223708e-08 1.31315919e-09
1.00267614e-01 1.22101107e-08 1.13879250e-09
1.05042262e-01 1.27615041e-08 2.77995486e-09
1.09816911e-01 1.32758593e-08 4.86807659e-09
1.14591559e-01 1.37531175e-08 2.51466515e-09
1.19366207e-01 1.41937495e-08 1.85622760e-09
1.24140856e-01 1.45986867e-08 1.13528000e-09
1.28915504e-01 1.49692192e-08 4.90763754e-09
1.33690152e-01 1.53069246e-08 2.72281452e-09
1.38464800e-01 1.56135882e-08 2.13024203e-09
1.43239449e-01 1.58911406e-08 2.80678897e-09
1.48014097e-01 1.61415914e-08 4.44753583e-09
1.52788745e-01 1.63669922e-08 1.57631151e-09
1.57563394e-01 1.65693825e-08 1.81204072e-09
1.62338042e-01 1.67507597e-08 4.28017674e-09
1.67112690e-01 1.69130565e-08 1.84245206e-09
1.71887339e-01 1.70581105e-08 2.34694989e-09
1.76661987e-01 1.71876613e-08 3.15867035e-09
1.81436635e-01 1.73033332e-08 2.34473061e-09
1.86211283e-01 1.74066284e-08 3.27546030e-09
1.90985932e-01 1.74989334e-08 1.88002379e-09
1.95760580e-01 1.75815085e-08 2.01792608e-09
2.00535228e-01 1.76555037e-08 2.30831226e-09
2.05309877e-01 1.77219539e-08 2.37621856e-09
2.10084525e-01 1.77817838e-08 2.37229716e-09
2.14859173e-01 1.78358217e-08 2.68267010e-09
2.19633821e-01 1.78848025e-08 2.36892248e-09
2.24408470e-01 1.79293747e-08 2.83198673e-09
2.29183118e-01 1.79701087e-08 2.71542010e-09
2.33957766e-01 1.80075066e-08 3.05154305e-09
2.38732415e-01 1.80420012e-08 3.38431523e-09
2.43507063e-01 1.80739756e-08 3.23667504e-09
2.48281711e-01 1.81037552e-08 4.44593104e-09
2.53056360e-01 1.81316251e-08 3.23854597e-09
2.57831008e-01 1.81578275e-08 5.97268783e-09
2.62605656e-01 1.81825699e-08 3.20690243e-09
2.67380304e-01 1.82060345e-08 7.49712888e-09
2.72154953e-01 1.82283688e-08 3.69762085e-09
2.76929601e-01 1.82497017e-08 7.60158057e-09
2.81704249e-01 1.82701443e-08 6.47352603e-09
2.86478898e-01 1.82897864e-08 5.07393638e-09
2.91253546e-01 1.83087046e-08 1.12241660e-08
2.96028194e-01 1.83269644e-08 3.64748006e-09
3.00802842e-01 1.83446203e-08 1.23634447e-08
3.05577491e-01 1.83617166e-08 8.19052029e-09
3.10352139e-01 1.83782933e-08 5.90180035e-09
3.15126787e-01 1.83943794e-08 1.65166507e-08
3.19901436e-01 1.84100035e-08 4.63868973e-09
3.24676084e-01 1.84251869e-08 1.23121309e-08
3.29450732e-01 1.84399496e-08 1.73966812e-08
3.34225380e-01 1.84543070e-08 4.12265768e-09
3.39000029e-01 1.84682702e-08 1.78036506e-08
