#	Time	Error_of_Energy	Error_of_Position
3.81971863e-02 -3.41696310e-03 1.25562172e-03
7.63943727e-02 -1.16251463e-02 2.28429268e-03
1.14591559e-01 -2.06480112e-02 2.98096311e-03
1.52788745e-01 -2.78102074e-02 3.37694129e-03
1.90985932e-01 -3.24803780e-02 3.57488955e-03
2.29183118e-01 -3.51309744e-02 3.68335880e-03
2.67380304e-01 -3.64566981e-02 3.78323799e-03
3.05577491e-01 -3.70103156e-02 3.92003928e-03
3.43774677e-01 -3.71492612e-02 4.10982727e-03
3.81971863e-01 -3.70821601e-02 4.35024433e-03
4.20169050e-01 -3.69235919e-02 4.63064421e-03
4.58366236e-01 -3.67336416e-02 4.93883275e-03
4.96563422e-01 -3.65422757e-02 5.26413317e-03
5.34760609e-01 -3.63633194e-02 5.59835411e-03
5.72957795e-01 -3.62021817e-02 5.93554996e-03
6.11154981e-01 -3.60600324e-02 6.27182949e-03
6.49352168e-01 -3.59360267e-02 6.60450028e-03
6.87549354e-01 -3.58284676e-02 6.93194338e-03
7.25746540e-01 -3.57353994e-02 7.25322993e-03
7.63943727e-01 -3.56548964e-02 7.56786496e-03
8.02140913e-01 -3.55851919e-02 7.87566468e-03
8.40338100e-01 -3.55247249e-02 8.17665129e-03
8.78535286e-01 -3.54721443e-02 8.47097080e-03
9.16732472e-01 -3.54262955e-02 8.75883224e-03
9.54929659e-01 -3.53861985e-02 9.04053082e-03
9.93126845e-01 -3.53510245e-02 9.31640514e-03
1.03132403e+00 -3.53200736e-02 9.58674061e-03
1.06952122e+00 -3.52927549e-02 9.85182007e-03
1.10771840e+00 -3.52685688e-02 1.01120257e-02
1.14591559e+00 -3.52470923e-02 1.03675831e-02
1.18411278e+00 -3.52279666e-02 1.06188218e-02
1.22230996e+00 -3.52108863e-02 1.08659977e-02
1.26050715e+00 -3.51955912e-02 1.11093606e-02
1.29870434e+00 -3.51818585e-02 1.13491654e-02
1.33690152e+00 -3.51694975e-02 1.15856286e-02
1.37509871e+00 -3.51583438e-02 1.18189609e-02
1.41329589e+00 -3.51482557e-02 1.20493860e-02
1.45149308e+00 -3.51391109e-02 1.22770433e-02
1.48969027e+00 -3.51308030e-02 1.25021755e-02
1.52788745e+00 -3.51232395e-02 1.27248780e-02
1.56608464e+00 -3.51163398e-02 1.29453546e-02
1.60428183e+00 -3.51100335e-02 1.31637468e-02
1.64247901e+00 -3.51042587e-02 1.33801510e-02
1.68067620e+00 -3.50989611e-02 1.35947508e-02
1.71887339e+00 -3.50940928e-02 1.38076404e-02
1.75707057e+00 -3.50896115e-02 1.40189142e-02
1.79526776e+00 -3.50854799e-02 1.42287238e-02
1.83346494e+00 -3.50816647e-02 1.44371511e-02
1.87166213e+00 -3.50781364e-02 1.46442676e-02
1.90985932e+00 -3.50748687e-02 1.48502014e-02
1.94805650e+00 -3.50718382e-02 1.50550375e-02
1.98625369e+00 -3.50690238e-02 1.52588254e-02
2.02445088e+00 -3.50664068e-02 1.54616614e-02
2.06264806e+00 -3.50639702e-02 1.56636367e-02
2.10084525e+00 -3.50616988e-02 1.58648066e-02
2.13904244e+00 -3.50595789e-02 1.60652205e-02
2.17723962e+00 -3.50575982e-02 1.62649641e-02
2.21543681e+00 -3.50557456e-02 1.64641065e-02
2.25363399e+00 -3.50540107e-02 1.66626933e-02
2.29183118e+00 -3.50523846e-02 1.68607674e-02
2.33002837e+00 -3.50508589e-02 1.70583985e-02
2.36822555e+00 -3.50494259e-02 1.72556452e-02
2.40642274e+00 -3.50480788e-02 1.74525512e-02
2.44461993e+00 -3.50468112e-02 1.76491512e-02
2.48281711e+00 -3.50456174e-02 1.78454968e-02
2.52101430e+00 -3.50444922e-02 1.80416414e-02
2.55921148e+00 -3.50434307e-02 1.82376278e-02
2.59740867e+00 -3.50424285e-02 1.84334907e-02
2.63560586e+00 -3.50414815e-02 1.86292637e-02
2.67380304e+00 -3.50405860e-02 1.88249918e-02
2.71200023e+00 -3.50397386e-02 1.90207168e-02
2.75019742e+00 -3.50389360e-02 1.92164741e-02
2.78839460e+00 -3.50381755e-02 1.94122954e-02
2.82659179e+00 -3.50374543e-02 1.96082113e-02
2.86478898e+00 -3.50367699e-02 1.98042583e-02
2.90298616e+00 -3.50361200e-02 2.00004713e-02
2.94118335e+00 -3.50355024e-02 2.01968815e-02
2.97938053e+00 -3.50349153e-02 2.03935184e-02
3.01757772e+00 -3.50343567e-02 2.05904109e-02
3.05577491e+00 -3.50338250e-02 2.07875892e-02
3.09397209e+00 -3.50333186e-02 2.09850830e-02
3.13216928e+00 -3.50328359e-02 2.11829201e-02
3.17036647e+00 -3.50323758e-02 2.13811272e-02
3.20856365e+00 -3.50319367e-02 2.15797311e-02
3.24676084e+00 -3.50315177e-02 2.17787600e-02
3.28495803e+00 -3.50311175e-02 2.19782419e-02
3.32315521e+00 -3.50307352e-02 2.21782013e-02
3.36135240e+00 -3.50303697e-02 2.23786617e-02
3.39954958e+00 -3.50300201e-02 2.25796468e-02
3.43774677e+00 -3.50296856e-02 2.27811811e-02
3.47594396e+00 -3.50293655e-02 2.29832915e-02
3.51414114e+00 -3.50290589e-02 2.31860061e-02
3.55233833e+00 -3.50287652e-02 2.33893480e-02
3.59053552e+00 -3.50284836e-02 2.35933373e-02
3.62873270e+00 -3.50282137e-02 2.37979945e-02
3.66692989e+00 -3.50279547e-02 2.40033419e-02
3.70512708e+00 -3.50277063e-02 2.42094032e-02
3.74332426e+00 -3.50274677e-02 2.44162053e-02
3.78152145e+00 -3.50272387e-02 2.46237762e-02
3.81971863e+00 -3.50270186e-02 2.48321366e-02
3.85791582e+00 -3.50268071e-02 2.50413040e-02
3.89611301e+00 -3.50266038e-02 2.52512973e-02
3.93431019e+00 -3.50264083e-02 2.54621373e-02
3.97250738e+00 -3.50262202e-02 2.56738467e-02
4.01070457e+00 -3.50260393e-02 2.58864512e-02
4.04890175e+00 -3.50258650e-02 2.60999797e-02
4.08709894e+00 -3.50256973e-02 2.63144560e-02
4.12529612e+00 -3.50255357e-02 2.65298964e-02
4.16349331e+00 -3.50253801e-02 2.67463182e-02
4.20169050e+00 -3.50252301e-02 2.69637404e-02
4.23988768e+00 -3.50250854e-02 2.71821840e-02
4.27808487e+00 -3.50249460e-02 2.74016728e-02
4.31628206e+00 -3.50248115e-02 2.76222335e-02
4.35447924e+00 -3.50246818e-02 2.78438957e-02
4.39267643e+00 -3.50245566e-02 2.80666825e-02
4.43087362e+00 -3.50244357e-02 2.82906097e-02
4.46907080e+00 -3.50243190e-02 2.85156945e-02
4.50726799e+00 -3.50242064e-02 2.87419561e-02
4.54546517e+00 -3.50240975e-02 2.89694158e-02
4.58366236e+00 -3.50239924e-02 2.91980975e-02
4.62185955e+00 -3.50238908e-02 2.94280278e-02
4.66005673e+00 -3.50237926e-02 2.96592368e-02
4.69825392e+00 -3.50236977e-02 2.98917525e-02
4.73645111e+00 -3.50236060e-02 3.01255928e-02
4.77464829e+00 -3.50235172e-02 3.03607749e-02
4.81284548e+00 -3.50234314e-02 3.05973181e-02
4.85104267e+00 -3.50233484e-02 3.08352435e-02
4.88923985e+00 -3.50232680e-02 3.10745747e-02
4.92743704e+00 -3.50231903e-02 3.13153379e-02
4.96563422e+00 -3.50231151e-02 3.15575619e-02
5.00383141e+00 -3.50230423e-02 3.18012786e-02
5.04202860e+00 -3.50229718e-02 3.20465162e-02
5.08022578e+00 -3.50229035e-02 3.22932935e-02
5.11842297e+00 -3.50228374e-02 3.25416299e-02
5.15662016e+00 -3.50227734e-02 3.27915467e-02
5.19481734e+00 -3.50227115e-02 3.30430670e-02
5.23301453e+00 -3.50226514e-02 3.32962164e-02
5.27121172e+00 -3.50225933e-02 3.35510229e-02
5.30940890e+00 -3.50225369e-02 3.38075169e-02
5.34760609e+00 -3.50224823e-02 3.40657317e-02
5.38580327e+00 -3.50224294e-02 3.43257001e-02
5.42400046e+00 -3.50223782e-02 3.45874453e-02
5.46219765e+00 -3.50223285e-02 3.48509889e-02
5.50039483e+00 -3.50222804e-02 3.51163545e-02
5.53859202e+00 -3.50222337e-02 3.53835677e-02
5.57678921e+00 -3.50221885e-02 3.56526559e-02
5.61498639e+00 -3.50221447e-02 3.59236489e-02
5.65318358e+00 -3.50221023e-02 3.61965786e-02
5.69138076e+00 -3.50220612e-02 3.64714796e-02
5.72957795e+00 -3.50220213e-02 3.67483887e-02
5.76777514e+00 -3.50219827e-02 3.70273391e-02
5.80597232e+00 -3.50219452e-02 3.73083563e-02
5.84416951e+00 -3.50219090e-02 3.75914670e-02
5.88236670e+00 -3.50218738e-02 3.78766993e-02
5.92056388e+00 -3.50218398e-02 3.81640835e-02
5.95876107e+00 -3.50218068e-02 3.84536515e-02
5.99695826e+00 -3.50217748e-02 3.87454375e-02
6.03515544e+00 -3.50217439e-02 3.90394777e-02
6.07335263e+00 -3.50217140e-02 3.93358107e-02
6.11154981e+00 -3.50216849e-02 3.96344770e-02
6.14974700e+00 -3.50216569e-02 3.99355143e-02
6.18794419e+00 -3.50216297e-02 4.02389538e-02
6.22614137e+00 -3.50216034e-02 4.05448278e-02
6.26433856e+00 -3.50215780e-02 4.08531700e-02
6.30253575e+00 -3.50215534e-02 4.11640161e-02
6.34073293e+00 -3.50215296e-02 4.14774035e-02
6.37893012e+00 -3.50215067e-02 4.17933715e-02
6.41712731e+00 -3.50214845e-02 4.21119611e-02
6.45532449e+00 -3.50214630e-02 4.24332157e-02
6.49352168e+00 -3.50214423e-02 4.27571804e-02
6.53171886e+00 -3.50214224e-02 4.30839003e-02
6.56991605e+00 -3.50214031e-02 4.34134148e-02
6.60811324e+00 -3.50213846e-02 4.37457630e-02
6.64631042e+00 -3.50213667e-02 4.40809861e-02
6.68450761e+00 -3.50213495e-02 4.44191264e-02
6.72270480e+00 -3.50213329e-02 4.47602280e-02
6.76090198e+00 -3.50213170e-02 4.51043370e-02
6.79909917e+00 -3.50213018e-02 4.54515008e-02
6.83729636e+00 -3.50212871e-02 4.58017688e-02
6.87549354e+00 -3.50212730e-02 4.61551921e-02
6.91369073e+00 -3.50212596e-02 4.65118234e-02
6.95188791e+00 -3.50212467e-02 4.68717131e-02
6.99008510e+00 -3.50212344e-02 4.72349101e-02
7.02828229e+00 -3.50212227e-02 4.76014644e-02
7.06647947e+00 -3.50212115e-02 4.79714277e-02
7.10467666e+00 -3.50212008e-02 4.83448530e-02
7.14287385e+00 -3.50211908e-02 4.87217951e-02
7.18107103e+00 -3.50211812e-02 4.91023100e-02
7.21926822e+00 -3.50211722e-02 4.94864557e-02
7.25746540e+00 -3.50211637e-02 4.98742914e-02
7.29566259e+00 -3.50211557e-02 5.02658778e-02
7.33385978e+00 -3.50211482e-02 5.06612771e-02
7.37205696e+00 -3.50211412e-02 5.10605507e-02
7.41025415e+00 -3.50211348e-02 5.14637611e-02
7.44845134e+00 -3.50211288e-02 5.18709722e-02
7.48664852e+00 -3.50211233e-02 5.22822493e-02
7.52484571e+00 -3.50211183e-02 5.26976589e-02
7.56304290e+00 -3.50211137e-02 5.31172690e-02
7.60124008e+00 -3.50211097e-02 5.35411491e-02
7.63943727e+00 -3.50211061e-02 5.39693698e-02
7.67763445e+00 -3.50211030e-02 5.44020031e-02
7.71583164e+00 -3.50211004e-02 5.48391223e-02
7.75402883e+00 -3.50210982e-02 5.52808030e-02
7.79222601e+00 -3.50210966e-02 5.57271243e-02
7.83042320e+00 -3.50210953e-02 5.61781665e-02
7.86862039e+00 -3.50210946e-02 5.66340115e-02
7.90681757e+00 -3.50210943e-02 5.70947422e-02
7.94501476e+00 -3.50210945e-02 5.75604427e-02
7.98321195e+00 -3.50210951e-02 5.80311985e-02
8.02140913e+00 -3.50210962e-02 5.85070959e-02
8.05960632e+00 -3.50210978e-02 5.89882226e-02
8.09780350e+00 -3.50210998e-02 5.94746669e-02
8.13600069e+00 -3.50211023e-02 5.99665191e-02
8.17419788e+00 -3.50211053e-02 6.04638769e-02
8.21239506e+00 -3.50211088e-02 6.09668433e-02
8.25059225e+00 -3.50211127e-02 6.14755225e-02
8.28878944e+00 -3.50211171e-02 6.19900196e-02
8.32698662e+00 -3.50211220e-02 6.25104410e-02
8.36518381e+00 -3.50211274e-02 6.30368939e-02
8.40338100e+00 -3.50211332e-02 6.35694867e-02
8.44157818e+00 -3.50211396e-02 6.41083280e-02
8.47977537e+00 -3.50211464e-02 6.46535276e-02
8.51797255e+00 -3.50211538e-02 6.52051957e-02
8.55616974e+00 -3.50211616e-02 6.57634495e-02
8.59436693e+00 -3.50211700e-02 6.63284211e-02
8.63256411e+00 -3.50211789e-02 6.69002449e-02
8.67076130e+00 -3.50211883e-02 6.74790566e-02
8.70895849e+00 -3.50211983e-02 6.80649927e-02
8.74715567e+00 -3.50212088e-02 6.86581904e-02
8.78535286e+00 -3.50212198e-02 6.92587873e-02
8.82355005e+00 -3.50212314e-02 6.98669217e-02
8.86174723e+00 -3.50212436e-02 7.04827320e-02
8.89994442e+00 -3.50212563e-02 7.11063568e-02
8.93814160e+00 -3.50212696e-02 7.17379397e-02
8.97633879e+00 -3.50212835e-02 7.23776490e-02
9.01453598e+00 -3.50212980e-02 7.30256606e-02
9.05273316e+00 -3.50213132e-02 7.36821514e-02
9.09093035e+00 -3.50213289e-02 7.43472988e-02
9.12912754e+00 -3.50213453e-02 7.50212804e-02
9.16732472e+00 -3.50213623e-02 7.57042742e-02
9.20552191e+00 -3.50213801e-02 7.63964580e-02
9.24371909e+00 -3.50213984e-02 7.70980093e-02
9.28191628e+00 -3.50214175e-02 7.78091050e-02
9.32011347e+00 -3.50214373e-02 7.85299291e-02
9.35831065e+00 -3.50214578e-02 7.92607025e-02
9.39650784e+00 -3.50214790e-02 8.00016574e-02
9.43470503e+00 -3.50215010e-02 8.07530263e-02
9.47290221e+00 -3.50215238e-02 8.15150419e-02
9.51109940e+00 -3.50215474e-02 8.22879366e-02
9.54929659e+00 -3.50215718e-02 8.30719423e-02
9.58749377e+00 -3.50215970e-02 8.38672901e-02
9.62569096e+00 -3.50216231e-02 8.46742098e-02
9.66388814e+00 -3.50216500e-02 8.54929300e-02
9.70208533e+00 -3.50216779e-02 8.63237049e-02
9.74028252e+00 -3.50217066e-02 8.71668373e-02
9.77847970e+00 -3.50217363e-02 8.80226352e-02
9.81667689e+00 -3.50217670e-02 8.88914062e-02
9.85487408e+00 -3.50217987e-02 8.97734572e-02
9.89307126e+00 -3.50218314e-02 9.06690936e-02
9.93126845e+00 -3.50218652e-02 9.15786195e-02
9.96946564e+00 -3.50219001e-02 9.25023365e-02
1.00076628e+01 -3.50219361e-02 9.34405436e-02
1.00458600e+01 -3.50219732e-02 9.43935563e-02
1.00840572e+01 -3.50220115e-02 9.53617661e-02
1.01222544e+01 -3.50220511e-02 9.63455835e-02
1.01604516e+01 -3.50220919e-02 9.73454180e-02
1.01986488e+01 -3.50221340e-02 9.83616770e-02
1.02368459e+01 -3.50221775e-02 9.93947657e-02
1.02750431e+01 -3.50222223e-02 1.00445086e-01
1.03132403e+01 -3.50222686e-02 1.01513036e-01
1.03514375e+01 -3.50223164e-02 1.02599010e-01
1.03896347e+01 -3.50223656e-02 1.03703438e-01
1.04278319e+01 -3.50224165e-02 1.04826853e-01
1.04660291e+01 -3.50224690e-02 1.05969806e-01
1.05042262e+01 -3.50225231e-02 1.07132841e-01
1.05424234e+01 -3.50225790e-02 1.08316502e-01
1.05806206e+01 -3.50226367e-02 1.09521327e-01
1.06188178e+01 -3.50226963e-02 1.10747847e-01
1.06570150e+01 -3.50227578e-02 1.11996590e-01
1.06952122e+01 -3.50228213e-02 1.13268090e-01
1.07334094e+01 -3.50228868e-02 1.14563017e-01
1.07716065e+01 -3.50229545e-02 1.15882109e-01
1.08098037e+01 -3.50230245e-02 1.17226100e-01
1.08480009e+01 -3.50230967e-02 1.18595716e-01
1.08861981e+01 -3.50231713e-02 1.19991680e-01
1.09243953e+01 -3.50232484e-02 1.21414703e-01
1.09625925e+01 -3.50233281e-02 1.22865488e-01
1.10007897e+01 -3.50234104e-02 1.24344758e-01
1.10389869e+01 -3.50234955e-02 1.25853432e-01
