#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.20931605e-03 5.25609801e-15 2.11028292e-13 1.84710138e-13
2.41863211e-03 1.10249861e-14 4.22273005e-13 3.69333142e-13
3.62794816e-03 1.61528866e-14 6.33317561e-13 5.54189072e-13
4.83726421e-03 2.12807871e-14 8.44219440e-13 7.39458947e-13
6.04658027e-03 2.66650826e-14 1.05520906e-12 9.24809989e-13
7.25589632e-03 3.23057731e-14 1.26645014e-12 1.11015685e-12
8.46521237e-03 3.74336736e-14 1.47716982e-12 1.29632281e-12
9.67452842e-03 4.25615741e-14 1.68801562e-12 1.48274356e-12
1.08838445e-02 4.80740672e-14 1.89891133e-12 1.66946991e-12
1.20931605e-02 5.32019677e-14 2.10952666e-12 1.85692301e-12
1.33024766e-02 5.87144607e-14 2.31986887e-12 2.04512377e-12
1.45117926e-02 6.38423612e-14 2.53058018e-12 2.23356785e-12
1.57211087e-02 6.96112492e-14 2.74083753e-12 2.42303204e-12
1.69304247e-02 7.46109522e-14 2.95072754e-12 2.61338955e-12
1.81397408e-02 8.02516428e-14 3.16068643e-12 2.80434078e-12
1.93490568e-02 8.53795433e-14 3.37056976e-12 2.99612325e-12
2.05583729e-02 9.10202338e-14 3.58011803e-12 3.18901634e-12
2.17676890e-02 9.64045293e-14 3.78946903e-12 3.38285453e-12
2.29770050e-02 1.01917022e-13 3.99876277e-12 3.57761380e-12
2.41863211e-02 1.06916725e-13 4.20771259e-12 3.77356873e-12
2.53956371e-02 1.12044626e-13 4.41626540e-12 3.97084705e-12
2.66049532e-02 1.17557119e-13 4.62498807e-12 4.16894984e-12
2.78142692e-02 1.23197809e-13 4.83315068e-12 4.36865378e-12
2.90235853e-02 1.28582105e-13 5.04091627e-12 4.56975317e-12
3.02329013e-02 1.33325413e-13 5.24856503e-12 4.77200629e-12
3.14422174e-02 1.39350696e-13 5.45603420e-12 4.97551880e-12
3.26515334e-02 1.44734992e-13 5.66307390e-12 5.18076119e-12
3.38608495e-02 1.49862892e-13 5.86986545e-12 5.38749360e-12
3.50701655e-02 1.55375385e-13 6.07641528e-12 5.59567329e-12
3.62794816e-02 1.60375088e-13 6.28251229e-12 5.80549357e-12
3.74887976e-02 1.66015779e-13 6.48813360e-12 6.01714338e-12
3.86981137e-02 1.71015482e-13 6.69355860e-12 6.23042599e-12
3.99074298e-02 1.76912567e-13 6.89891445e-12 6.44511104e-12
4.11167458e-02 1.81527678e-13 7.10351125e-12 6.66203162e-12
4.23260619e-02 1.87296566e-13 7.30783545e-12 6.88061963e-12
4.35353779e-02 1.92552664e-13 7.51198195e-12 7.10094829e-12
4.47446940e-02 1.97808762e-13 7.71561378e-12 7.32333826e-12
4.59540100e-02 2.03449452e-13 7.91882782e-12 7.54769028e-12
4.71633261e-02 2.08064563e-13 8.12184273e-12 7.77388858e-12
4.83726421e-02 2.13833451e-13 8.32424401e-12 8.00223059e-12
4.95819582e-02 2.18961351e-13 8.52612018e-12 8.23280961e-12
5.07912742e-02 2.24345647e-13 8.72806343e-12 8.46513668e-12
5.20005903e-02 2.29858140e-13 8.92932599e-12 8.69988332e-12
5.32099063e-02 2.35242435e-13 9.13002362e-12 8.93694808e-12
5.44192224e-02 2.40242138e-13 9.33042237e-12 9.17608356e-12
5.56285384e-02 2.45626434e-13 9.53058703e-12 9.41734236e-12
5.68378545e-02 2.51010729e-13 9.73015095e-12 9.66115985e-12
5.80471705e-02 2.55882235e-13 9.92933855e-12 9.90703068e-12
5.92564866e-02 2.61779320e-13 1.01282766e-11 1.01552802e-11
6.04658027e-02 2.67163616e-13 1.03266514e-11 1.04058142e-11
6.16751187e-02 2.72291516e-13 1.05244774e-11 1.06591430e-11
6.28844348e-02 2.77932207e-13 1.07220187e-11 1.09149323e-11
6.40937508e-02 2.83188305e-13 1.09194349e-11 1.11728918e-11
6.53030669e-02 2.88444403e-13 1.11160252e-11 1.14336548e-11
6.65123829e-02 2.93444106e-13 1.13124007e-11 1.16965699e-11
6.77216990e-02 2.99084796e-13 1.15085021e-11 1.19621925e-11
6.89310150e-02 3.04469092e-13 1.17040704e-11 1.22303390e-11
7.01403311e-02 3.09981585e-13 1.18992567e-11 1.25013329e-11
7.13496471e-02 3.14981288e-13 1.20941811e-11 1.27748374e-11
7.25589632e-02 3.20237386e-13 1.22886387e-11 1.30510906e-11
7.37682792e-02 3.26006274e-13 1.24826097e-11 1.33301681e-11
7.49775953e-02 3.31005977e-13 1.26766052e-11 1.36113113e-11
7.61869113e-02 3.36646668e-13 1.28699774e-11 1.38953864e-11
7.73962274e-02 3.41902766e-13 1.30629132e-11 1.41826717e-11
7.86055435e-02 3.47287061e-13 1.32556012e-11 1.44725714e-11
7.98148595e-02 3.52799554e-13 1.34481786e-11 1.47650258e-11
8.10241756e-02 3.58055652e-13 1.36402846e-11 1.50606585e-11
8.22334916e-02 3.63568145e-13 1.38320756e-11 1.53587920e-11
8.34428077e-02 3.68824243e-13 1.40238046e-11 1.56597011e-11
8.46521237e-02 3.74464934e-13 1.42150570e-11 1.59634351e-11
8.58614398e-02 3.79592834e-13 1.44061053e-11 1.62705022e-11
8.70707558e-02 3.84977130e-13 1.45967349e-11 1.65802577e-11
8.82800719e-02 3.90361425e-13 1.47874382e-11 1.68926821e-11
8.94893879e-02 3.95745721e-13 1.49779259e-11 1.72084664e-11
