#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.51164507e-04 -1.28197512e-16 1.42802986e-10 7.14019228e-11
3.02329013e-04 -0.00000000e+00 2.85606150e-10 1.42804066e-10
4.53493520e-04 2.56395025e-16 4.28408685e-10 2.14207849e-10
6.04658027e-04 -0.00000000e+00 5.71211048e-10 2.85613219e-10
7.55822533e-04 2.56395025e-16 7.14012425e-10 3.57021354e-10
9.06987040e-04 -2.56395025e-16 8.56813232e-10 4.28432334e-10
1.05815155e-03 1.28197512e-16 9.99612584e-10 4.99847532e-10
1.20931605e-03 -1.28197512e-16 1.14241120e-09 5.71266646e-10
1.36048056e-03 -1.28197512e-16 1.28520811e-09 6.42691101e-10
1.51164507e-03 -0.00000000e+00 1.42800383e-09 7.14120887e-10
1.66280957e-03 -1.28197512e-16 1.57079758e-09 7.85557330e-10
1.81397408e-03 -1.28197512e-16 1.71358978e-09 8.57000369e-10
1.96513859e-03 -2.56395025e-16 1.85637964e-09 9.28451192e-10
2.11630309e-03 -0.00000000e+00 1.99916726e-09 9.99910195e-10
2.26746760e-03 -0.00000000e+00 2.14195285e-09 1.07137768e-09
2.41863211e-03 -2.56395025e-16 2.28473562e-09 1.14285485e-09
2.56979661e-03 -2.56395025e-16 2.42751597e-09 1.21434175e-09
2.72096112e-03 -2.56395025e-16 2.57029313e-09 1.28583972e-09
2.87212563e-03 -1.28197512e-16 2.71306758e-09 1.35734871e-09
3.02329013e-03 -0.00000000e+00 2.85583851e-09 1.42886982e-09
3.17445464e-03 -0.00000000e+00 2.99860618e-09 1.50040334e-09
3.32561915e-03 -0.00000000e+00 3.14137018e-09 1.57195014e-09
3.47678365e-03 -0.00000000e+00 3.28413074e-09 1.64351051e-09
3.62794816e-03 -2.56395025e-16 3.42688717e-09 1.71508565e-09
3.77911267e-03 2.56395025e-16 3.56963978e-09 1.78667547e-09
3.93027717e-03 2.56395025e-16 3.71238789e-09 1.85828128e-09
4.08144168e-03 -1.28197512e-16 3.85513192e-09 1.92990307e-09
4.23260619e-03 -2.56395025e-16 3.99787111e-09 2.00154211e-09
4.38377069e-03 -3.84592537e-16 4.14060550e-09 2.07319866e-09
4.53493520e-03 -3.84592537e-16 4.28333534e-09 2.14487308e-09
4.68609971e-03 -5.12790050e-16 4.42605982e-09 2.21656666e-09
4.83726421e-03 -8.97382587e-16 4.56877928e-09 2.28827927e-09
4.98842872e-03 -1.02558010e-15 4.71149313e-09 2.36001230e-09
5.13959323e-03 -5.12790050e-16 4.85420150e-09 2.43176578e-09
5.29075773e-03 -3.84592537e-16 4.99690398e-09 2.50354076e-09
5.44192224e-03 -5.12790050e-16 5.13960086e-09 2.57533732e-09
5.59308675e-03 -1.02558010e-15 5.28229135e-09 2.64715680e-09
5.74425125e-03 -8.97382587e-16 5.42497593e-09 2.71899910e-09
5.89541576e-03 -1.28197512e-15 5.56765379e-09 2.79086543e-09
