#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.20931605e-03 -1.16659736e-14 7.31151438e-08 3.65628350e-08
2.41863211e-03 -4.78176721e-14 1.46224747e-07 7.31462429e-08
3.62794816e-03 -1.08198700e-13 2.19323273e-07 1.09770776e-07
4.83726421e-03 -1.92296269e-13 2.92405187e-07 1.46456944e-07
6.04658027e-03 -3.00238574e-13 3.65464964e-07 1.83225198e-07
7.25589632e-03 -4.32538407e-13 4.38497086e-07 2.20095907e-07
8.46521237e-03 -5.89195767e-13 5.11496049e-07 2.57089337e-07
9.67452842e-03 -7.69313272e-13 5.84456359e-07 2.94225635e-07
1.08838445e-02 -9.73531909e-13 6.57372543e-07 3.31524808e-07
1.20931605e-02 -1.20262086e-12 7.30239144e-07 3.69006706e-07
1.33024766e-02 -1.45452898e-12 8.03050726e-07 4.06691001e-07
1.45117926e-02 -1.73079462e-12 8.75801876e-07 4.44597176e-07
1.57211087e-02 -2.03128958e-12 9.48487207e-07 4.82744502e-07
1.69304247e-02 -2.35537290e-12 1.02110136e-06 5.21152025e-07
1.81397408e-02 -2.70317275e-12 1.09363901e-06 5.59838554e-07
1.93490568e-02 -3.07571472e-12 1.16609486e-06 5.98822642e-07
2.05583729e-02 -3.47133224e-12 1.23846364e-06 6.38122573e-07
2.17676890e-02 -3.89117909e-12 1.31074014e-06 6.77756357e-07
2.29770050e-02 -4.33499888e-12 1.38291916e-06 7.17741708e-07
2.41863211e-02 -4.80189422e-12 1.45499558e-06 7.58096043e-07
2.53956371e-02 -5.29301889e-12 1.52696428e-06 7.98836464e-07
2.66049532e-02 -5.80811650e-12 1.59882023e-06 8.39979757e-07
2.78142692e-02 -6.34705884e-12 1.67055842e-06 8.81542379e-07
2.90235853e-02 -6.90907673e-12 1.74217391e-06 9.23540453e-07
3.02329013e-02 -7.49532396e-12 1.81366179e-06 9.65989763e-07
3.14422174e-02 -8.10464674e-12 1.88501724e-06 1.00890575e-06
3.26515334e-02 -8.73819884e-12 1.95623547e-06 1.05230349e-06
3.38608495e-02 -9.39495470e-12 2.02731177e-06 1.09619774e-06
3.50701655e-02 -1.00751707e-11 2.09824149e-06 1.14060286e-06
3.62794816e-02 -1.07791032e-11 2.16902004e-06 1.18553289e-06
3.74887976e-02 -1.15062395e-11 2.23964290e-06 1.23100149e-06
3.86981137e-02 -1.22565796e-11 2.31010564e-06 1.27702197e-06
3.99074298e-02 -1.30305080e-11 2.38040388e-06 1.32360728e-06
4.11167458e-02 -1.38281529e-11 2.45053334e-06 1.37077001e-06
4.23260619e-02 -1.46479760e-11 2.52048979e-06 1.41852240e-06
4.35353779e-02 -1.54921566e-11 2.59026911e-06 1.46687633e-06
4.47446940e-02 -1.63590282e-11 2.65986726e-06 1.51584334e-06
4.59540100e-02 -1.72488471e-11 2.72928027e-06 1.56543461e-06
4.71633261e-02 -1.81622544e-11 2.79850428e-06 1.61566099e-06
4.83726421e-02 -1.90978398e-11 2.86753552e-06 1.66653298e-06
4.95819582e-02 -2.00567572e-11 2.93637029e-06 1.71806075e-06
5.07912742e-02 -2.10386220e-11 3.00500503e-06 1.77025413e-06
5.20005903e-02 -2.20435623e-11 3.07343625e-06 1.82312264e-06
5.32099063e-02 -2.30710653e-11 3.14166058e-06 1.87667546e-06
5.44192224e-02 -2.41210030e-11 3.20967474e-06 1.93092147e-06
5.56285384e-02 -2.51938879e-11 3.27747557e-06 1.98586923e-06
5.68378545e-02 -2.62894639e-11 3.34506004e-06 2.04152702e-06
5.80471705e-02 -2.74076026e-11 3.41242519e-06 2.09790279e-06
5.92564866e-02 -2.85480476e-11 3.47956822e-06 2.15500422e-06
6.04658027e-02 -2.97109273e-11 3.54648642e-06 2.21283870e-06
6.16751187e-02 -3.08964979e-11 3.61317723e-06 2.27141333e-06
6.28844348e-02 -3.21038620e-11 3.67963821e-06 2.33073496e-06
6.40937508e-02 -3.33334044e-11 3.74586702e-06 2.39081015e-06
6.53030669e-02 -3.45855095e-11 3.81186149e-06 2.45164523e-06
6.65123829e-02 -3.58594082e-11 3.87761957e-06 2.51324625e-06
6.77216990e-02 -3.71552286e-11 3.94313935e-06 2.57561901e-06
6.89310150e-02 -3.84732273e-11 4.00841905e-06 2.63876910e-06
7.01403311e-02 -3.98130195e-11 4.07345704e-06 2.70270185e-06
7.13496471e-02 -4.11742206e-11 4.13825186e-06 2.76742236e-06
7.25589632e-02 -4.25576000e-11 4.20280215e-06 2.83293553e-06
7.37682792e-02 -4.39626447e-11 4.26710676e-06 2.89924603e-06
7.49775953e-02 -4.53883293e-11 4.33116465e-06 2.96635831e-06
7.61869113e-02 -4.68361920e-11 4.39497497e-06 3.03427664e-06
7.73962274e-02 -4.83050791e-11 4.45853701e-06 3.10300508e-06
7.86055435e-02 -4.97957598e-11 4.52185024e-06 3.17254748e-06
7.98148595e-02 -5.13069520e-11 4.58491428e-06 3.24290753e-06
8.10241756e-02 -5.28396815e-11 4.64772896e-06 3.31408872e-06
8.22334916e-02 -5.43930507e-11 4.71029423e-06 3.38609438e-06
8.34428077e-02 -5.59679572e-11 4.77261026e-06 3.45892765e-06
8.46521237e-02 -5.75628624e-11 4.83467739e-06 3.53259153e-06
8.58614398e-02 -5.91793049e-11 4.89649613e-06 3.60708882e-06
8.70707558e-02 -6.08160025e-11 4.95806719e-06 3.68242219e-06
8.82800719e-02 -6.24728272e-11 5.01939147e-06 3.75859417e-06
8.94893879e-02 -6.41506762e-11 5.08047005e-06 3.83560710e-06
9.06987040e-02 -6.58486523e-11 5.14130423e-06 3.91346323e-06
9.19080200e-02 -6.75670117e-11 5.20189548e-06 3.99216462e-06
9.31173361e-02 -6.93052418e-11 5.26224549e-06 4.07171324e-06
9.43266521e-02 -7.10637271e-11 5.32235616e-06 4.15211090e-06
9.55359682e-02 -7.28422112e-11 5.38222958e-06 4.23335929e-06
9.67452842e-02 -7.46403095e-11 5.44186806e-06 4.31545999e-06
9.79546003e-02 -7.64587912e-11 5.50127414e-06 4.39841444e-06
9.91639164e-02 -7.82966307e-11 5.56045054e-06 4.48222398e-06
1.00373232e-01 -8.01539563e-11 5.61940024e-06 4.56688985e-06
1.01582548e-01 -8.20302551e-11 5.67812642e-06 4.65241314e-06
1.02791865e-01 -8.39265527e-11 5.73663248e-06 4.73879488e-06
1.04001181e-01 -8.58415671e-11 5.79492208e-06 4.82603596e-06
1.05210497e-01 -8.77760676e-11 5.85299908e-06 4.91413721e-06
1.06419813e-01 -8.97286439e-11 5.91086758e-06 5.00309932e-06
1.07629129e-01 -9.17014754e-11 5.96853193e-06 5.09292292e-06
1.08838445e-01 -9.36921264e-11 6.02599671e-06 5.18360854e-06
1.10047761e-01 -9.57017506e-11 6.08326674e-06 5.27515662e-06
1.11257077e-01 -9.77298352e-11 6.14034709e-06 5.36756751e-06
1.12466393e-01 -9.97762521e-11 6.19724309e-06 5.46084148e-06
1.13675709e-01 -1.01840873e-10 6.25396028e-06 5.55497872e-06
1.14885025e-01 -1.03924211e-10 6.31050449e-06 5.64997934e-06
1.16094341e-01 -1.06024727e-10 6.36688179e-06 5.74584338e-06
1.17303657e-01 -1.08143832e-10 6.42309851e-06 5.84257081e-06
1.18512973e-01 -1.10280628e-10 6.47916122e-06 5.94016150e-06
1.19722289e-01 -1.12435115e-10 6.53507678e-06 6.03861528e-06
1.20931605e-01 -1.14607422e-10 6.59085230e-06 6.13793190e-06
1.22140921e-01 -1.16796908e-10 6.64649513e-06 6.23811104e-06
1.23350237e-01 -1.19003443e-10 6.70201291e-06 6.33915232e-06
1.24559553e-01 -1.21227414e-10 6.75741355e-06 6.44105531e-06
1.25768870e-01 -1.23468563e-10 6.81270522e-06 6.54381949e-06
1.26978186e-01 -1.25726377e-10 6.86789635e-06 6.64744430e-06
1.28187502e-01 -1.28001498e-10 6.92299565e-06 6.75192912e-06
1.29396818e-01 -1.30292773e-10 6.97801211e-06 6.85727328e-06
1.30606134e-01 -1.32600328e-10 7.03295496e-06 6.96347603e-06
1.31815450e-01 -1.34924805e-10 7.08783374e-06 7.07053659e-06
1.33024766e-01 -1.37264922e-10 7.14265823e-06 7.17845413e-06
1.34234082e-01 -1.39621834e-10 7.19743852e-06 7.28722774e-06
1.35443398e-01 -1.41994770e-10 7.25218494e-06 7.39685649e-06
1.36652714e-01 -1.44382961e-10 7.30690810e-06 7.50733940e-06
1.37862030e-01 -1.46787434e-10 7.36161889e-06 7.61867541e-06
1.39071346e-01 -1.49207803e-10 7.41632846e-06 7.73086345e-06
1.40280662e-01 -1.51642786e-10 7.47104826e-06 7.84390240e-06
1.41489978e-01 -1.54093282e-10 7.52578997e-06 7.95779107e-06
1.42699294e-01 -1.56559289e-10 7.58056557e-06 8.07252825e-06
1.43908610e-01 -1.59039526e-10 7.63538729e-06 8.18811268e-06
1.45117926e-01 -1.61535532e-10 7.69026764e-06 8.30454306e-06
1.46327242e-01 -1.64045896e-10 7.74521937e-06 8.42181805e-06
1.47536558e-01 -1.66570617e-10 7.80025551e-06 8.53993627e-06
1.48745875e-01 -1.69110338e-10 7.85538935e-06 8.65889631e-06
1.49955191e-01 -1.71664033e-10 7.91063444e-06 8.77869669e-06
1.51164507e-01 -1.74232085e-10 7.96600456e-06 8.89933593e-06
1.52373823e-01 -1.76813599e-10 8.02151376e-06 9.02081250e-06
1.53583139e-01 -1.79409342e-10 8.07717635e-06 9.14312483e-06
1.54792455e-01 -1.82018674e-10 8.13300684e-06 9.26627132e-06
1.56001771e-01 -1.84641852e-10 8.18902002e-06 9.39025033e-06
1.57211087e-01 -1.87278105e-10 8.24523089e-06 9.51506019e-06
1.58420403e-01 -1.89927691e-10 8.30165470e-06 9.64069920e-06
1.59629719e-01 -1.92590354e-10 8.35830690e-06 9.76716562e-06
1.60839035e-01 -1.95265579e-10 8.41520319e-06 9.89445769e-06
1.62048351e-01 -1.97954650e-10 8.47235946e-06 1.00225736e-05
1.63257667e-01 -2.00655259e-10 8.52979182e-06 1.01515116e-05
1.64466983e-01 -2.03368560e-10 8.58751657e-06 1.02812697e-05
1.65676299e-01 -2.06094167e-10 8.64555023e-06 1.04118460e-05
1.66885615e-01 -2.08832081e-10 8.70390948e-06 1.05432387e-05
1.68094931e-01 -2.11582046e-10 8.76261121e-06 1.06754459e-05
1.69304247e-01 -2.14343805e-10 8.82167247e-06 1.08084654e-05
1.70513563e-01 -2.17116974e-10 8.88111048e-06 1.09422954e-05
1.71722880e-01 -2.19901808e-10 8.94094263e-06 1.10769338e-05
1.72932196e-01 -2.22698565e-10 9.00118644e-06 1.12123785e-05
1.74141512e-01 -2.25505834e-10 9.06185959e-06 1.13486275e-05
1.75350828e-01 -2.28324000e-10 9.12297991e-06 1.14856787e-05
1.76560144e-01 -2.31153319e-10 9.18456533e-06 1.16235298e-05
1.77769460e-01 -2.33993535e-10 9.24663390e-06 1.17621788e-05
1.78978776e-01 -2.36844135e-10 9.30920380e-06 1.19016235e-05
1.80188092e-01 -2.39704991e-10 9.37229329e-06 1.20418616e-05
1.81397408e-01 -2.42576487e-10 9.43592072e-06 1.21828910e-05
1.82606724e-01 -2.45457726e-10 9.50010455e-06 1.23247093e-05
1.83816040e-01 -2.48348964e-10 9.56486326e-06 1.24673144e-05
1.85025356e-01 -2.51249946e-10 9.63021542e-06 1.26107038e-05
1.86234672e-01 -2.54160542e-10 9.69617966e-06 1.27548752e-05
