#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
6.04658027e-04 -0.00000000e+00 4.56973478e-09 1.14242078e-08
1.20931605e-03 -2.56395025e-16 9.13977882e-09 2.28485591e-08
1.81397408e-03 -5.12790050e-16 1.37104410e-08 3.42731972e-08
2.41863211e-03 -1.02558010e-15 1.82820310e-08 4.56982659e-08
3.02329013e-03 -1.02558010e-15 2.28548569e-08 5.71239082e-08
3.62794816e-03 -1.66656766e-15 2.74292283e-08 6.85502678e-08
4.23260619e-03 -1.92296269e-15 3.20054535e-08 7.99774877e-08
4.83726421e-03 -2.82034527e-15 3.65838414e-08 9.14057116e-08
5.44192224e-03 -3.84592537e-15 4.11647003e-08 1.02835083e-07
6.04658027e-03 -4.48691293e-15 4.57483381e-08 1.14265744e-07
6.65123829e-03 -5.38429552e-15 5.03350632e-08 1.25697840e-07
7.25589632e-03 -6.53807313e-15 5.49251827e-08 1.37131512e-07
7.86055435e-03 -8.20464080e-15 5.95190038e-08 1.48566904e-07
8.46521237e-03 -8.97382587e-15 6.41168337e-08 1.60004159e-07
9.06987040e-03 -1.03839985e-14 6.87189790e-08 1.71443421e-07
9.67452842e-03 -1.20505662e-14 7.33257458e-08 1.82884831e-07
1.02791865e-02 -1.35889363e-14 7.79374401e-08 1.94328533e-07
1.08838445e-02 -1.53837015e-14 8.25543665e-08 2.05774670e-07
1.14885025e-02 -1.74348617e-14 8.71768305e-08 2.17223383e-07
1.20931605e-02 -1.88450343e-14 9.18051359e-08 2.28674817e-07
1.26978186e-02 -2.10243920e-14 9.64395867e-08 2.40129113e-07
1.33024766e-02 -2.30755522e-14 1.01080486e-07 2.51586413e-07
1.39071346e-02 -2.49985149e-14 1.05728137e-07 2.63046861e-07
1.45117926e-02 -2.71778726e-14 1.10382841e-07 2.74510597e-07
1.51164507e-02 -2.94854279e-14 1.15044900e-07 2.85977765e-07
1.57211087e-02 -3.23057731e-14 1.19714614e-07 2.97448506e-07
1.63257667e-02 -3.48697234e-14 1.24392284e-07 3.08922961e-07
1.69304247e-02 -3.69208836e-14 1.29078208e-07 3.20401273e-07
1.75350828e-02 -3.94848338e-14 1.33772686e-07 3.31883583e-07
1.81397408e-02 -4.23051791e-14 1.38476015e-07 3.43370033e-07
1.87443988e-02 -4.55101169e-14 1.43188492e-07 3.54860763e-07
1.93490568e-02 -4.83304622e-14 1.47910414e-07 3.66355915e-07
1.99537149e-02 -5.14072025e-14 1.52642076e-07 3.77855629e-07
2.05583729e-02 -5.42275478e-14 1.57383771e-07 3.89360047e-07
2.11630309e-02 -5.78170781e-14 1.62135795e-07 4.00869309e-07
