#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.81397408e-01 -9.70041091e-10 3.90787451e-05 6.37581891e-05
1.83816040e-01 -9.93124848e-10 3.99813061e-05 6.48181514e-05
1.86234672e-01 -1.01636360e-09 4.08960370e-05 6.58849408e-05
1.88653304e-01 -1.03975298e-09 4.18229680e-05 6.69585651e-05
1.91071936e-01 -1.06328683e-09 4.27621274e-05 6.80390302e-05
1.93490568e-01 -1.08695953e-09 4.37135412e-05 6.91263401e-05
1.95909201e-01 -1.11076658e-09 4.46772335e-05 7.02204967e-05
1.98327833e-01 -1.13470144e-09 4.56532260e-05 7.13215003e-05
2.00746465e-01 -1.15875937e-09 4.66415386e-05 7.24293490e-05
2.03165097e-01 -1.18293408e-09 4.76421889e-05 7.35440392e-05
2.05583729e-01 -1.20722059e-09 4.86551925e-05 7.46655656e-05
2.08002361e-01 -1.23161260e-09 4.96805629e-05 7.57939209e-05
2.10420993e-01 -1.25610551e-09 5.07183113e-05 7.69290961e-05
2.12839625e-01 -1.28069289e-09 5.17684471e-05 7.80710805e-05
2.15258257e-01 -1.30536925e-09 5.28309774e-05 7.92198616e-05
2.17676890e-01 -1.33012893e-09 5.39059071e-05 8.03754252e-05
2.20095522e-01 -1.35496630e-09 5.49932391e-05 8.15377556e-05
2.22514154e-01 -1.37987546e-09 5.60929741e-05 8.27068352e-05
2.24932786e-01 -1.40485052e-09 5.72051109e-05 8.38826450e-05
2.27351418e-01 -1.42988595e-09 5.83296458e-05 8.50651642e-05
2.29770050e-01 -1.45497562e-09 5.94665731e-05 8.62543706e-05
2.32188682e-01 -1.48011502e-09 6.06158850e-05 8.74502404e-05
2.34607314e-01 -1.50529673e-09 6.17775716e-05 8.86527482e-05
2.37025946e-01 -1.53051549e-09 6.29516207e-05 8.98618673e-05
2.39444579e-01 -1.55576553e-09 6.41380179e-05 9.10775692e-05
2.41863211e-01 -1.58104120e-09 6.53367467e-05 9.22998243e-05
2.44281843e-01 -1.60633637e-09 6.65477886e-05 9.35286013e-05
2.46700475e-01 -1.63164486e-09 6.77711225e-05 9.47638677e-05
2.49119107e-01 -1.65696195e-09 6.90067255e-05 9.60055896e-05
2.51537739e-01 -1.68228109e-09 7.02545724e-05 9.72537316e-05
2.53956371e-01 -1.70759625e-09 7.15146356e-05 9.85082570e-05
2.56375003e-01 -1.73290218e-09 7.27868855e-05 9.97691281e-05
2.58793635e-01 -1.75819209e-09 7.40712902e-05 1.01036305e-04
