#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
3.02329013e-04 -0.00000000e+00 5.71213709e-10 1.42803017e-09
6.04658027e-04 -0.00000000e+00 1.14243701e-09 2.85606494e-09
9.06987040e-04 -0.00000000e+00 1.71367965e-09 4.28410862e-09
1.20931605e-03 -1.28197512e-16 2.28495141e-09 5.71216584e-09
1.51164507e-03 -2.56395025e-16 2.85626173e-09 7.14024086e-09
1.81397408e-03 -0.00000000e+00 3.42762031e-09 8.56833842e-09
2.11630309e-03 -1.28197512e-16 3.99903720e-09 9.99646303e-09
2.41863211e-03 -1.28197512e-16 4.57052139e-09 1.14246188e-08
2.72096112e-03 2.56395025e-16 5.14208287e-09 1.28528104e-08
3.02329013e-03 3.84592537e-16 5.71373130e-09 1.42810423e-08
3.32561915e-03 1.28197512e-16 6.28547647e-09 1.57093192e-08
3.62794816e-03 -0.00000000e+00 6.85732766e-09 1.71376454e-08
3.93027717e-03 2.56395025e-16 7.42929473e-09 1.85660252e-08
4.23260619e-03 2.56395025e-16 8.00138728e-09 1.99944633e-08
4.53493520e-03 -3.84592537e-16 8.57361509e-09 2.14229642e-08
4.83726421e-03 -0.00000000e+00 9.14598769e-09 2.28515323e-08
5.13959323e-03 -0.00000000e+00 9.71851483e-09 2.42801722e-08
5.44192224e-03 -1.28197512e-16 1.02912059e-08 2.57088882e-08
5.74425125e-03 -2.56395025e-16 1.08640706e-08 2.71376849e-08
6.04658027e-03 -2.56395025e-16 1.14371187e-08 2.85665667e-08
6.34890928e-03 -3.84592537e-16 1.20103600e-08 2.99955382e-08
6.65123829e-03 -1.28197512e-16 1.25838036e-08 3.14246037e-08
6.95356731e-03 -7.69185075e-16 1.31574593e-08 3.28537678e-08
7.25589632e-03 -5.12790050e-16 1.37313369e-08 3.42830349e-08
7.55822533e-03 -5.12790050e-16 1.43054457e-08 3.57124095e-08
7.86055435e-03 -5.12790050e-16 1.48797955e-08 3.71418960e-08
8.16288336e-03 -5.12790050e-16 1.54543959e-08 3.85714989e-08
8.46521237e-03 -8.97382587e-16 1.60292564e-08 4.00012228e-08
8.76754138e-03 -8.97382587e-16 1.66043866e-08 4.14310721e-08
9.06987040e-03 -1.28197512e-15 1.71797961e-08 4.28610511e-08
9.37219941e-03 -1.02558010e-15 1.77554946e-08 4.42911647e-08
9.67452842e-03 -1.02558010e-15 1.83314913e-08 4.57214169e-08
9.97685744e-03 -1.02558010e-15 1.89077959e-08 4.71518123e-08
1.02791865e-02 -1.15377761e-15 1.94844184e-08 4.85823557e-08
1.05815155e-02 -1.15377761e-15 2.00613677e-08 5.00130509e-08
1.08838445e-02 -1.41017264e-15 2.06386534e-08 5.14439029e-08
1.11861735e-02 -1.53837015e-15 2.12162853e-08 5.28749158e-08
1.14885025e-02 -1.41017264e-15 2.17942729e-08 5.43060945e-08
1.17908315e-02 -1.28197512e-15 2.23726255e-08 5.57374430e-08
1.20931605e-02 -1.02558010e-15 2.29513527e-08 5.71689659e-08
1.23954895e-02 -1.41017264e-15 2.35304640e-08 5.86006677e-08
1.26978186e-02 -1.53837015e-15 2.41099688e-08 6.00325529e-08
1.30001476e-02 -1.41017264e-15 2.46898767e-08 6.14646259e-08
1.33024766e-02 -1.28197512e-15 2.52701973e-08 6.28968913e-08
1.36048056e-02 -1.53837015e-15 2.58509396e-08 6.43293531e-08
1.39071346e-02 -1.28197512e-15 2.64321134e-08 6.57620162e-08
1.42094636e-02 -1.28197512e-15 2.70137282e-08 6.71948851e-08
1.45117926e-02 -1.79476517e-15 2.75957931e-08 6.86279637e-08
1.48141217e-02 -1.53837015e-15 2.81783176e-08 7.00612569e-08
1.51164507e-02 -1.66656766e-15 2.87613112e-08 7.14947688e-08
1.54187797e-02 -1.53837015e-15 2.93447834e-08 7.29285042e-08
1.57211087e-02 -1.41017264e-15 2.99287434e-08 7.43624672e-08
1.60234377e-02 -1.41017264e-15 3.05132006e-08 7.57966624e-08
