#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
4.30516515e-01 1.94915831e-09 5.12501658e-08 5.65581049e-08
4.35353779e-01 1.97105893e-09 5.25560965e-08 5.75752277e-08
4.40191043e-01 1.99295930e-09 5.38723228e-08 5.85946063e-08
4.45028308e-01 2.01486018e-09 5.51982263e-08 5.96159863e-08
4.49865572e-01 2.03676105e-09 5.65331781e-08 6.06391092e-08
4.54702836e-01 2.05866155e-09 5.78765443e-08 6.16637212e-08
4.59540100e-01 2.08056204e-09 5.92276842e-08 6.26895660e-08
4.64377364e-01 2.10246254e-09 6.05859507e-08 6.37163879e-08
4.69214629e-01 2.12436341e-09 6.19506925e-08 6.47439333e-08
4.74051893e-01 2.14626416e-09 6.33212517e-08 6.57719475e-08
4.78889157e-01 2.16816504e-09 6.46969681e-08 6.68001777e-08
4.83726421e-01 2.19006515e-09 6.60771772e-08 6.78283708e-08
4.88563685e-01 2.21196642e-09 6.74612112e-08 6.88562764e-08
4.93400950e-01 2.23386704e-09 6.88484008e-08 6.98836440e-08
4.98238214e-01 2.25576753e-09 7.02380728e-08 7.09102228e-08
5.03075478e-01 2.27766815e-09 7.16295548e-08 7.19357669e-08
5.07912742e-01 2.29956852e-09 7.30221731e-08 7.29600292e-08
5.12750007e-01 2.32146940e-09 7.44152532e-08 7.39827642e-08
5.17587271e-01 2.34337002e-09 7.58081223e-08 7.50037298e-08
5.22424535e-01 2.36527090e-09 7.72001065e-08 7.60226835e-08
5.27261799e-01 2.38717126e-09 7.85905359e-08 7.70393863e-08
5.32099063e-01 2.40907214e-09 7.99787416e-08 7.80535997e-08
5.36936328e-01 2.43097302e-09 8.13640574e-08 7.90650893e-08
5.41773592e-01 2.45287390e-09 8.27458215e-08 8.00736218e-08
5.46610856e-01 2.47477452e-09 8.41233739e-08 8.10789643e-08
5.51448120e-01 2.49667514e-09 8.54960614e-08 8.20808904e-08
5.56285384e-01 2.51857576e-09 8.68632350e-08 8.30791734e-08
5.61122649e-01 2.54047613e-09 8.82242510e-08 8.40735896e-08
5.65959913e-01 2.56237688e-09 8.95784723e-08 8.50639192e-08
5.70797177e-01 2.58427789e-09 9.09252694e-08 8.60499447e-08
5.75634441e-01 2.60617825e-09 9.22640181e-08 8.70314514e-08
5.80471705e-01 2.62807900e-09 9.35941038e-08 8.80082273e-08
5.85308970e-01 2.64997975e-09 9.49149197e-08 8.89800657e-08
5.90146234e-01 2.67188025e-09 9.62258680e-08 8.99467611e-08
5.94983498e-01 2.69378125e-09 9.75263614e-08 9.09081129e-08
5.99820762e-01 2.71568162e-09 9.88158204e-08 9.18639233e-08
6.04658027e-01 2.73758250e-09 1.00093678e-07 9.28139986e-08
6.09495291e-01 2.75948299e-09 1.01359377e-07 9.37581485e-08
6.14332555e-01 2.78138413e-09 1.02612373e-07 9.46961880e-08
6.19169819e-01 2.80328475e-09 1.03852133e-07 9.56279353e-08
6.24007083e-01 2.82518537e-09 1.05078135e-07 9.65532128e-08
6.28844348e-01 2.84708574e-09 1.06289873e-07 9.74718473e-08
6.33681612e-01 2.86898649e-09 1.07486851e-07 9.83836695e-08
6.38518876e-01 2.89088698e-09 1.08668590e-07 9.92885168e-08
6.43356140e-01 2.91278811e-09 1.09834624e-07 1.00186229e-07
6.48193404e-01 2.93468835e-09 1.10984499e-07 1.01076651e-07
6.53030669e-01 2.95658923e-09 1.12117782e-07 1.01959635e-07
6.57867933e-01 2.97848998e-09 1.13234050e-07 1.02835035e-07
6.62705197e-01 3.00039060e-09 1.14332899e-07 1.03702714e-07
6.67542461e-01 3.02229148e-09 1.15413938e-07 1.04562534e-07
6.72379726e-01 3.04419185e-09 1.16476798e-07 1.05414370e-07
6.77216990e-01 3.06609260e-09 1.17521123e-07 1.06258098e-07
6.82054254e-01 3.08799296e-09 1.18546572e-07 1.07093601e-07
6.86891518e-01 3.10989346e-09 1.19552828e-07 1.07920766e-07
6.91728782e-01 3.13179472e-09 1.20539586e-07 1.08739489e-07
6.96566047e-01 3.15369547e-09 1.21506563e-07 1.09549670e-07
7.01403311e-01 3.17559571e-09 1.22453493e-07 1.10351215e-07
7.06240575e-01 3.19749633e-09 1.23380128e-07 1.11144037e-07
7.11077839e-01 3.21939721e-09 1.24286240e-07 1.11928056e-07
7.15915103e-01 3.24129757e-09 1.25171617e-07 1.12703195e-07
7.20752368e-01 3.26319845e-09 1.26036073e-07 1.13469388e-07
