#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
2.41863211e-03 -7.69954260e-13 5.84919251e-07 2.92628016e-07
4.83726421e-03 -3.07930425e-12 1.16966124e-06 5.85913768e-07
7.25589632e-03 -6.92817816e-12 1.75404902e-06 8.80512373e-07
9.67452842e-03 -1.23151658e-11 2.33790621e-06 1.17707375e-06
1.20931605e-02 -1.92392417e-11 2.92105733e-06 1.47624011e-06
1.45117926e-02 -2.76986109e-11 3.50332810e-06 1.77864361e-06
1.69304247e-02 -3.76917352e-11 4.08454573e-06 2.08490407e-06
1.93490568e-02 -4.92157942e-11 4.66453920e-06 2.39562695e-06
2.17676890e-02 -6.22679675e-11 5.24313959e-06 2.71140153e-06
2.41863211e-02 -7.68459477e-11 5.82018038e-06 3.03279922e-06
2.66049532e-02 -9.29465296e-11 6.39549776e-06 3.36037218e-06
2.90235853e-02 -1.10564714e-10 6.96893091e-06 3.69465217e-06
3.14422174e-02 -1.29697808e-10 7.54032236e-06 4.03614961e-06
3.38608495e-02 -1.50340556e-10 8.10951826e-06 4.38535284e-06
3.62794816e-02 -1.72488215e-10 8.67636872e-06 4.74272770e-06
3.86981137e-02 -1.96135784e-10 9.24072814e-06 5.10871718e-06
4.11167458e-02 -2.21278265e-10 9.80245550e-06 5.48374141e-06
4.35353779e-02 -2.47908862e-10 1.03614147e-05 5.86819765e-06
4.59540100e-02 -2.76022577e-10 1.09174750e-05 6.26246060e-06
4.83726421e-02 -3.05611716e-10 1.14705111e-05 6.66688274e-06
5.07912742e-02 -3.36670641e-10 1.20204038e-05 7.08179482e-06
5.32099063e-02 -3.69190888e-10 1.25670401e-05 7.50750643e-06
5.56285384e-02 -4.03166434e-10 1.31103136e-05 7.94430665e-06
5.80471705e-02 -4.38587663e-10 1.36501249e-05 8.39246478e-06
6.04658027e-02 -4.75448165e-10 1.41863822e-05 8.85223110e-06
6.28844348e-02 -5.13738455e-10 1.47190010e-05 9.32383764e-06
6.53030669e-02 -5.53449173e-10 1.52479051e-05 9.80749900e-06
6.77216990e-02 -5.94571730e-10 1.57730269e-05 1.03034132e-05
7.01403311e-02 -6.37097024e-10 1.62943073e-05 1.08117623e-05
