#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	2968	9.96039836e-11	0.0103	4.7555
2	2968	9.96039836e-11	0.0034	2.3810
3	2968	9.96039836e-11	0.0026	1.6195
4	2968	9.96039836e-11	0.0018	1.2409
5	2968	9.96039836e-11	0.0015	0.9867
6	2968	9.96039836e-11	0.0013	0.8258
7	2968	9.96039836e-11	0.0012	0.7234
8	2968	9.96039836e-11	0.0011	0.6226
9	2968	9.96039836e-11	0.0022	1.3729
10	2968	9.96039836e-11	0.0016	1.2397
