#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	62	9.70382627e-11	0.0002	0.0007
2	62	9.70382627e-11	0.0003	0.0010
3	62	9.70382627e-11	0.0002	0.0004
4	62	9.70382627e-11	0.0002	0.0002
5	62	9.70382627e-11	0.0001	0.0003
6	62	9.70382627e-11	0.0001	0.0003
7	62	9.70382627e-11	0.0001	0.0003
8	62	9.70382627e-11	0.0001	0.0004
9	62	9.70382627e-11	0.0018	0.0055
10	62	9.70382627e-11	0.0002	0.0063
