#N_threads	Iterations	Error	Preparation_Time(s)    	Calculation_Time(s)
1	9279	4.98862844e-09	0.0966	333.5085
2	9279	4.98862844e-09	0.0395	169.5411
3	9279	4.98862844e-09	0.0270	114.7400
4	9279	4.98862844e-09	0.0203	93.1779
5	9279	4.98862844e-09	0.0177	78.9697
6	9279	4.98862844e-09	0.0152	72.2680
7	9279	4.98862844e-09	0.0148	66.7454
8	9279	4.98862844e-09	0.0130	66.6878
9	9279	4.98862844e-09	0.0222	103.5443
10	9279	4.98862844e-09	0.0195	94.5927
