#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	1248	9.84009573e-11	0.0046	0.5026
2	1248	9.84009573e-11	0.0010	0.2508
3	1248	9.84009573e-11	0.0007	0.1726
4	1248	9.84009573e-11	0.0006	0.1303
5	1248	9.84009573e-11	0.0005	0.1056
6	1248	9.84009573e-11	0.0004	0.0892
7	1248	9.84009573e-11	0.0004	0.0773
8	1248	9.84009573e-11	0.0004	0.0696
9	1248	9.84009573e-11	0.0010	0.2100
10	1248	9.84009573e-11	0.0005	0.2597
