#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	268	9.24007079e-11	0.0008	0.0078
2	268	9.24007079e-11	0.0003	0.0037
3	268	9.24007079e-11	0.0003	0.0028
4	268	9.24007079e-11	0.0003	0.0025
5	268	9.24007079e-11	0.0002	0.0021
6	268	9.24007079e-11	0.0002	0.0020
7	268	9.24007079e-11	0.0002	0.0020
8	268	9.24007079e-11	0.0002	0.0022
9	268	9.24007079e-11	0.0006	0.0220
10	268	9.24007079e-11	0.0003	0.0225
