#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	588	9.90085726e-11	0.0023	0.0586
2	588	9.90085726e-11	0.0007	0.0305
3	588	9.90085726e-11	0.0006	0.0214
4	588	9.90085726e-11	0.0006	0.0167
5	588	9.90085726e-11	0.0005	0.0135
6	588	9.90085726e-11	0.0005	0.0117
7	588	9.90085726e-11	0.0005	0.0105
8	588	9.90085726e-11	0.0005	0.0099
9	588	9.90085726e-11	0.0009	0.0583
10	588	9.90085726e-11	0.0006	0.0620
