#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	31	6.10035179e-11	0.0002	0.0002
2	31	6.10035179e-11	0.0003	0.0004
3	31	6.10035179e-11	0.0003	0.0005
4	31	6.10035179e-11	0.0003	0.0006
5	31	6.10035179e-11	0.0002	0.0001
6	31	6.10035179e-11	0.0002	0.0001
7	31	6.10035179e-11	0.0002	0.0001
8	31	6.10035179e-11	0.0002	0.0001
9	31	6.10035179e-11	0.0028	0.0026
10	31	6.10035179e-11	0.0002	0.0026
