#N_threads	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
1	125	5.90257587e-11	0.0003	0.0029
2	125	5.90257587e-11	0.0002	0.0006
3	125	5.90257587e-11	0.0002	0.0006
4	125	5.90257587e-11	0.0002	0.0006
5	125	5.90257587e-11	0.0002	0.0005
6	125	5.90257587e-11	0.0001	0.0006
7	125	5.90257587e-11	0.0002	0.0007
8	125	5.90257587e-11	0.0002	0.0008
9	125	5.90257587e-11	0.0010	0.0104
10	125	5.90257587e-11	0.0002	0.0126
