#N_threads	Iterations	Error	Preparation_Time(s)    	Calculation_Time(s)
1	4908	4.99765076e-10	0.0267	43.9759
2	4908	4.99765076e-10	0.0103	22.1130
3	4908	4.99765076e-10	0.0073	15.0397
4	4908	4.99765076e-10	0.0055	11.2713
5	4908	4.99765076e-10	0.0044	9.4257
6	4908	4.99765076e-10	0.0041	8.7117
7	4908	4.99765076e-10	0.0037	7.7505
8	4908	4.99765076e-10	0.0033	7.2257
9	4908	4.99765076e-10	0.0061	13.8830
10	4908	4.99765076e-10	0.0053	13.0961
