#Omega	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
0.5000	6642	9.98936621e-11	0.0003	0.0400
0.5025	6598	9.99314231e-11	0.0003	0.0404
0.5050	6555	9.97736366e-11	0.0003	0.0434
0.5075	6512	9.97645390e-11	0.0003	0.0388
0.5100	6469	9.99038695e-11	0.0003	0.0397
0.5125	6427	9.98365681e-11	0.0003	0.0393
0.5150	6385	9.99162751e-11	0.0003	0.0396
0.5175	6344	9.97834087e-11	0.0003	0.0385
0.5200	6303	9.97921821e-11	0.0003	0.0383
0.5225	6262	9.99429706e-11	0.0003	0.0385
0.5250	6222	9.98742429e-11	0.0003	0.0407
0.5275	6182	9.99435823e-11	0.0003	0.0382
0.5300	6143	9.97837199e-11	0.0003	0.0379
0.5325	6104	9.97594420e-11	0.0003	0.0368
0.5350	6065	9.98712030e-11	0.0003	0.0378
0.5375	6027	9.97449714e-11	0.0003	0.0386
0.5400	5989	9.97507448e-11	0.0003	0.0380
0.5425	5951	9.98905991e-11	0.0003	0.0365
0.5450	5914	9.97819896e-11	0.0003	0.0363
0.5475	5877	9.98036553e-11	0.0003	0.0381
0.5500	5840	9.99565231e-11	0.0003	0.0359
0.5525	5804	9.98487503e-11	0.0003	0.0350
0.5550	5768	9.98695609e-11	0.0003	0.0349
0.5575	5733	9.96225197e-11	0.0003	0.0373
0.5600	5697	9.98979521e-11	0.0003	0.0340
0.5625	5662	9.99033725e-11	0.0003	0.0342
0.5650	5628	9.96285012e-11	0.0003	0.0339
0.5675	5593	9.98809775e-11	0.0003	0.0372
0.5700	5559	9.98515809e-11	0.0003	0.0398
0.5725	5525	9.99439398e-11	0.0003	0.0389
0.5750	5492	9.97473925e-11	0.0003	0.0374
0.5775	5459	9.96685525e-11	0.0003	0.0361
0.5800	5426	9.97079872e-11	0.0003	0.0378
0.5825	5393	9.98689483e-11	0.0003	0.0373
0.5850	5361	9.97256513e-11	0.0003	0.0395
0.5875	5329	9.96985780e-11	0.0003	0.0384
0.5900	5297	9.97865839e-11	0.0003	0.0380
0.5925	5265	9.99926000e-11	0.0003	0.0371
0.5950	5234	9.98819633e-11	0.0003	0.0376
0.5975	5203	9.98860974e-11	0.0003	0.0353
0.6000	5173	9.95640913e-11	0.0003	0.0362
0.6025	5142	9.97919774e-11	0.0003	0.0366
0.6050	5112	9.96904537e-11	0.0003	0.0375
0.6075	5082	9.97009507e-11	0.0003	0.0346
0.6100	5052	9.98208594e-11	0.0003	0.0345
0.6125	5023	9.96004653e-11	0.0003	0.0342
0.6150	4993	9.99422592e-11	0.0003	0.0325
0.6175	4964	9.99390342e-11	0.0003	0.0353
0.6200	4936	9.95814430e-11	0.0003	0.0343
0.6225	4907	9.97926530e-11	0.0003	0.0339
0.6250	4879	9.96482295e-11	0.0003	0.0335
0.6275	4851	9.96039104e-11	0.0003	0.0331
0.6300	4823	9.96678493e-11	0.0003	0.0337
0.6325	4795	9.98342120e-11	0.0003	0.0334
0.6350	4768	9.96317913e-11	0.0003	0.0332
0.6375	4741	9.95309218e-11	0.0003	0.0332
0.6400	4714	9.95313371e-11	0.0003	0.0338
0.6425	4687	9.96339808e-11	0.0003	0.0351
0.6450	4660	9.98380199e-11	0.0003	0.0314
0.6475	4634	9.96575427e-11	0.0003	0.0303
0.6500	4608	9.95732763e-11	0.0003	0.0302
0.6525	4582	9.95878263e-11	0.0003	0.0294
0.6550	4556	9.97010380e-11	0.0003	0.0328
0.6575	4530	9.99157895e-11	0.0003	0.0341
0.6600	4505	9.97259924e-11	0.0003	0.0309
0.6625	4480	9.96332101e-11	0.0003	0.0323
0.6650	4455	9.96330978e-11	0.0003	0.0319
0.6675	4430	9.97321665e-11	0.0003	0.0321
0.6700	4405	9.99270513e-11	0.0003	0.0318
0.6725	4381	9.97001807e-11	0.0003	0.0304
0.6750	4357	9.95668176e-11	0.0003	0.0304
0.6775	4333	9.95248422e-11	0.0003	0.0289
