#Omega	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
0.5000	27400	9.99755822e-11	0.0006	0.2200
0.5025	27219	9.99801611e-11	0.0006	0.2154
0.5050	27040	9.99639888e-11	0.0006	0.2140
0.5075	26863	9.99286462e-11	0.0006	0.2119
0.5100	26687	9.99570552e-11	0.0006	0.2150
0.5125	26513	9.99609223e-11	0.0006	0.2126
0.5150	26341	9.99390572e-11	0.0006	0.2108
0.5175	26170	9.99736224e-11	0.0006	0.2097
0.5200	26001	9.99778303e-11	0.0006	0.2055
0.5225	25834	9.99493601e-11	0.0006	0.2094
0.5250	25668	9.99738352e-11	0.0006	0.2058
0.5275	25504	9.99588218e-11	0.0006	0.2029
0.5300	25341	9.99958692e-11	0.0006	0.2027
0.5325	25180	9.99893845e-11	0.0006	0.2009
0.5350	25021	9.99372940e-11	0.0006	0.2019
0.5375	24863	9.99307877e-11	0.0006	0.1981
0.5400	24706	9.99673553e-11	0.0006	0.1952
0.5425	24551	9.99488497e-11	0.0006	0.1966
0.5450	24397	9.99731500e-11	0.0006	0.1941
0.5475	24245	9.99468123e-11	0.0006	0.1953
0.5500	24094	9.99553281e-11	0.0006	0.1911
0.5525	23944	9.99903790e-11	0.0006	0.1891
0.5550	23796	9.99737076e-11	0.0006	0.1879
0.5575	23649	9.99836343e-11	0.0006	0.1865
0.5600	23504	9.99278476e-11	0.0006	0.1881
0.5625	23360	9.99069107e-11	0.0006	0.1834
0.5650	23217	9.99055706e-11	0.0006	0.1845
0.5675	23075	9.99283179e-11	0.0006	0.1837
0.5700	22934	9.99793244e-11	0.0006	0.1828
0.5725	22795	9.99565287e-11	0.0006	0.1909
0.5750	22657	9.99517890e-11	0.0006	0.1831
0.5775	22520	9.99682937e-11	0.0006	0.1776
0.5800	22385	9.98999590e-11	0.0006	0.1761
0.5825	22250	9.99550706e-11	0.0006	0.1777
0.5850	22117	9.99200714e-11	0.0006	0.1743
0.5875	21985	9.99035406e-11	0.0006	0.1764
0.5900	21853	9.99971254e-11	0.0006	0.1730
0.5925	21723	9.99984742e-11	0.0006	0.1732
0.5950	21595	9.99103296e-11	0.0006	0.1702
0.5975	21467	9.99321888e-11	0.0006	0.1710
0.6000	21340	9.99608339e-11	0.0006	0.1695
0.6025	21214	9.99993934e-11	0.0006	0.1721
0.6050	21090	9.99323363e-11	0.0006	0.1690
0.6075	20966	9.99765015e-11	0.0006	0.1676
0.6100	20844	9.99151745e-11	0.0006	0.1644
0.6125	20722	9.99622336e-11	0.0006	0.1736
0.6150	20602	9.98961062e-11	0.0006	0.1732
0.6175	20482	9.99417325e-11	0.0006	0.1699
0.6200	20363	9.99835609e-11	0.0006	0.1616
0.6225	20246	9.99076715e-11	0.0006	0.1609
0.6250	20129	9.99488176e-11	0.0006	0.1626
0.6275	20013	9.99598759e-11	0.0006	0.1619
0.6300	19898	9.99756245e-11	0.0006	0.1587
0.6325	19784	9.99802529e-11	0.0006	0.1626
0.6350	19671	9.99741010e-11	0.0006	0.1580
0.6375	19559	9.99543079e-11	0.0006	0.1567
0.6400	19448	9.99180668e-11	0.0006	0.1544
0.6425	19337	9.99877659e-11	0.0006	0.1563
0.6450	19228	9.99217724e-11	0.0006	0.1545
0.6475	19119	9.99544534e-11	0.0006	0.1540
0.6500	19011	9.99688565e-11	0.0006	0.1549
0.6525	18904	9.99597934e-11	0.0006	0.1525
0.6550	18798	9.99337328e-11	0.0006	0.1505
0.6575	18693	9.98834164e-11	0.0006	0.1485
0.6600	18588	9.99308955e-11	0.0006	0.1574
0.6625	18484	9.99525973e-11	0.0006	0.1765
0.6650	18381	9.99480533e-11	0.0006	0.1800
0.6675	18279	9.99148536e-11	0.0006	0.1752
0.6700	18177	9.99777259e-11	0.0006	0.1734
0.6725	18077	9.98861902e-11	0.0006	0.1707
0.6750	17977	9.98867486e-11	0.0006	0.1769
0.6775	17877	9.99805185e-11	0.0006	0.1722
0.6800	17779	9.99135870e-11	0.0006	0.1815
0.6825	17681	9.99395955e-11	0.0006	0.1687
0.6850	17584	9.99285370e-11	0.0006	0.1666
0.6875	17488	9.98863875e-11	0.0006	0.1679
0.6900	17392	9.99252990e-11	0.0006	0.1668
0.6925	17297	9.99301130e-11	0.0006	0.1775
0.6950	17203	9.98883819e-11	0.0006	0.1666
0.6975	17109	9.99454179e-11	0.0006	0.1649
0.7000	17016	9.99552869e-11	0.0006	0.1623
0.7025	16924	9.99149302e-11	0.0006	0.1779
0.7050	16832	9.99684969e-11	0.0006	0.1604
0.7075	16741	9.99712659e-11	0.0006	0.1582
0.7100	16651	9.99240761e-11	0.0006	0.1647
0.7125	16561	9.99698725e-11	0.0006	0.1571
0.7150	16472	9.99607033e-11	0.0006	0.1585
0.7175	16384	9.99006853e-11	0.0006	0.1545
0.7200	16296	9.99263793e-11	0.0006	0.1540
0.7225	16209	9.98966447e-11	0.0006	0.1523
0.7250	16122	9.99536955e-11	0.0006	0.1548
0.7275	16036	9.99515951e-11	0.0006	0.1509
0.7300	15951	9.98918063e-11	0.0006	0.1503
0.7325	15866	9.99157463e-11	0.0006	0.1484
0.7350	15782	9.98772806e-11	0.0006	0.1487
0.7375	15698	9.99287410e-11	0.0006	0.1472
0.7400	15615	9.99115783e-11	0.0006	0.1469
0.7425	15532	9.99777220e-11	0.0006	0.1495
0.7450	15450	9.99769074e-11	0.0006	0.1449
0.7475	15369	9.99156224e-11	0.0006	0.1459
0.7500	15288	9.99417759e-11	0.0006	0.1435
0.7525	15208	9.98741628e-11	0.0006	0.1473
0.7550	15128	9.99042931e-11	0.0006	0.1458
0.7575	15049	9.98590581e-11	0.0006	0.1424
0.7600	14970	9.98929775e-11	0.0006	0.1476
0.7625	14892	9.98561736e-11	0.0006	0.1406
0.7650	14814	9.98950151e-11	0.0006	0.1400
0.7675	14737	9.98563702e-11	0.0006	0.1420
0.7700	14660	9.99026186e-11	0.0006	0.1406
0.7725	14584	9.98626683e-11	0.0006	0.1383
0.7750	14508	9.99066301e-11	0.0006	0.1369
0.7775	14433	9.98661544e-11	0.0006	0.1453
0.7800	14358	9.99056204e-11	0.0006	0.1375
0.7825	14284	9.98621463e-11	0.0006	0.1349
0.7850	14210	9.98896377e-11	0.0006	0.1342
0.7875	14136	9.99988598e-11	0.0006	0.1353
0.7900	14064	9.98628973e-11	0.0006	0.1338
0.7925	13991	9.99562409e-11	0.0006	0.1319
0.7950	13919	9.99678433e-11	0.0006	0.1345
0.7975	13848	9.98839268e-11	0.0006	0.1316
0.8000	13777	9.98737182e-11	0.0006	0.1328
0.8025	13706	9.99420425e-11	0.0006	0.1299
0.8050	13636	9.99132758e-11	0.0006	0.1277
0.8075	13566	9.99583438e-11	0.0006	0.1311
0.8100	13497	9.99087719e-11	0.0006	0.1278
0.8125	13428	9.99360437e-11	0.0006	0.1269
0.8150	13360	9.98581975e-11	0.0006	0.1288
0.8175	13292	9.98538054e-11	0.0006	0.1265
0.8200	13224	9.99203187e-11	0.0006	0.1290
0.8225	13157	9.98853346e-11	0.0006	0.1239
0.8250	13090	9.99249506e-11	0.0006	0.1235
0.8275	13024	9.98541683e-11	0.0006	0.1234
0.8300	12958	9.98604627e-11	0.0006	0.1220
0.8325	12892	9.99338414e-11	0.0006	0.1236
0.8350	12827	9.99019441e-11	0.0006	0.1278
0.8375	12762	9.99350784e-11	0.0006	0.1224
0.8400	12698	9.98657631e-11	0.0006	0.1216
0.8425	12634	9.98614894e-11	0.0006	0.1191
0.8450	12570	9.99231186e-11	0.0006	0.1187
0.8475	12507	9.98747373e-11	0.0006	0.1221
0.8500	12444	9.98959240e-11	0.0006	0.1182
0.8525	12381	9.99810568e-11	0.0006	0.1172
0.8550	12319	9.99511616e-11	0.0006	0.1202
0.8575	12257	9.99893919e-11	0.0006	0.1160
0.8600	12196	9.99090485e-11	0.0006	0.1159
0.8625	12135	9.98960013e-11	0.0006	0.1157
0.8650	12074	9.99475796e-11	0.0006	0.1141
0.8675	12014	9.98753578e-11	0.0006	0.1143
0.8700	11954	9.98746170e-11	0.0006	0.1128
0.8725	11894	9.99358839e-11	0.0006	0.1115
0.8750	11835	9.98761933e-11	0.0006	0.1109
0.8775	11776	9.98669195e-11	0.0006	0.1134
0.8800	11717	9.99359780e-11	0.0006	0.1103
0.8825	11659	9.98692102e-11	0.0006	0.1103
0.8850	11601	9.98743225e-11	0.0006	0.1091
0.8875	11543	9.99403863e-11	0.0006	0.1077
0.8900	11486	9.98695109e-11	0.0006	0.1071
0.8925	11429	9.98635644e-11	0.0006	0.1099
0.8950	11372	9.99216100e-11	0.0006	0.1068
0.8975	11316	9.98440700e-11	0.0006	0.1056
0.9000	11260	9.98337615e-11	0.0006	0.1176
0.9025	11204	9.98758827e-11	0.0006	0.1055
0.9050	11148	9.99904192e-11	0.0006	0.1050
0.9075	11093	9.99619413e-11	0.0006	0.1041
0.9100	11038	9.99949038e-11	0.0006	0.1038
0.9125	10984	9.98838784e-11	0.0006	0.1036
0.9150	10930	9.98347444e-11	0.0006	0.1033
0.9175	10876	9.98432495e-11	0.0006	0.1028
0.9200	10822	9.99152017e-11	0.0006	0.1019
0.9225	10769	9.98399556e-11	0.0006	0.1068
0.9250	10716	9.98250720e-11	0.0006	0.1012
