#Omega	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
0.5000	448616	9.99960590e-11	0.0006	32.7751
0.5025	445658	9.99844661e-11	0.0006	34.7684
0.5050	442724	9.99969241e-11	0.0006	34.6129
0.5075	439810	9.99982060e-11	0.0006	34.3555
0.5100	436941	9.99957041e-11	0.0006	35.1743
0.5125	434093	9.99961716e-11	0.0006	36.8202
0.5150	431269	9.99970659e-11	0.0006	33.7416
0.5175	428475	9.99959146e-11	0.0006	34.7141
0.5200	425710	9.99977760e-11	0.0006	33.3051
0.5225	422971	9.99993793e-11	0.0006	35.6561
0.5250	420266	9.99905562e-11	0.0006	32.9392
0.5275	417571	9.99983087e-11	0.0006	32.6308
0.5300	414912	9.99928676e-11	0.0006	32.4594
0.5325	412274	9.99965021e-11	0.0006	32.2259
0.5350	409659	9.99979192e-11	0.0006	32.0055
0.5375	407075	9.99989828e-11	0.0006	31.7614
0.5400	404515	9.99879424e-11	0.0006	35.8382
0.5425	401968	9.99983249e-11	0.0006	31.4311
0.5450	399455	9.99933573e-11	0.0006	31.1677
0.5475	396958	9.99965455e-11	0.0006	31.0905
0.5500	394498	9.99919441e-11	0.0006	31.9400
0.5525	392039	9.99989535e-11	0.0006	30.7358
0.5550	389614	9.99970188e-11	0.0006	30.3591
0.5575	387209	9.99947315e-11	0.0006	30.2874
0.5600	384825	9.99960355e-11	0.0006	30.0839
0.5625	382475	9.99979611e-11	0.0006	29.9528
0.5650	380123	9.99970494e-11	0.0006	30.7342
0.5675	377803	9.99897803e-11	0.0006	29.5626
0.5700	375503	9.99990366e-11	0.0006	30.5089
0.5725	373223	9.99955724e-11	0.0006	29.2409
0.5750	370968	9.99950819e-11	0.0006	29.0325
0.5775	368725	9.99932061e-11	0.0006	28.8744
0.5800	366508	9.99960607e-11	0.0006	29.6873
0.5825	364302	9.99881843e-11	0.0006	28.6022
0.5850	362120	9.99874977e-11	0.0006	28.3516
0.5875	359957	9.99938863e-11	0.0006	28.2049
0.5900	357810	9.99989081e-11	0.0006	28.4369
0.5925	355681	9.99933757e-11	0.0006	27.8109
0.5950	353574	9.99964509e-11	0.0006	27.8004
0.5975	351481	9.99989658e-11	0.0006	27.5256
0.6000	349405	9.99995587e-11	0.0006	27.4356
0.6025	347351	9.99884465e-11	0.0006	27.1260
0.6050	345310	9.99993939e-11	0.0006	27.0496
0.6075	343287	9.99965697e-11	0.0006	26.8654
0.6100	341281	9.99957677e-11	0.0006	27.7198
0.6125	339291	9.99972964e-11	0.0006	26.5174
0.6150	337317	9.99918621e-11	0.0006	26.4118
0.6175	335358	9.99964689e-11	0.0006	27.1225
0.6200	333419	9.99963503e-11	0.0006	26.0774
0.6225	331490	9.99997074e-11	0.0006	25.9889
0.6250	329598	9.99901991e-11	0.0006	25.7205
0.6275	327685	9.99972654e-11	0.0006	25.6792
0.6300	325803	9.99996663e-11	0.0006	26.3942
0.6325	323937	9.99997673e-11	0.0006	25.4497
0.6350	322086	9.99969587e-11	0.0006	25.1777
0.6375	320253	9.99945958e-11	0.0006	25.1347
0.6400	318430	9.99904632e-11	0.0006	24.9259
0.6425	316622	9.99924825e-11	0.0007	24.7410
0.6450	314829	9.99995642e-11	0.0006	24.6462
0.6475	313049	9.99864915e-11	0.0006	24.4923
0.6500	311289	9.99971215e-11	0.0006	24.3696
