#Omega	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
0.5000	1561	9.87392203e-11	0.0003	0.0096
0.5025	1550	9.97097695e-11	0.0003	0.0079
0.5050	1540	9.93750854e-11	0.0003	0.0083
0.5075	1530	9.91866950e-11	0.0003	0.0104
0.5100	1520	9.91429412e-11	0.0003	0.0088
0.5125	1510	9.92456764e-11	0.0003	0.0081
0.5150	1500	9.94947429e-11	0.0003	0.0080
0.5175	1490	9.98931183e-11	0.0003	0.0080
0.5200	1481	9.89102896e-11	0.0003	0.0074
0.5225	1471	9.95938436e-11	0.0003	0.0084
0.5250	1462	9.88813376e-11	0.0003	0.0072
0.5275	1452	9.98564303e-11	0.0003	0.0085
0.5300	1443	9.94139632e-11	0.0003	0.0097
0.5325	1434	9.91038430e-11	0.0003	0.0086
0.5350	1425	9.89277129e-11	0.0003	0.0081
0.5375	1416	9.88845435e-11	0.0003	0.0081
0.5400	1407	9.89742643e-11	0.0003	0.0081
0.5425	1398	9.91990555e-11	0.0003	0.0075
0.5450	1389	9.95594994e-11	0.0003	0.0074
0.5475	1381	9.84204219e-11	0.0003	0.0076
0.5500	1372	9.90396286e-11	0.0003	0.0070
0.5525	1363	9.98005174e-11	0.0003	0.0078
0.5550	1355	9.90282409e-11	0.0003	0.0075
0.5575	1347	9.83786090e-11	0.0003	0.0087
0.5600	1338	9.95303079e-11	0.0003	0.0073
0.5625	1330	9.91247226e-11	0.0003	0.0072
0.5650	1322	9.88399976e-11	0.0003	0.0067
0.5675	1314	9.86755381e-11	0.0003	0.0089
0.5700	1306	9.86324700e-11	0.0003	0.0074
0.5725	1298	9.87098150e-11	0.0003	0.0101
0.5750	1290	9.89085218e-11	0.0003	0.0110
0.5775	1282	9.92312556e-11	0.0003	0.0089
0.5800	1274	9.96798640e-11	0.0003	0.0071
0.5825	1267	9.84669495e-11	0.0003	0.0070
0.5850	1259	9.91492460e-11	0.0003	0.0066
0.5875	1251	9.99626613e-11	0.0003	0.0086
0.5900	1244	9.90781924e-11	0.0003	0.0066
0.5925	1237	9.83072054e-11	0.0003	0.0081
0.5950	1229	9.94719206e-11	0.0003	0.0066
0.5975	1222	9.89185068e-11	0.0003	0.0077
0.6000	1215	9.84737587e-11	0.0003	0.0072
0.6025	1208	9.81373544e-11	0.0003	0.0079
0.6050	1200	9.97866032e-11	0.0003	0.0067
0.6075	1193	9.96734224e-11	0.0003	0.0078
0.6100	1186	9.96710587e-11	0.0003	0.0064
0.6125	1179	9.97778200e-11	0.0003	0.0067
0.6150	1172	9.99961380e-11	0.0003	0.0063
0.6175	1166	9.83834284e-11	0.0003	0.0067
0.6200	1159	9.88091754e-11	0.0003	0.0061
0.6225	1152	9.93485599e-11	0.0003	0.0060
0.6250	1146	9.80325650e-11	0.0003	0.0057
0.6275	1139	9.87801384e-11	0.0003	0.0065
0.6300	1132	9.96486614e-11	0.0003	0.0056
0.6325	1126	9.86224396e-11	0.0003	0.0061
0.6350	1119	9.97077634e-11	0.0003	0.0063
0.6375	1113	9.88745750e-11	0.0003	0.0057
0.6400	1107	9.81415910e-11	0.0003	0.0058
0.6425	1100	9.95476868e-11	0.0003	0.0065
0.6450	1094	9.90076912e-11	0.0003	0.0069
0.6475	1088	9.85640850e-11	0.0003	0.0075
0.6500	1082	9.82168206e-11	0.0003	0.0072
0.6525	1076	9.79638759e-11	0.0003	0.0068
0.6550	1069	9.99163672e-11	0.0003	0.0067
0.6575	1063	9.98662321e-11	0.0003	0.0068
0.6600	1057	9.99129670e-11	0.0003	0.0068
0.6625	1052	9.79101843e-11	0.0003	0.0062
0.6650	1046	9.81369337e-11	0.0003	0.0059
0.6675	1040	9.84634143e-11	0.0003	0.0066
