#Omega	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
0.5000	344	9.86681943e-11	0.0006	0.0015
0.5025	342	9.67337659e-11	0.0006	0.0016
0.5050	340	9.49565160e-11	0.0006	0.0017
0.5075	337	9.98697213e-11	0.0006	0.0015
0.5100	335	9.83277047e-11	0.0006	0.0015
0.5125	333	9.69334702e-11	0.0006	0.0015
0.5150	331	9.56818903e-11	0.0006	0.0016
0.5175	329	9.45680173e-11	0.0006	0.0015
0.5200	327	9.35887610e-11	0.0006	0.0015
0.5225	324	9.95111602e-11	0.0006	0.0014
0.5250	322	9.87841432e-11	0.0006	0.0015
0.5275	320	9.81920279e-11	0.0006	0.0014
0.5300	318	9.77324679e-11	0.0006	0.0014
0.5325	316	9.74055747e-11	0.0006	0.0014
0.5350	314	9.72097220e-11	0.0006	0.0014
0.5375	312	9.71447840e-11	0.0006	0.0014
0.5400	310	9.72117652e-11	0.0006	0.0014
0.5425	308	9.74114540e-11	0.0006	0.0015
0.5450	306	9.77454958e-11	0.0006	0.0021
0.5475	304	9.82152625e-11	0.0006	0.0014
0.5500	302	9.88244349e-11	0.0006	0.0014
0.5525	300	9.95757346e-11	0.0006	0.0014
0.5550	299	9.30629073e-11	0.0006	0.0014
0.5575	297	9.39879865e-11	0.0006	0.0014
0.5600	295	9.50567851e-11	0.0006	0.0014
0.5625	293	9.62740394e-11	0.0006	0.0014
0.5650	291	9.76466693e-11	0.0006	0.0017
0.5675	289	9.91812145e-11	0.0006	0.0013
0.5700	288	9.31700468e-11	0.0006	0.0014
0.5725	286	9.48610841e-11	0.0006	0.0019
0.5750	284	9.67243466e-11	0.0006	0.0013
0.5775	282	9.87681196e-11	0.0006	0.0013
0.5800	281	9.30942349e-11	0.0006	0.0013
0.5825	279	9.52947213e-11	0.0006	0.0013
0.5850	277	9.76931317e-11	0.0006	0.0013
0.5875	276	9.23061147e-11	0.0006	0.0013
0.5900	274	9.48653527e-11	0.0006	0.0012
0.5925	272	9.76432666e-11	0.0006	0.0012
0.5950	271	9.24891206e-11	0.0006	0.0018
0.5975	269	9.54383125e-11	0.0006	0.0012
0.6000	267	9.86333617e-11	0.0006	0.0012
0.6025	266	9.36644850e-11	0.0006	0.0013
0.6050	264	9.70500027e-11	0.0006	0.0012
0.6075	263	9.23032643e-11	0.0006	0.0012
0.6100	261	9.58884104e-11	0.0006	0.0012
0.6125	259	9.97700447e-11	0.0006	0.0012
0.6150	258	9.51392899e-11	0.0006	0.0012
0.6175	256	9.92527970e-11	0.0006	0.0012
0.6200	255	9.47972336e-11	0.0006	0.0012
0.6225	253	9.91608866e-11	0.0006	0.0012
0.6250	252	9.48628042e-11	0.0006	0.0011
0.6275	250	9.94982758e-11	0.0006	0.0012
0.6300	249	9.53407475e-11	0.0006	0.0011
0.6325	248	9.14080986e-11	0.0006	0.0011
0.6350	246	9.62431118e-11	0.0006	0.0012
0.6375	245	9.24267734e-11	0.0006	0.0011
0.6400	243	9.75862953e-11	0.0006	0.0011
0.6425	242	9.38747363e-11	0.0006	0.0011
0.6450	240	9.93940599e-11	0.0006	0.0011
0.6475	239	9.57773386e-11	0.0006	0.0011
0.6500	238	9.23460200e-11	0.0006	0.0011
0.6525	236	9.81656133e-11	0.0006	0.0011
0.6550	235	9.48134597e-11	0.0006	0.0011
0.6575	234	9.16304297e-11	0.0006	0.0011
0.6600	232	9.77999478e-11	0.0006	0.0010
0.6625	231	9.46841197e-11	0.0006	0.0010
0.6650	230	9.17233416e-11	0.0006	0.0011
0.6675	228	9.83029329e-11	0.0006	0.0010
0.6700	227	9.54009665e-11	0.0006	0.0010
0.6725	226	9.26419016e-11	0.0006	0.0010
0.6750	224	9.97039157e-11	0.0006	0.0011
0.6775	223	9.69984453e-11	0.0006	0.0010
0.6800	222	9.44260834e-11	0.0006	0.0010
0.6825	221	9.19803653e-11	0.0006	0.0010
0.6850	219	9.95367647e-11	0.0006	0.0010
0.6875	218	9.71415763e-11	0.0006	0.0010
0.6900	217	9.48658510e-11	0.0006	0.0010
0.6925	216	9.27039327e-11	0.0006	0.0010
0.6950	215	9.06511570e-11	0.0006	0.0011
0.6975	213	9.87753603e-11	0.0006	0.0010
0.7000	212	9.67754091e-11	0.0006	0.0010
0.7025	211	9.48794603e-11	0.0006	0.0010
0.7050	210	9.30841365e-11	0.0006	0.0010
0.7075	209	9.13847151e-11	0.0006	0.0010
0.7100	208	8.97778266e-11	0.0006	0.0010
0.7125	206	9.86471959e-11	0.0006	0.0010
0.7150	205	9.71072905e-11	0.0006	0.0010
0.7175	204	9.56584834e-11	0.0006	0.0010
0.7200	203	9.42974773e-11	0.0006	0.0009
0.7225	202	9.30224534e-11	0.0006	0.0009
0.7250	201	9.18292085e-11	0.0006	0.0009
0.7275	200	9.07168270e-11	0.0006	0.0009
0.7300	199	8.96827266e-11	0.0006	0.0009
0.7325	197	9.96723302e-11	0.0006	0.0010
0.7350	196	9.87438748e-11	0.0006	0.0009
0.7375	195	9.78961333e-11	0.0006	0.0009
0.7400	194	9.71280193e-11	0.0006	0.0009
