#	Time	Error_of_Energy
6.04658027e-04 2.56395025e-16
1.20931605e-03 -2.56395025e-16
1.81397408e-03 -1.28197512e-15
2.41863211e-03 -2.05116020e-15
3.02329013e-03 -4.35871542e-15
3.62794816e-03 -6.40987562e-15
4.23260619e-03 -8.20464080e-15
4.83726421e-03 -1.12813811e-14
5.44192224e-03 -1.47427139e-14
6.04658027e-03 -1.82040468e-14
6.65123829e-03 -2.21781696e-14
7.25589632e-03 -2.65368851e-14
7.86055435e-03 -3.10237980e-14
8.46521237e-03 -3.62798960e-14
9.06987040e-03 -4.15359940e-14
9.67452842e-03 -4.70484871e-14
1.02791865e-02 -5.33301652e-14
1.08838445e-02 -5.99964358e-14
1.14885025e-02 -6.74318915e-14
1.20931605e-02 -7.43545572e-14
1.26978186e-02 -8.28155930e-14
1.33024766e-02 -9.06356413e-14
1.39071346e-02 -9.88402821e-14
1.45117926e-02 -1.08070503e-13
1.51164507e-02 -1.17428921e-13
1.57211087e-02 -1.26530945e-13
1.63257667e-02 -1.36914943e-13
1.69304247e-02 -1.46657954e-13
1.75350828e-02 -1.57939335e-13
1.81397408e-02 -1.68323334e-13
1.87443988e-02 -1.79989307e-13
1.93490568e-02 -1.91783479e-13
1.99537149e-02 -2.04346835e-13
2.05583729e-02 -2.17166586e-13
2.11630309e-02 -2.30370930e-13
2.17676890e-02 -2.42934286e-13
2.23723470e-02 -2.56907815e-13
2.29770050e-02 -2.70624949e-13
2.35816630e-02 -2.85367663e-13
2.41863211e-02 -3.00110377e-13
2.47909791e-02 -3.15365881e-13
2.53956371e-02 -3.30749582e-13
2.60002951e-02 -3.47158864e-13
2.66049532e-02 -3.63568145e-13
2.72096112e-02 -3.80233822e-13
2.78142692e-02 -3.97155893e-13
2.84189272e-02 -4.14590755e-13
2.90235853e-02 -4.31897419e-13
2.96282433e-02 -4.50486059e-13
3.02329013e-02 -4.68690105e-13
3.08375594e-02 -4.87535140e-13
3.14422174e-02 -5.06508372e-13
3.20468754e-02 -5.26122591e-13
3.26515334e-02 -5.46377798e-13
3.32561915e-02 -5.66120215e-13
3.38608495e-02 -5.86888212e-13
3.44655075e-02 -6.08040801e-13
3.50701655e-02 -6.29706181e-13
3.56748236e-02 -6.51499758e-13
3.62794816e-02 -6.73677928e-13
3.68841396e-02 -6.96112492e-13
3.74887976e-02 -7.18675255e-13
3.80934557e-02 -7.42007202e-13
3.86981137e-02 -7.65723742e-13
3.93027717e-02 -7.89696677e-13
3.99074298e-02 -8.14310599e-13
4.05120878e-02 -8.38796324e-13
4.11167458e-02 -8.64051234e-13
4.17214038e-02 -8.89177946e-13
4.23260619e-02 -9.15458436e-13
4.29307199e-02 -9.41226136e-13
4.35353779e-02 -9.67634824e-13
4.41400359e-02 -9.94428104e-13
4.47446940e-02 -1.02263156e-12
4.53493520e-02 -1.04968123e-12
4.59540100e-02 -1.07775649e-12
4.65586680e-02 -1.10608814e-12
4.71633261e-02 -1.13454798e-12
4.77679841e-02 -1.16377702e-12
4.83726421e-02 -1.19377524e-12
4.89773002e-02 -1.22351706e-12
4.95819582e-02 -1.25351528e-12
5.01866162e-02 -1.28376989e-12
5.07912742e-02 -1.31492188e-12
5.13959323e-02 -1.34607388e-12
5.20005903e-02 -1.37735407e-12
5.26052483e-02 -1.40901886e-12
5.32099063e-02 -1.44132463e-12
5.38145644e-02 -1.47427139e-12
5.44192224e-02 -1.50708996e-12
5.50238804e-02 -1.54016491e-12
5.56285384e-02 -1.57400906e-12
5.62331965e-02 -1.60810960e-12
5.68378545e-02 -1.64272292e-12
5.74425125e-02 -1.67669527e-12
5.80471705e-02 -1.71182138e-12
5.86518286e-02 -1.74771669e-12
5.92564866e-02 -1.78322740e-12
5.98611446e-02 -1.81925090e-12
6.04658027e-02 -1.85565899e-12
6.10704607e-02 -1.89257988e-12
6.16751187e-02 -1.92988535e-12
6.22797767e-02 -1.96757542e-12
6.28844348e-02 -2.00526549e-12
6.34890928e-02 -2.04321195e-12
6.40937508e-02 -2.08231219e-12
6.46984088e-02 -2.12115604e-12
6.53030669e-02 -2.16012808e-12
6.59077249e-02 -2.19974112e-12
6.65123829e-02 -2.23999513e-12
6.71170409e-02 -2.28012096e-12
6.77216990e-02 -2.32127236e-12
6.83263570e-02 -2.36165457e-12
6.89310150e-02 -2.40319057e-12
6.95356731e-02 -2.44472656e-12
7.01403311e-02 -2.48703174e-12
7.07449891e-02 -2.52920872e-12
7.13496471e-02 -2.57215489e-12
7.19543052e-02 -2.61522925e-12
7.25589632e-02 -2.65856001e-12
7.31636212e-02 -2.70214717e-12
7.37682792e-02 -2.74624711e-12
7.43729373e-02 -2.79021886e-12
7.49775953e-02 -2.83521618e-12
7.55822533e-02 -2.88046991e-12
7.61869113e-02 -2.92610822e-12
7.67915694e-02 -2.97187473e-12
7.73962274e-02 -3.01776944e-12
7.80008854e-02 -3.06417694e-12
7.86055435e-02 -3.11084084e-12
7.92102015e-02 -3.15801752e-12
7.98148595e-02 -3.20545060e-12
8.04195175e-02 -3.25314008e-12
8.10241756e-02 -3.30108594e-12
8.16288336e-02 -3.34928821e-12
8.22334916e-02 -3.39800326e-12
8.28381496e-02 -3.44735931e-12
8.34428077e-02 -3.49671535e-12
8.40474657e-02 -3.54568680e-12
8.46521237e-02 -3.59619662e-12
8.52567817e-02 -3.64632185e-12
8.58614398e-02 -3.69695986e-12
8.64660978e-02 -3.74785428e-12
8.70707558e-02 -3.79913328e-12
8.76754138e-02 -3.85079688e-12
8.82800719e-02 -3.90297327e-12
8.88847299e-02 -3.95476506e-12
8.94893879e-02 -4.00706965e-12
9.00940460e-02 -4.06027161e-12
9.06987040e-02 -4.11360178e-12
9.13033620e-02 -4.16693194e-12
9.19080200e-02 -4.22090310e-12
9.25126781e-02 -4.27487425e-12
9.31173361e-02 -4.32961459e-12
9.37219941e-02 -4.38448312e-12
9.43266521e-02 -4.43973625e-12
9.49313102e-02 -4.49511758e-12
