#	Time	Error_of_Energy
9.54929659e-03 6.70344447e-09
1.90985932e-02 1.89373783e-08
2.86478898e-02 3.60540675e-08
3.81971863e-02 5.70936920e-08
4.77464829e-02 8.09003364e-08
5.72957795e-02 1.06251498e-07
6.68450761e-02 1.31979314e-07
7.63943727e-02 1.57066655e-07
8.59436693e-02 1.80708565e-07
9.54929659e-02 2.02337683e-07
1.05042262e-01 2.21618500e-07
1.14591559e-01 2.38419098e-07
1.24140856e-01 2.52770062e-07
1.33690152e-01 2.64819243e-07
1.43239449e-01 2.74788904e-07
1.52788745e-01 2.82939284e-07
1.62338042e-01 2.89540367e-07
1.71887339e-01 2.94851976e-07
1.81436635e-01 2.99111266e-07
1.90985932e-01 3.02526173e-07
2.00535228e-01 3.05273250e-07
2.10084525e-01 3.07498478e-07
2.19633821e-01 3.09319864e-07
2.29183118e-01 3.10830958e-07
2.38732415e-01 3.12104651e-07
2.48281711e-01 3.13196874e-07
2.57831008e-01 3.14149950e-07
2.67380304e-01 3.14995503e-07
2.76929601e-01 3.15756910e-07
2.86478898e-01 3.16451265e-07
2.96028194e-01 3.17090991e-07
3.05577491e-01 3.17685053e-07
3.15126787e-01 3.18239916e-07
3.24676084e-01 3.18760258e-07
3.34225380e-01 3.19249503e-07
3.43774677e-01 3.19710206e-07
3.53323974e-01 3.20144337e-07
3.62873270e-01 3.20553472e-07
3.72422567e-01 3.20938940e-07
3.81971863e-01 3.21301905e-07
3.91521160e-01 3.21643437e-07
4.01070457e-01 3.21964541e-07
4.10619753e-01 3.22266193e-07
4.20169050e-01 3.22549334e-07
4.29718346e-01 3.22814894e-07
4.39267643e-01 3.23063782e-07
4.48816940e-01 3.23296891e-07
4.58366236e-01 3.23515094e-07
4.67915533e-01 3.23719238e-07
4.77464829e-01 3.23910143e-07
4.87014126e-01 3.24088606e-07
4.96563422e-01 3.24255387e-07
5.06112719e-01 3.24411215e-07
5.15662016e-01 3.24556785e-07
5.25211312e-01 3.24692760e-07
5.34760609e-01 3.24819763e-07
5.44309905e-01 3.24938386e-07
5.53859202e-01 3.25049189e-07
5.63408499e-01 3.25152695e-07
5.72957795e-01 3.25249396e-07
5.82507092e-01 3.25339756e-07
5.92056388e-01 3.25424206e-07
6.01605685e-01 3.25503151e-07
6.11154981e-01 3.25576968e-07
6.20704278e-01 3.25646007e-07
6.30253575e-01 3.25710600e-07
6.39802871e-01 3.25771048e-07
6.49352168e-01 3.25827639e-07
6.58901464e-01 3.25880637e-07
6.68450761e-01 3.25930286e-07
6.78000058e-01 3.25976815e-07
6.87549354e-01 3.26020438e-07
6.97098651e-01 3.26061351e-07
7.06647947e-01 3.26099740e-07
7.16197244e-01 3.26135772e-07
7.25746540e-01 3.26169608e-07
7.35295837e-01 3.26201394e-07
7.44845134e-01 3.26231266e-07
7.54394430e-01 3.26259352e-07
7.63943727e-01 3.26285769e-07
7.73493023e-01 3.26310628e-07
7.83042320e-01 3.26334029e-07
7.92591617e-01 3.26356069e-07
8.02140913e-01 3.26376835e-07
8.11690210e-01 3.26396409e-07
8.21239506e-01 3.26414866e-07
8.30788803e-01 3.26432279e-07
8.40338100e-01 3.26448713e-07
8.49887396e-01 3.26464231e-07
8.59436693e-01 3.26478888e-07
8.68985989e-01 3.26492739e-07
8.78535286e-01 3.26505833e-07
8.88084582e-01 3.26518216e-07
8.97633879e-01 3.26529933e-07
9.07183176e-01 3.26541023e-07
9.16732472e-01 3.26551523e-07
9.26281769e-01 3.26561471e-07
9.35831065e-01 3.26570898e-07
9.45380362e-01 3.26579835e-07
9.54929659e-01 3.26588311e-07
9.64478955e-01 3.26596352e-07
9.74028252e-01 3.26603985e-07
9.83577548e-01 3.26611232e-07
9.93126845e-01 3.26618117e-07
1.00267614e+00 3.26624657e-07
1.01222544e+00 3.26630874e-07
1.02177473e+00 3.26636786e-07
1.03132403e+00 3.26642410e-07
1.04087333e+00 3.26647762e-07
1.05042262e+00 3.26652857e-07
1.05997192e+00 3.26657708e-07
1.06952122e+00 3.26662329e-07
1.07907051e+00 3.26666731e-07
1.08861981e+00 3.26670929e-07
1.09816911e+00 3.26674931e-07
1.10771840e+00 3.26678748e-07
1.11726770e+00 3.26682392e-07
1.12681700e+00 3.26685869e-07
1.13636629e+00 3.26689188e-07
1.14591559e+00 3.26692360e-07
1.15546489e+00 3.26695389e-07
1.16501418e+00 3.26698284e-07
1.17456348e+00 3.26701051e-07
1.18411278e+00 3.26703698e-07
1.19366207e+00 3.26706229e-07
1.20321137e+00 3.26708652e-07
1.21276067e+00 3.26710970e-07
1.22230996e+00 3.26713190e-07
1.23185926e+00 3.26715316e-07
1.24140856e+00 3.26717352e-07
1.25095785e+00 3.26719303e-07
1.26050715e+00 3.26721173e-07
1.27005645e+00 3.26722966e-07
1.27960574e+00 3.26724687e-07
1.28915504e+00 3.26726336e-07
1.29870434e+00 3.26727919e-07
1.30825363e+00 3.26729438e-07
1.31780293e+00 3.26730896e-07
1.32735223e+00 3.26732297e-07
1.33690152e+00 3.26733642e-07
1.34645082e+00 3.26734934e-07
1.35600012e+00 3.26736176e-07
1.36554941e+00 3.26737370e-07
1.37509871e+00 3.26738518e-07
1.38464800e+00 3.26739621e-07
1.39419730e+00 3.26740683e-07
1.40374660e+00 3.26741704e-07
1.41329589e+00 3.26742687e-07
1.42284519e+00 3.26743634e-07
1.43239449e+00 3.26744544e-07
1.44194378e+00 3.26745422e-07
1.45149308e+00 3.26746267e-07
1.46104238e+00 3.26747081e-07
1.47059167e+00 3.26747866e-07
1.48014097e+00 3.26748623e-07
1.48969027e+00 3.26749351e-07
1.49923956e+00 3.26750054e-07
1.50878886e+00 3.26750733e-07
1.51833816e+00 3.26751387e-07
1.52788745e+00 3.26752018e-07
1.53743675e+00 3.26752627e-07
1.54698605e+00 3.26753215e-07
1.55653534e+00 3.26753783e-07
1.56608464e+00 3.26754331e-07
1.57563394e+00 3.26754860e-07
1.58518323e+00 3.26755372e-07
1.59473253e+00 3.26755866e-07
1.60428183e+00 3.26756344e-07
1.61383112e+00 3.26756805e-07
1.62338042e+00 3.26757251e-07
1.63292972e+00 3.26757682e-07
1.64247901e+00 3.26758100e-07
1.65202831e+00 3.26758503e-07
1.66157761e+00 3.26758893e-07
1.67112690e+00 3.26759271e-07
1.68067620e+00 3.26759637e-07
1.69022550e+00 3.26759991e-07
1.69977479e+00 3.26760333e-07
