#	Time	Error_of_Energy
1.90985932e-02 4.25442959e-07
3.81971863e-02 1.15619105e-06
5.72957795e-02 2.05428527e-06
7.63943727e-02 2.96510515e-06
9.54929659e-02 3.77079017e-06
1.14591559e-01 4.41287705e-06
1.33690152e-01 4.88511970e-06
1.52788745e-01 5.21239757e-06
1.71887339e-01 5.43047546e-06
1.90985932e-01 5.57320227e-06
2.10084525e-01 5.66710247e-06
2.29183118e-01 5.73068480e-06
2.48281711e-01 5.77586410e-06
2.67380304e-01 5.80986892e-06
2.86478898e-01 5.83689720e-06
3.05577491e-01 5.85931706e-06
3.24676084e-01 5.87845030e-06
3.43774677e-01 5.89504722e-06
3.62873270e-01 5.90955801e-06
3.81971863e-01 5.92228011e-06
4.01070457e-01 5.93343428e-06
4.20169050e-01 5.94320167e-06
4.39267643e-01 5.95174073e-06
4.58366236e-01 5.95919425e-06
4.77464829e-01 5.96569197e-06
4.96563422e-01 5.97135146e-06
5.15662016e-01 5.97627850e-06
5.34760609e-01 5.98056748e-06
5.53859202e-01 5.98430199e-06
5.72957795e-01 5.98755549e-06
5.92056388e-01 5.99039226e-06
6.11154981e-01 5.99286819e-06
6.30253575e-01 5.99503181e-06
6.49352168e-01 5.99692503e-06
6.68450761e-01 5.99858408e-06
6.87549354e-01 6.00004017e-06
7.06647947e-01 6.00132019e-06
7.25746540e-01 6.00244732e-06
7.44845134e-01 6.00344149e-06
7.63943727e-01 6.00431992e-06
7.83042320e-01 6.00509742e-06
8.02140913e-01 6.00578678e-06
8.21239506e-01 6.00639906e-06
8.40338100e-01 6.00694381e-06
8.59436693e-01 6.00742932e-06
8.78535286e-01 6.00786275e-06
8.97633879e-01 6.00825035e-06
9.16732472e-01 6.00859752e-06
9.35831065e-01 6.00890899e-06
9.54929659e-01 6.00918888e-06
9.74028252e-01 6.00944078e-06
9.93126845e-01 6.00966784e-06
1.01222544e+00 6.00987281e-06
1.03132403e+00 6.01005812e-06
1.05042262e+00 6.01022590e-06
1.06952122e+00 6.01037802e-06
1.08861981e+00 6.01051613e-06
1.10771840e+00 6.01064170e-06
1.12681700e+00 6.01075600e-06
1.14591559e+00 6.01086020e-06
1.16501418e+00 6.01095530e-06
1.18411278e+00 6.01104220e-06
1.20321137e+00 6.01112171e-06
1.22230996e+00 6.01119454e-06
1.24140856e+00 6.01126133e-06
1.26050715e+00 6.01132265e-06
1.27960574e+00 6.01137902e-06
1.29870434e+00 6.01143088e-06
1.31780293e+00 6.01147865e-06
1.33690152e+00 6.01152269e-06
1.35600012e+00 6.01156335e-06
1.37509871e+00 6.01160091e-06
1.39419730e+00 6.01163564e-06
1.41329589e+00 6.01166780e-06
1.43239449e+00 6.01169759e-06
1.45149308e+00 6.01172521e-06
1.47059167e+00 6.01175086e-06
1.48969027e+00 6.01177468e-06
1.50878886e+00 6.01179683e-06
1.52788745e+00 6.01181744e-06
1.54698605e+00 6.01183664e-06
1.56608464e+00 6.01185453e-06
1.58518323e+00 6.01187122e-06
1.60428183e+00 6.01188680e-06
1.62338042e+00 6.01190135e-06
1.64247901e+00 6.01191496e-06
1.66157761e+00 6.01192769e-06
1.68067620e+00 6.01193961e-06
1.69977479e+00 6.01195077e-06
1.71887339e+00 6.01196124e-06
1.73797198e+00 6.01197106e-06
1.75707057e+00 6.01198028e-06
1.77616916e+00 6.01198894e-06
1.79526776e+00 6.01199708e-06
1.81436635e+00 6.01200474e-06
1.83346494e+00 6.01201194e-06
1.85256354e+00 6.01201872e-06
1.87166213e+00 6.01202512e-06
1.89076072e+00 6.01203114e-06
1.90985932e+00 6.01203682e-06
1.92895791e+00 6.01204219e-06
1.94805650e+00 6.01204725e-06
1.96715510e+00 6.01205204e-06
1.98625369e+00 6.01205656e-06
2.00535228e+00 6.01206084e-06
2.02445088e+00 6.01206489e-06
2.04354947e+00 6.01206872e-06
2.06264806e+00 6.01207235e-06
2.08174666e+00 6.01207579e-06
2.10084525e+00 6.01207905e-06
2.11994384e+00 6.01208214e-06
2.13904244e+00 6.01208508e-06
2.15814103e+00 6.01208786e-06
2.17723962e+00 6.01209051e-06
2.19633821e+00 6.01209302e-06
2.21543681e+00 6.01209541e-06
2.23453540e+00 6.01209768e-06
2.25363399e+00 6.01209985e-06
2.27273259e+00 6.01210190e-06
2.29183118e+00 6.01210386e-06
2.31092977e+00 6.01210573e-06
2.33002837e+00 6.01210751e-06
2.34912696e+00 6.01210920e-06
2.36822555e+00 6.01211082e-06
2.38732415e+00 6.01211236e-06
2.40642274e+00 6.01211383e-06
2.42552133e+00 6.01211524e-06
2.44461993e+00 6.01211658e-06
2.46371852e+00 6.01211786e-06
2.48281711e+00 6.01211908e-06
2.50191571e+00 6.01212025e-06
2.52101430e+00 6.01212137e-06
2.54011289e+00 6.01212244e-06
2.55921148e+00 6.01212347e-06
2.57831008e+00 6.01212445e-06
2.59740867e+00 6.01212539e-06
2.61650726e+00 6.01212629e-06
2.63560586e+00 6.01212715e-06
2.65470445e+00 6.01212797e-06
2.67380304e+00 6.01212877e-06
2.69290164e+00 6.01212952e-06
2.71200023e+00 6.01213025e-06
2.73109882e+00 6.01213095e-06
2.75019742e+00 6.01213162e-06
2.76929601e+00 6.01213226e-06
2.78839460e+00 6.01213288e-06
2.80749320e+00 6.01213347e-06
2.82659179e+00 6.01213404e-06
2.84569038e+00 6.01213459e-06
2.86478898e+00 6.01213512e-06
2.88388757e+00 6.01213563e-06
2.90298616e+00 6.01213611e-06
2.92208476e+00 6.01213658e-06
2.94118335e+00 6.01213703e-06
2.96028194e+00 6.01213746e-06
2.97938053e+00 6.01213788e-06
2.99847913e+00 6.01213828e-06
3.01757772e+00 6.01213867e-06
3.03667631e+00 6.01213904e-06
3.05577491e+00 6.01213940e-06
3.07487350e+00 6.01213975e-06
3.09397209e+00 6.01214008e-06
3.11307069e+00 6.01214040e-06
3.13216928e+00 6.01214072e-06
3.15126787e+00 6.01214102e-06
3.17036647e+00 6.01214130e-06
3.18946506e+00 6.01214158e-06
3.20856365e+00 6.01214185e-06
3.22766225e+00 6.01214211e-06
3.24676084e+00 6.01214236e-06
3.26585943e+00 6.01214260e-06
3.28495803e+00 6.01214284e-06
3.30405662e+00 6.01214306e-06
3.32315521e+00 6.01214328e-06
3.34225380e+00 6.01214349e-06
3.36135240e+00 6.01214370e-06
3.38045099e+00 6.01214390e-06
3.39954958e+00 6.01214409e-06
3.41864818e+00 6.01214427e-06
3.43774677e+00 6.01214445e-06
3.45684536e+00 6.01214462e-06
3.47594396e+00 6.01214479e-06
3.49504255e+00 6.01214495e-06
3.51414114e+00 6.01214511e-06
3.53323974e+00 6.01214526e-06
3.55233833e+00 6.01214540e-06
3.57143692e+00 6.01214555e-06
3.59053552e+00 6.01214568e-06
3.60963411e+00 6.01214582e-06
3.62873270e+00 6.01214595e-06
3.64783130e+00 6.01214607e-06
3.66692989e+00 6.01214619e-06
3.68602848e+00 6.01214631e-06
3.70512708e+00 6.01214643e-06
3.72422567e+00 6.01214654e-06
3.74332426e+00 6.01214664e-06
3.76242285e+00 6.01214675e-06
3.78152145e+00 6.01214685e-06
3.80062004e+00 6.01214695e-06
3.81971863e+00 6.01214704e-06
3.83881723e+00 6.01214713e-06
3.85791582e+00 6.01214722e-06
3.87701441e+00 6.01214731e-06
3.89611301e+00 6.01214740e-06
3.91521160e+00 6.01214748e-06
3.93431019e+00 6.01214756e-06
3.95340879e+00 6.01214763e-06
3.97250738e+00 6.01214771e-06
3.99160597e+00 6.01214778e-06
4.01070457e+00 6.01214785e-06
4.02980316e+00 6.01214792e-06
4.04890175e+00 6.01214799e-06
4.06800035e+00 6.01214805e-06
4.08709894e+00 6.01214812e-06
4.10619753e+00 6.01214818e-06
4.12529612e+00 6.01214824e-06
4.14439472e+00 6.01214830e-06
4.16349331e+00 6.01214835e-06
4.18259190e+00 6.01214841e-06
4.20169050e+00 6.01214846e-06
4.22078909e+00 6.01214852e-06
4.23988768e+00 6.01214857e-06
4.25898628e+00 6.01214862e-06
4.27808487e+00 6.01214866e-06
4.29718346e+00 6.01214871e-06
4.31628206e+00 6.01214876e-06
4.33538065e+00 6.01214880e-06
4.35447924e+00 6.01214884e-06
4.37357784e+00 6.01214889e-06
4.39267643e+00 6.01214893e-06
4.41177502e+00 6.01214897e-06
4.43087362e+00 6.01214901e-06
4.44997221e+00 6.01214904e-06
4.46907080e+00 6.01214908e-06
4.48816940e+00 6.01214912e-06
4.50726799e+00 6.01214915e-06
4.52636658e+00 6.01214919e-06
4.54546517e+00 6.01214922e-06
4.56456377e+00 6.01214925e-06
4.58366236e+00 6.01214928e-06
4.60276095e+00 6.01214931e-06
4.62185955e+00 6.01214934e-06
4.64095814e+00 6.01214937e-06
4.66005673e+00 6.01214940e-06
4.67915533e+00 6.01214943e-06
4.69825392e+00 6.01214946e-06
4.71735251e+00 6.01214948e-06
4.73645111e+00 6.01214951e-06
4.75554970e+00 6.01214953e-06
4.77464829e+00 6.01214956e-06
4.79374689e+00 6.01214958e-06
4.81284548e+00 6.01214961e-06
4.83194407e+00 6.01214963e-06
4.85104267e+00 6.01214965e-06
4.87014126e+00 6.01214967e-06
4.88923985e+00 6.01214969e-06
