#	Time	Error_of_Energy	Error_of_Position
1.05571446e+00 -1.83905694e-04 1.91712486e-04
1.06627160e+00 -1.83452262e-04 1.91673616e-04
1.07682875e+00 -1.83014989e-04 1.91659910e-04
1.08738589e+00 -1.82593168e-04 1.91633794e-04
1.09794304e+00 -1.82186132e-04 1.91588281e-04
1.10850018e+00 -1.81793246e-04 1.91560654e-04
1.11905733e+00 -1.81413908e-04 1.91543495e-04
1.12961447e+00 -1.81047543e-04 1.91505271e-04
1.14017162e+00 -1.80693609e-04 1.91457462e-04
1.15072876e+00 -1.80351587e-04 1.91435566e-04
1.16128591e+00 -1.80020986e-04 1.91413174e-04
1.17184305e+00 -1.79701337e-04 1.91369004e-04
1.18240019e+00 -1.79392194e-04 1.91320115e-04
1.19295734e+00 -1.79093132e-04 1.91297965e-04
1.20351448e+00 -1.78803748e-04 1.91274118e-04
1.21407163e+00 -1.78523657e-04 1.91229113e-04
1.22462877e+00 -1.78252490e-04 1.91176486e-04
1.23518592e+00 -1.77989898e-04 1.91149251e-04
1.24574306e+00 -1.77735548e-04 1.91127677e-04
1.25630021e+00 -1.77489119e-04 1.91087256e-04
1.26685735e+00 -1.77250310e-04 1.91031841e-04
1.27741450e+00 -1.77018828e-04 1.90991396e-04
1.28797164e+00 -1.76794397e-04 1.90971378e-04
1.29852879e+00 -1.76576752e-04 1.90941112e-04
1.30908593e+00 -1.76365639e-04 1.90890868e-04
1.31964307e+00 -1.76160817e-04 1.90834886e-04
1.33020022e+00 -1.75962055e-04 1.90803130e-04
1.34075736e+00 -1.75769131e-04 1.90782519e-04
1.35131451e+00 -1.75581832e-04 1.90747869e-04
1.36187165e+00 -1.75399957e-04 1.90694507e-04
1.37242880e+00 -1.75223312e-04 1.90638032e-04
1.38298594e+00 -1.75051710e-04 1.90606229e-04
1.39354309e+00 -1.74884973e-04 1.90585868e-04
1.40410023e+00 -1.74722931e-04 1.90553175e-04
1.41465738e+00 -1.74565420e-04 1.90501810e-04
1.42521452e+00 -1.74412284e-04 1.90442650e-04
1.43577166e+00 -1.74263372e-04 1.90401778e-04
1.44632881e+00 -1.74118540e-04 1.90381236e-04
1.45688595e+00 -1.73977649e-04 1.90355745e-04
1.46744310e+00 -1.73840567e-04 1.90312927e-04
1.47800024e+00 -1.73707165e-04 1.90255068e-04
1.48855739e+00 -1.73577323e-04 1.90198772e-04
1.49911453e+00 -1.73450921e-04 1.90167417e-04
1.50967168e+00 -1.73327847e-04 1.90148212e-04
1.52022882e+00 -1.73207993e-04 1.90120227e-04
1.53078597e+00 -1.73091253e-04 1.90074948e-04
1.54134311e+00 -1.72977528e-04 1.90016115e-04
1.55190026e+00 -1.72866720e-04 1.89959442e-04
1.56245740e+00 -1.72758738e-04 1.89926901e-04
1.57301454e+00 -1.72653491e-04 1.89908424e-04
1.58357169e+00 -1.72550894e-04 1.89883904e-04
1.59412883e+00 -1.72450863e-04 1.89843566e-04
1.60468598e+00 -1.72353320e-04 1.89787911e-04
1.61524312e+00 -1.72258187e-04 1.89727505e-04
1.62580027e+00 -1.72165390e-04 1.89682448e-04
1.63635741e+00 -1.72074858e-04 1.89660676e-04
1.64691456e+00 -1.71986522e-04 1.89642668e-04
