#         i          j          k                    x                    y                    z          Dens          MomX          MomY          MomZ          Engy       Entropy          MagX          MagY          MagZ       MagEngy      Pressure
          0          0          0 7.81250000000000e-03 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        128          0          0 2.34375000000000e-02 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        256          0          0 3.90625000000000e-02 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        384          0          0 5.46875000000000e-02 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        512          0          0 7.03125000000000e-02 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        640          0          0 8.59375000000000e-02 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        768          0          0 1.01562500000000e-01 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        896          0          0 1.17187500000000e-01 7.81250000000000e-03 7.81250000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024875e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500002e-01
       1024          0          0 1.28906250000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.079999e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1088          0          0 1.36718750000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.079999e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1152          0          0 1.44531250000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.079998e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1216          0          0 1.52343750000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1280          0          0 1.60156250000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1344          0          0 1.67968750000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1408          0          0 1.75781250000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
       1472          0          0 1.83593750000000e-01 3.90625000000000e-03 3.90625000000000e-03  1.080000e+00  1.296000e+00  1.080000e-02  5.400000e-01  3.171627e+00  9.024880e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500007e-01
       5888          0          0 7.20703125000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308849e+00  6.992015e-01 -1.237883e-01 -6.205335e-02  4.150462e+00  1.323966e+00  5.641896e-01  1.507769e+00  7.540237e-01  1.580114e+00  1.584175e+00
       5920          0          0 7.24609375000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308892e+00  6.993114e-01 -1.238165e-01 -6.196818e-02  4.150681e+00  1.324014e+00  5.641896e-01  1.507819e+00  7.539620e-01  1.580144e+00  1.584267e+00
       5952          0          0 7.28515625000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308953e+00  6.994772e-01 -1.238384e-01 -6.190542e-02  4.151071e+00  1.324082e+00  5.641896e-01  1.507906e+00  7.539411e-01  1.580259e+00  1.584398e+00
       5984          0          0 7.32421875000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308950e+00  6.994879e-01 -1.238114e-01 -6.188614e-02  4.151088e+00  1.324086e+00  5.641896e-01  1.507914e+00  7.539399e-01  1.580270e+00  1.584401e+00
       6016          0          0 7.36328125000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308922e+00  6.994178e-01 -1.237597e-01 -6.187243e-02  4.150911e+00  1.324061e+00  5.641896e-01  1.507878e+00  7.539322e-01  1.580210e+00  1.584348e+00
       6048          0          0 7.40234375000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308904e+00  6.993631e-01 -1.237411e-01 -6.187094e-02  4.150767e+00  1.324042e+00  5.641896e-01  1.507844e+00  7.539217e-01  1.580151e+00  1.584311e+00
       6080          0          0 7.44140625000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308921e+00  6.993759e-01 -1.237521e-01 -6.187836e-02  4.150779e+00  1.324052e+00  5.641896e-01  1.507825e+00  7.539146e-01  1.580117e+00  1.584337e+00
       6112          0          0 7.48046875000000e-01 1.95312500000000e-03 1.95312500000000e-03  1.308948e+00  6.994219e-01 -1.237796e-01 -6.189144e-02  4.150854e+00  1.324074e+00  5.641896e-01  1.507815e+00  7.539086e-01  1.580097e+00  1.584384e+00
