#         i          j          k                    x                    y                    z          Dens          MomX          MomY          MomZ          Engy       Entropy          MagX          MagY          MagZ       MagEngy      Pressure
          0          0          0 3.12500000000000e-02 3.12500000000000e-02 3.12500000000000e-02  1.080000e+00  1.296000e+00  1.080002e-02  5.400000e-01  3.171626e+00  9.024873e-01  5.641896e-01  1.015541e+00  5.641896e-01  8.339719e-01  9.500000e-01
        512          0          0 9.37500000000000e-02 3.12500000000000e-02 3.12500000000000e-02  1.080003e+00  1.295999e+00  1.080091e-02  5.400018e-01  3.171633e+00  9.024898e-01  5.641896e-01  1.015544e+00  5.641911e-01  8.339754e-01  9.500043e-01
       1024          0          0 1.56250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.080098e+00  1.295952e+00  1.083503e-02  5.400677e-01  3.171871e+00  9.025691e-01  5.641896e-01  1.015643e+00  5.642464e-01  8.341077e-01  9.501433e-01
       1536          0          0 2.18750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.083408e+00  1.294275e+00  1.202114e-02  5.423634e-01  3.180207e+00  9.053789e-01  5.641896e-01  1.019109e+00  5.661715e-01  8.387213e-01  9.550478e-01
       2048          0          0 2.81250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.171299e+00  1.236000e+00  4.257460e-02  6.027945e-01  3.427978e+00  9.926908e-01  5.641896e-01  1.110033e+00  6.166851e-01  9.653922e-01  1.103043e+00
       2560          0          0 3.43750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.447850e+00  9.619096e-01  1.469694e-01  7.961484e-01  4.339237e+00  1.232595e+00  5.641896e-01  1.391556e+00  7.742500e-01  1.427101e+00  1.577500e+00
       3072          0          0 4.06250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.478113e+00  8.945022e-01  1.679198e-01  8.287478e-01  4.537369e+00  1.287058e+00  5.641896e-01  1.444166e+00  7.971936e-01  1.519722e+00  1.670078e+00
       3584          0          0 4.68750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.520060e+00  9.183705e-01  1.638467e-01  8.484272e-01  4.540393e+00  1.259617e+00  5.641896e-01  1.439574e+00  8.051683e-01  1.519489e+00  1.665248e+00
       4096          0          0 5.31250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.547539e+00  9.224176e-01  1.649193e-01  5.954435e-01  4.432184e+00  1.322187e+00  5.641896e-01  1.448733e+00  5.863649e-01  1.380480e+00  1.768971e+00
       4608          0          0 5.93750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.511632e+00  8.668793e-01  9.195185e-02  3.861671e-01  4.419322e+00  1.442225e+00  5.641896e-01  1.419764e+00  4.521183e-01  1.269225e+00  1.899606e+00
       5120          0          0 6.56250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.413857e+00  7.918771e-01  8.644164e-03  2.712293e-01  4.337948e+00  1.467712e+00  5.641896e-01  1.439143e+00  4.941473e-01  1.316813e+00  1.848890e+00
       5632          0          0 7.18750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.347049e+00  7.380913e-01 -8.689716e-02  8.158870e-02  4.218192e+00  1.382712e+00  5.641896e-01  1.494746e+00  6.397859e-01  1.480950e+00  1.686504e+00
       6144          0          0 7.81250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.321158e+00  7.235562e-01 -1.265305e-01 -3.779637e-02  4.206077e+00  1.337630e+00  5.641896e-01  1.519457e+00  7.375607e-01  1.585527e+00  1.610544e+00
       6656          0          0 8.43750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.313720e+00  7.148468e-01 -1.310216e-01 -6.073065e-02  4.189149e+00  1.327370e+00  5.641896e-01  1.519202e+00  7.553827e-01  1.598444e+00  1.592187e+00
       7168          0          0 9.06250000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.281899e+00  6.188337e-01 -1.131050e-01 -5.884277e-02  3.972458e+00  1.295279e+00  5.641896e-01  1.476910e+00  7.405517e-01  1.523996e+00  1.528501e+00
       7680          0          0 9.68750000000000e-01 3.12500000000000e-02 3.12500000000000e-02  1.086940e+00  1.862894e-01 -3.392759e-02 -1.787471e-02  2.877657e+00  1.101444e+00  5.641896e-01  1.235960e+00  6.188285e-01  1.114428e+00  1.164393e+00
