#	Time	Error_of_Energy
1.24563360e-02 6.39230871e-09
2.49126720e-02 1.27846129e-08
3.73690081e-02 1.91769138e-08
4.98253441e-02 2.55692108e-08
6.22816801e-02 3.19615051e-08
7.47380161e-02 3.83537967e-08
8.71943522e-02 4.47460854e-08
9.96506882e-02 5.11383721e-08
1.12107024e-01 5.75306574e-08
1.24563360e-01 6.39229412e-08
1.37019696e-01 7.03152242e-08
1.49476032e-01 7.67075067e-08
1.61932368e-01 8.30997896e-08
1.74388704e-01 8.94920724e-08
1.86845040e-01 9.58843560e-08
1.99301376e-01 1.02276641e-07
2.11757712e-01 1.08668928e-07
2.24214048e-01 1.15061216e-07
2.36670384e-01 1.21453508e-07
2.49126720e-01 1.27845802e-07
2.61583056e-01 1.34238099e-07
2.74039392e-01 1.40630400e-07
2.86495729e-01 1.47022705e-07
2.98952065e-01 1.53415014e-07
3.11408401e-01 1.59807327e-07
3.23864737e-01 1.66199646e-07
3.36321073e-01 1.72591969e-07
3.48777409e-01 1.78984298e-07
3.61233745e-01 1.85376632e-07
3.73690081e-01 1.91768971e-07
3.86146417e-01 1.98161317e-07
3.98602753e-01 2.04553668e-07
4.11059089e-01 2.10946024e-07
4.23515425e-01 2.17338387e-07
4.35971761e-01 2.23730755e-07
4.48428097e-01 2.30123130e-07
4.60884433e-01 2.36515510e-07
4.73340769e-01 2.42907895e-07
4.85797105e-01 2.49300286e-07
4.98253441e-01 2.55692683e-07
5.10709777e-01 2.62085084e-07
5.23166113e-01 2.68477490e-07
5.35622449e-01 2.74869901e-07
5.48078785e-01 2.81262316e-07
5.60535121e-01 2.87654735e-07
5.72991457e-01 2.94047157e-07
5.85447793e-01 3.00439583e-07
5.97904129e-01 3.06832012e-07
6.10360465e-01 3.13224444e-07
6.22816801e-01 3.19616877e-07
6.35273137e-01 3.26009313e-07
6.47729473e-01 3.32401749e-07
6.60185809e-01 3.38794187e-07
6.72642145e-01 3.45186625e-07
6.85098481e-01 3.51579063e-07
6.97554817e-01 3.57971501e-07
7.10011153e-01 3.64363938e-07
7.22467489e-01 3.70756374e-07
7.34923825e-01 3.77148808e-07
7.47380161e-01 3.83541240e-07
7.59836497e-01 3.89933670e-07
7.72292833e-01 3.96326098e-07
7.84749169e-01 4.02718521e-07
7.97205505e-01 4.09110942e-07
8.09661841e-01 4.15503359e-07
8.22118177e-01 4.21895772e-07
8.34574514e-01 4.28288181e-07
8.47030850e-01 4.34680586e-07
8.59487186e-01 4.41072986e-07
8.71943522e-01 4.47465381e-07
8.84399858e-01 4.53857772e-07
8.96856194e-01 4.60250157e-07
9.09312530e-01 4.66642538e-07
9.21768866e-01 4.73034913e-07
9.34225202e-01 4.79427284e-07
9.46681538e-01 4.85819649e-07
9.59137874e-01 4.92212010e-07
9.71594210e-01 4.98604365e-07
9.84050546e-01 5.04996717e-07
9.96506882e-01 5.11389064e-07
1.00896322e+00 5.17781406e-07
1.02141955e+00 5.24173745e-07
1.03387589e+00 5.30566079e-07
1.04633223e+00 5.36958410e-07
1.05878856e+00 5.43350738e-07
1.07124490e+00 5.49743063e-07
1.08370123e+00 5.56135385e-07
1.09615757e+00 5.62527706e-07
1.10861391e+00 5.68920024e-07
1.12107024e+00 5.75312341e-07
1.13352658e+00 5.81704657e-07
1.14598291e+00 5.88096973e-07
1.15843925e+00 5.94489288e-07
1.17089559e+00 6.00881603e-07
1.18335192e+00 6.07273920e-07
1.19580826e+00 6.13666237e-07
1.20826459e+00 6.20058556e-07
1.22072093e+00 6.26450878e-07
1.23317727e+00 6.32843201e-07
1.24563360e+00 6.39235527e-07
1.25808994e+00 6.45627856e-07
1.27054627e+00 6.52020189e-07
1.28300261e+00 6.58412525e-07
1.29545895e+00 6.64804866e-07
1.30791528e+00 6.71197211e-07
1.32037162e+00 6.77589561e-07
1.33282795e+00 6.83981915e-07
1.34528429e+00 6.90374275e-07
1.35774063e+00 6.96766640e-07
1.37019696e+00 7.03159011e-07
1.38265330e+00 7.09551388e-07
1.39510963e+00 7.15943770e-07
1.40756597e+00 7.22336158e-07
1.42002231e+00 7.28728551e-07
1.43247864e+00 7.35120951e-07
1.44493498e+00 7.41513357e-07
1.45739131e+00 7.47905768e-07
1.46984765e+00 7.54298185e-07
1.48230399e+00 7.60690607e-07
1.49476032e+00 7.67083034e-07
1.50721666e+00 7.73475467e-07
1.51967299e+00 7.79867905e-07
1.53212933e+00 7.86260347e-07
1.54458567e+00 7.92652794e-07
1.55704200e+00 7.99045245e-07
1.56949834e+00 8.05437699e-07
1.58195467e+00 8.11830157e-07
1.59441101e+00 8.18222618e-07
1.60686735e+00 8.24615082e-07
1.61932368e+00 8.31007548e-07
1.63178002e+00 8.37400015e-07
1.64423635e+00 8.43792484e-07
1.65669269e+00 8.50184954e-07
1.66914903e+00 8.56577425e-07
1.68160536e+00 8.62969896e-07
1.69406170e+00 8.69362367e-07
1.70651804e+00 8.75754837e-07
1.71897437e+00 8.82147306e-07
1.73143071e+00 8.88539774e-07
1.74388704e+00 8.94932239e-07
1.75634338e+00 9.01324702e-07
1.76879972e+00 9.07717163e-07
1.78125605e+00 9.14109621e-07
1.79371239e+00 9.20502075e-07
1.80616872e+00 9.26894526e-07
1.81862506e+00 9.33286974e-07
1.83108140e+00 9.39679416e-07
1.84353773e+00 9.46071855e-07
1.85599407e+00 9.52464289e-07
1.86845040e+00 9.58856719e-07
1.88090674e+00 9.65249143e-07
1.89336308e+00 9.71641563e-07
1.90581941e+00 9.78033978e-07
1.91827575e+00 9.84426388e-07
1.93073208e+00 9.90818792e-07
1.94318842e+00 9.97211192e-07
1.95564476e+00 1.00360359e-06
1.96810109e+00 1.00999598e-06
1.98055743e+00 1.01638836e-06
1.99301376e+00 1.02278074e-06
2.00547010e+00 1.02917312e-06
2.01792644e+00 1.03556549e-06
2.03038277e+00 1.04195786e-06
2.04283911e+00 1.04835022e-06
2.05529544e+00 1.05474259e-06
2.06775178e+00 1.06113494e-06
2.08020812e+00 1.06752730e-06
2.09266445e+00 1.07391965e-06
2.10512079e+00 1.08031201e-06
2.11757712e+00 1.08670436e-06
2.13003346e+00 1.09309671e-06
2.14248980e+00 1.09948905e-06
2.15494613e+00 1.10588140e-06
