#	Time	Error_of_Energy
2.11142892e-02 -8.98727069e-07
4.22285784e-02 -2.55944804e-06
6.33428676e-02 -4.48317240e-06
8.44571568e-02 -6.20235050e-06
1.05571446e-01 -7.47341046e-06
1.26685735e-01 -8.27838887e-06
1.47800024e-01 -8.72263203e-06
1.68914314e-01 -8.93660130e-06
1.90028603e-01 -9.02491484e-06
2.11142892e-01 -9.05476630e-06
2.32257181e-01 -9.06286777e-06
2.53371470e-01 -9.06638571e-06
2.74485759e-01 -9.07179227e-06
2.95600049e-01 -9.08048710e-06
3.16714338e-01 -9.09186834e-06
3.37828627e-01 -9.10480829e-06
3.58942916e-01 -9.11826173e-06
3.80057205e-01 -9.13145333e-06
4.01171495e-01 -9.14388561e-06
4.22285784e-01 -9.15528490e-06
4.43400073e-01 -9.16553724e-06
4.64514362e-01 -9.17463304e-06
4.85628651e-01 -9.18262549e-06
5.06742941e-01 -9.18960155e-06
5.27857230e-01 -9.19566295e-06
5.48971519e-01 -9.20091425e-06
5.70085808e-01 -9.20545601e-06
5.91200097e-01 -9.20938110e-06
6.12314387e-01 -9.21277305e-06
6.33428676e-01 -9.21570570e-06
6.54542965e-01 -9.21824354e-06
6.75657254e-01 -9.22044240e-06
6.96771543e-01 -9.22235034e-06
7.17885832e-01 -9.22400856e-06
7.39000122e-01 -9.22545233e-06
7.60114411e-01 -9.22671171e-06
7.81228700e-01 -9.22781240e-06
8.02342989e-01 -9.22877630e-06
8.23457278e-01 -9.22962209e-06
8.44571568e-01 -9.23036576e-06
8.65685857e-01 -9.23102094e-06
8.86800146e-01 -9.23159933e-06
9.07914435e-01 -9.23211094e-06
9.29028724e-01 -9.23256436e-06
9.50143014e-01 -9.23296699e-06
9.71257303e-01 -9.23332521e-06
9.92371592e-01 -9.23364450e-06
1.01348588e+00 -9.23392961e-06
1.03460017e+00 -9.23418467e-06
1.05571446e+00 -9.23441324e-06
1.07682875e+00 -9.23461841e-06
1.09794304e+00 -9.23480291e-06
1.11905733e+00 -9.23496907e-06
1.14017162e+00 -9.23511897e-06
1.16128591e+00 -9.23525440e-06
1.18240019e+00 -9.23537696e-06
1.20351448e+00 -9.23548802e-06
1.22462877e+00 -9.23558881e-06
1.24574306e+00 -9.23568041e-06
1.26685735e+00 -9.23576378e-06
1.28797164e+00 -9.23583976e-06
1.30908593e+00 -9.23590909e-06
