#	Time	Error_of_Energy
2.63928615e-03 -3.04604508e-08
5.27857230e-03 -1.21695787e-07
7.91785845e-03 -2.73269219e-07
1.05571446e-02 -4.84456936e-07
1.31964307e-02 -7.54254325e-07
1.58357169e-02 -1.08138449e-06
1.84750030e-02 -1.46430909e-06
2.11142892e-02 -1.90124126e-06
2.37535753e-02 -2.39016036e-06
2.63928615e-02 -2.92882863e-06
2.90321476e-02 -3.51480916e-06
3.16714338e-02 -4.14548532e-06
3.43107199e-02 -4.81808109e-06
3.69500061e-02 -5.52968231e-06
3.95892922e-02 -6.27725835e-06
4.22285784e-02 -7.05768415e-06
4.48678645e-02 -7.86776234e-06
4.75071507e-02 -8.70424508e-06
5.01464368e-02 -9.56385559e-06
5.27857230e-02 -1.04433090e-05
5.54250091e-02 -1.13393326e-05
5.80642953e-02 -1.22486846e-05
6.07035814e-02 -1.31681726e-05
6.33428676e-02 -1.40946702e-05
6.59821537e-02 -1.50251324e-05
6.86214399e-02 -1.59566097e-05
7.12607260e-02 -1.68862607e-05
7.39000122e-02 -1.78113633e-05
7.65392983e-02 -1.87293241e-05
7.91785845e-02 -1.96376867e-05
8.18178706e-02 -2.05341378e-05
8.44571568e-02 -2.14165131e-05
8.70964429e-02 -2.22828005e-05
8.97357291e-02 -2.31311425e-05
9.23750152e-02 -2.39598378e-05
9.50143014e-02 -2.47673409e-05
9.76535875e-02 -2.55522610e-05
1.00292874e-01 -2.63133605e-05
1.02932160e-01 -2.70495512e-05
1.05571446e-01 -2.77598912e-05
1.08210732e-01 -2.84435801e-05
1.10850018e-01 -2.90999541e-05
1.13489304e-01 -2.97284802e-05
1.16128591e-01 -3.03287506e-05
1.18767877e-01 -3.09004761e-05
1.21407163e-01 -3.14434794e-05
1.24046449e-01 -3.19576887e-05
1.26685735e-01 -3.24431306e-05
1.29325021e-01 -3.28999230e-05
1.31964307e-01 -3.33282689e-05
1.34603594e-01 -3.37284486e-05
1.37242880e-01 -3.41008136e-05
1.39882166e-01 -3.44457801e-05
1.42521452e-01 -3.47638219e-05
1.45160738e-01 -3.50554651e-05
1.47800024e-01 -3.53212814e-05
1.50439310e-01 -3.55618830e-05
1.53078597e-01 -3.57779166e-05
1.55717883e-01 -3.59700588e-05
1.58357169e-01 -3.61390108e-05
1.60996455e-01 -3.62854941e-05
1.63635741e-01 -3.64102463e-05
1.66275027e-01 -3.65140167e-05
1.68914314e-01 -3.65975631e-05
1.71553600e-01 -3.66616482e-05
1.74192886e-01 -3.67070364e-05
1.76832172e-01 -3.67344910e-05
1.79471458e-01 -3.67447717e-05
1.82110744e-01 -3.67386323e-05
1.84750030e-01 -3.67168181e-05
1.87389317e-01 -3.66800648e-05
1.90028603e-01 -3.66290961e-05
1.92667889e-01 -3.65646228e-05
1.95307175e-01 -3.64873411e-05
1.97946461e-01 -3.63979318e-05
2.00585747e-01 -3.62970591e-05
2.03225033e-01 -3.61853700e-05
2.05864320e-01 -3.60634937e-05
2.08503606e-01 -3.59320410e-05
2.11142892e-01 -3.57916037e-05
2.13782178e-01 -3.56427547e-05
2.16421464e-01 -3.54860478e-05
2.19060750e-01 -3.53220171e-05
2.21700037e-01 -3.51511777e-05
2.24339323e-01 -3.49740251e-05
2.26978609e-01 -3.47910360e-05
2.29617895e-01 -3.46026678e-05
2.32257181e-01 -3.44093594e-05
2.34896467e-01 -3.42115313e-05
2.37535753e-01 -3.40095855e-05
2.40175040e-01 -3.38039069e-05
2.42814326e-01 -3.35948624e-05
2.45453612e-01 -3.33828023e-05
2.48092898e-01 -3.31680604e-05
2.50732184e-01 -3.29509542e-05
2.53371470e-01 -3.27317858e-05
2.56010756e-01 -3.25108421e-05
2.58650043e-01 -3.22883953e-05
2.61289329e-01 -3.20647034e-05
2.63928615e-01 -3.18400107e-05
2.66567901e-01 -3.16145484e-05
2.69207187e-01 -3.13885349e-05
2.71846473e-01 -3.11621761e-05
2.74485759e-01 -3.09356664e-05
2.77125046e-01 -3.07091887e-05
2.79764332e-01 -3.04829152e-05
2.82403618e-01 -3.02570074e-05
2.85042904e-01 -3.00316170e-05
2.87682190e-01 -2.98068861e-05
2.90321476e-01 -2.95829475e-05
2.92960763e-01 -2.93599254e-05
2.95600049e-01 -2.91379357e-05
2.98239335e-01 -2.89170860e-05
3.00878621e-01 -2.86974768e-05
3.03517907e-01 -2.84792008e-05
3.06157193e-01 -2.82623443e-05
3.08796479e-01 -2.80469868e-05
3.11435766e-01 -2.78332014e-05
3.14075052e-01 -2.76210556e-05
3.16714338e-01 -2.74106111e-05
3.19353624e-01 -2.72019243e-05
3.21992910e-01 -2.69950465e-05
3.24632196e-01 -2.67900242e-05
3.27271482e-01 -2.65868994e-05
3.29910769e-01 -2.63857098e-05
3.32550055e-01 -2.61864890e-05
3.35189341e-01 -2.59892668e-05
3.37828627e-01 -2.57940693e-05
3.40467913e-01 -2.56009194e-05
3.43107199e-01 -2.54098365e-05
3.45746485e-01 -2.52208371e-05
3.48385772e-01 -2.50339349e-05
3.51025058e-01 -2.48491408e-05
3.53664344e-01 -2.46664632e-05
3.56303630e-01 -2.44859082e-05
