#N_lattice	Iterations	Error	Preparation_Time(s)	Calculation_Time(s)
8	30	3.82770205e-10	0.0005	0.0011
16	60	3.44634489e-10	0.0001	0.0014
32	121	4.51210838e-10	0.0000	0.0009
64	259	4.54553476e-10	0.0000	0.0021
128	558	4.76004143e-10	0.0001	0.0096
256	1189	4.98991934e-10	0.0004	0.0694
512	2619	4.87474426e-10	0.0013	0.5909
1024	4908	4.99765076e-10	0.0045	10.5695
